Alan_Bean | almaMater | UT Austin, B.S. 1955
Alan_Bean | timeInSpace | 100305.0"(minutes)
Alan_Bean | selectedByNasa | 1963
Alan_Bean | almaMater | UT Austin, B.S. 1955
Alan_Bean | mission | Apollo_12
Alan_Bean | dateOfRetirement | June 1981
Alan_Bean | birthDate | 1932-03-15
Alan_Bean | mission | Apollo_12
Alan_Bean | timeInSpace | 100305.0"(minutes)
Alan_Bean | birthDate | 1932-03-15
Alan_Bean | selectedByNasa | 1963
Alan_Bean | status | Retired
Alan_Bean | nationality | United_States
Alan_Bean | almaMater | UT Austin, B.S. 1955
Alan_Bean | status | Retired
Alan_Bean | nationality | United_States
Alan_Bean | occupation | Test_pilot
Alan_Bean | birthPlace | Wheeler,_Texas
Alan_Bean | nationality | United_States
Alan_Bean | mission | Apollo_12
Alan_Bean | selectedByNasa | 1963
Alan_Bean | occupation | Test_pilot
Alan_Bean | birthPlace | Wheeler,_Texas
Alan_Bean | timeInSpace | 100305.0"(minutes)
Alan_Bean | mission | Apollo_12
Alan_Bean | birthPlace | Wheeler,_Texas
Alan_Bean | status | Retired
Alan_Bean | mission | Apollo_12
Alan_Bean | nationality | United_States
Apollo_12 | operator | NASA
Alan_Bean | mission | Apollo_12
Apollo_12 | operator | NASA
Alan_Bean | timeInSpace | 100305.0"(minutes)
Apollo_12 | backupPilot | Alfred_Worden
Alan_Bean | mission | Apollo_12
Alan_Bean | birthPlace | Wheeler,_Texas
Apollo_12 | backupPilot | Alfred_Worden
Alan_Bean | mission | Apollo_12
Apollo_12 | operator | NASA
Apollo_8 | commander | Frank_Borman
William_Anders | mission | Apollo_8
Apollo_8 | backupPilot | Buzz_Aldrin
Buzz_Aldrin | awards | 20
Buzz_Aldrin | almaMater | Massachusetts Institute of Technology, Sc.D. 1963
Buzz_Aldrin | birthDate | 1930-01-20
Buzz_Aldrin | birthPlace | Glen_Ridge,_New_Jersey
Buzz_Aldrin | nationality | United_States
Buzz_Aldrin | status | Retired
Buzz_Aldrin | birthPlace | Glen_Ridge,_New_Jersey
Buzz_Aldrin | nationality | United_States
Buzz_Aldrin | mission | Apollo_11
Buzz_Aldrin | birthPlace | Glen_Ridge,_New_Jersey
Buzz_Aldrin | nationality | United_States
Glen_Ridge,_New_Jersey | isPartOf | Essex_County,_New_Jersey
Buzz_Aldrin | birthPlace | Glen_Ridge,_New_Jersey
Buzz_Aldrin | nationality | United_States
United_States | leader | Joe_Biden
Buzz_Aldrin | birthPlace | Glen_Ridge,_New_Jersey
Buzz_Aldrin | occupation | Fighter_pilot
Buzz_Aldrin | almaMater | Massachusetts Institute of Technology, Sc.D. 1963
Buzz_Aldrin | birthPlace | Glen_Ridge,_New_Jersey
Buzz_Aldrin | occupation | Fighter_pilot
Buzz_Aldrin | birthDate | 1930-01-20
Buzz_Aldrin | birthPlace | Glen_Ridge,_New_Jersey
Buzz_Aldrin | mission | Apollo_11
Glen_Ridge,_New_Jersey | isPartOf | Essex_County,_New_Jersey
Buzz_Aldrin | mission | Apollo_11
Apollo_11 | backupPilot | William_Anders
Apollo_11 | operator | NASA
Buzz_Aldrin | mission | Apollo_11
Buzz_Aldrin | nationality | United_States
Apollo_11 | operator | NASA
Buzz_Aldrin | mission | Apollo_11
Buzz_Aldrin | occupation | Fighter_pilot
Buzz_Aldrin | birthDate | 1930-01-20
Buzz_Aldrin | mission | Apollo_11
Buzz_Aldrin | timeInSpace | 52.0"(minutes)
Apollo_11 | operator | NASA
Buzz_Aldrin | mission | Apollo_11
Buzz_Aldrin | selectedByNasa | 1963
Apollo_11 | operator | NASA
Buzz_Aldrin | selectedByNasa | 1963
Buzz_Aldrin | mission | Apollo_11
Buzz_Aldrin | status | Retired
William_Anders | dateOfRetirement | 1969-09-01
British_Hong_Kong | representative | Chris_Patten
William_Anders | birthPlace | British_Hong_Kong
William_Anders | dateOfRetirement | 1969-09-01
William_Anders | birthDate | 1933-10-17
William_Anders | birthPlace | British_Hong_Kong
William_Anders | dateOfRetirement | 1969-09-01
William_Anders | occupation | Fighter_pilot
William_Anders | birthPlace | British_Hong_Kong
William_Anders | dateOfRetirement | 1969-09-01
William_Anders | mission | Apollo_8
William_Anders | almaMater | AFIT, M.S. 1962
William_Anders | occupation | Fighter_pilot
William_Anders | birthPlace | British_Hong_Kong
William_Anders | mission | Apollo_8
William_Anders | title | United_States_Ambassador_to_Norway
William_Anders | birthPlace | British_Hong_Kong
William_Anders | almaMater | AFIT, M.S. 1962
William_Anders | mission | Apollo_8
Apollo_8 | crewMembers | Frank_Borman
Apollo_8 | operator | NASA
William_Anders | mission | Apollo_8
William_Anders | almaMater | AFIT, M.S. 1962
Apollo_8 | crewMembers | Frank_Borman
William_Anders | selectedByNasa | 1963
William_Anders | birthDate | 1933-10-17
William_Anders | mission | Apollo_8
William_Anders | selectedByNasa | 1963
William_Anders | birthPlace | British_Hong_Kong
William_Anders | almaMater | AFIT, M.S. 1962
William_Anders | selectedByNasa | 1963
William_Anders | nationality | United_States
William_Anders | birthPlace | British_Hong_Kong
William_Anders | selectedByNasa | 1963
William_Anders | occupation | Fighter_pilot
William_Anders | birthPlace | British_Hong_Kong
Nie_Haisheng | birthDate | 1964-10-13
Nie_Haisheng | occupation | Fighter_pilot
Nie_Haisheng | birthPlace | Zaoyang
Nie_Haisheng | mission | Shenzhou_6
Zaoyang | isPartOf | Hubei
Nie_Haisheng | birthPlace | Hubei
Nie_Haisheng | birthPlace | Hubei
