Aaron_Boogaard | birthYear | 1986
Aaron_Boogaard | birthPlace | Regina,_Saskatchewan
Aaron_Boogaard | club | Wichita_Thunder
Aaron_Boogaard | birthYear | 1986
Aaron_Boogaard | club | Wichita_Thunder
Aaron_Boogaard | birthPlace | Canada
Aaron_Boogaard | birthYear | 1986
Aaron_Boogaard | club | Wichita_Thunder
Aaron_Boogaard | birthPlace | Saskatchewan
Aaron_Boogaard | height | 1.905
Aaron_Boogaard | club | Wichita_Thunder
Aaron_Boogaard | birthPlace | Canada
Aaron_Boogaard | height | 1.905
Aaron_Boogaard | club | Wichita_Thunder
Aaron_Boogaard | birthPlace | Saskatchewan
Abel_Hernández | club | Peñarol
Peñarol | manager | Jorge_Orosmán_da_Silva
Abel_Hernández | club | U.S._Città_di_Palermo
Abel_Hernández | club | Peñarol
Peñarol | manager | Jorge_Orosmán_da_Silva
Abel_Hernández | club | Uruguay_Olympic_football_team
Abel_Hernández | club | Peñarol
U.S._Città_di_Palermo | manager | Giuseppe_Iachini
Abel_Hernández | club | U.S._Città_di_Palermo
Abel_Hernández | youthclub | Peñarol
Abel_Hernández | club | Central_Español
Abel_Hernández | club | U.S._Città_di_Palermo
Abel_Hernández | youthclub | Peñarol
Abel_Hernández | club | Central_Español
Abel_Hernández | club | Uruguay_national_football_team
Abel_Hernández | youthclub | Peñarol
Abel_Hernández | club | Uruguay_national_football_team
Abel_Hernández | club | U.S._Città_di_Palermo
Abner_(footballer) | club | Brazil_national_under-17_football_team
Abner_(footballer) | club | Coritiba_Foot_Ball_Club
Abner_(footballer) | birthDate | 1996-05-30
Abner_(footballer) | club | Brazil_national_under-17_football_team
Abner_(footballer) | club | Real_Madrid_Castilla
Abner_(footballer) | birthDate | 1996-05-30
Abner_(footballer) | club | Brazil_national_under-20_football_team
Abner_(footballer) | club | Coritiba_Foot_Ball_Club
Abner_(footballer) | birthDate | 1996-05-30
Abner_(footballer) | club | Coritiba_Foot_Ball_Club
Abner_(footballer) | club | C.D._FAS
Abner_(footballer) | birthDate | 1996-05-30
Abner_(footballer) | club | Real_Madrid_Castilla
Abner_(footballer) | club | C.D._FAS
Abner_(footballer) | birthDate | 1996-05-30
Abner_(footballer) | club | Real_Madrid_Castilla
Abner_(footballer) | club | Coritiba_Foot_Ball_Club
Abner_(footballer) | birthDate | 1996-05-30
Adam_Maher | club | Netherlands_national_under-17_football_team
Adam_Maher | birthPlace | Netherlands
Adam_Maher | club | AZ_Alkmaar
Adam_Maher | club | PSV_Eindhoven
Adam_Maher | birthPlace | Diemen
Adam_Maher | club | AZ_Alkmaar
Adam_McQuaid | birthPlace | Canada
Adam_McQuaid | birthYear | 1986
Adam_McQuaid | height | 1.9558
Adam_McQuaid | birthPlace | Canada
Adam_McQuaid | weight | 94.8024 (kilograms)
Adam_McQuaid | birthYear | 1986
Adam_McQuaid | birthPlace | Charlottetown
Adam_McQuaid | birthYear | 1986
Adam_McQuaid | height | 1.9558
Adam_McQuaid | birthPlace | Charlottetown
Adam_McQuaid | weight | 94.8024 (kilograms)
