(15788)_1993_SB | discoverer | Donal_O'Ceallaigh
(15788)_1993_SB | epoch | 2006-03-06
(15788)_1993_SB | periapsis | 3997100000000.0
(15788)_1993_SB | discoverer | Iwan_P._Williams
(15788)_1993_SB | epoch | 2006-03-06
(15788)_1993_SB | periapsis | 3997100000000.0
(15788)_1993_SB | periapsis | 3997100000000.0
(15788)_1993_SB | epoch | 2006-03-06
(15788)_1993_SB | discoverer | Alan_Fitzsimmons
(15788)_1993_SB | periapsis | 3997100000000.0
(15788)_1993_SB | epoch | 2006-03-06
(15788)_1993_SB | discoverer | Roque_de_los_Muchachos_Observatory
(29075)_1950_DA | epoch | 2011-Aug-27
(29075)_1950_DA | mass | 4.0 (kilograms)
(29075)_1950_DA | orbitalPeriod | 69862200.0
(29075)_1950_DA | epoch | 2011-Aug-27
(29075)_1950_DA | orbitalPeriod | 69862200.0
(29075)_1950_DA | periapsis | 124950000000.0
(29075)_1950_DA | mass | 4.0 (kilograms)
(29075)_1950_DA | orbitalPeriod | 69862200.0
(29075)_1950_DA | periapsis | 124950000000.0
(410777)_2009_FD | discoverer | Spacewatch
(410777)_2009_FD | mass | 8.3 (kilograms)
(410777)_2009_FD | periapsis | 88234300000.0
(410777)_2009_FD | discoverer | Spacewatch
(410777)_2009_FD | periapsis | 88234300000.0
(410777)_2009_FD | apoapsis | 259776702.47055 (kilometres)
(410777)_2009_FD | epoch | 2015-06-27
(410777)_2009_FD | orbitalPeriod | 39447000.0
(410777)_2009_FD | discoverer | Spacewatch
(410777)_2009_FD | orbitalPeriod | 39447000.0
(410777)_2009_FD | discoverer | Spacewatch
(410777)_2009_FD | apoapsis | 259776702.47055 (kilometres)
(410777)_2009_FD | periapsis | 88234300000.0
(410777)_2009_FD | epoch | 2015-06-27
(410777)_2009_FD | discoverer | Spacewatch
(66063)_1998_RO1 | epoch | 2013-11-04
(66063)_1998_RO1 | formerName | 1999 SN5
(66063)_1998_RO1 | periapsis | 41498400000.0
(66063)_1998_RO1 | formerName | 1999 SN5
(66063)_1998_RO1 | orbitalPeriod | 360.29 (days)
(66063)_1998_RO1 | epoch | 2013-11-04
(66063)_1998_RO1 | meanTemperature | 265.0 (kelvins)
(66063)_1998_RO1 | apoapsis | 254989570.60815 (kilometres)
(66063)_1998_RO1 | epoch | 2013-11-04
(66063)_1998_RO1 | meanTemperature | 265.0 (kelvins)
(66063)_1998_RO1 | apoapsis | 254989570.60815 (kilometres)
(66063)_1998_RO1 | orbitalPeriod | 360.29 (days)
1000_Piazzia | epoch | 2015-06-27
1000_Piazzia | formerName | 1967 ED
1000_Piazzia | periapsis | 352497000000.0
1000_Piazzia | epoch | 2015-06-27
1000_Piazzia | mass | 1.1 (kilograms)
1000_Piazzia | orbitalPeriod | 488160.0
1000_Piazzia | formerName | 1923 NZ1951 OB
1000_Piazzia | periapsis | 352497000000.0
1000_Piazzia | epoch | 2015-06-27
1001_Gaussia | epoch | 2015-06-27
1001_Gaussia | formerName | 1923 OAA907 XC
1001_Gaussia | orbitalPeriod | 5.75 (days)
1001_Gaussia | epoch | 2015-06-27
1001_Gaussia | formerName | A911 MD
1001_Gaussia | orbitalPeriod | 5.75 (days)
1001_Gaussia | epoch | 2015-06-27
1001_Gaussia | formerName | A911 MD
1001_Gaussia | periapsis | 419113394.55312 (kilometres)
1001_Gaussia | epoch | 2015-06-27
1001_Gaussia | orbitalPeriod | 5.75 (days)
1001_Gaussia | periapsis | 419113394.55312 (kilometres)
101_Helena | density | 2.0 (gramPerCubicCentimetres)
