Airman_(comicsCharacter) | creator | Harry_Sahle
Airman_(comicsCharacter) | alternativeName | Drake Stevens
Airman_(comicsCharacter) | creator | George_Kapitan
Asterix_(comicsCharacter) | creator | René_Goscinny
Asterix_(comicsCharacter) | alternativeName | Astérix
Asterix_(comicsCharacter) | creator | Albert_Uderzo
Asterix_(comicsCharacter) | creator | René_Goscinny
René_Goscinny | nationality | French_people
Asterix_(comicsCharacter) | alternativeName | Astérix
BBC | keyPerson | Rona_Fairhead
Bananaman | broadcastedBy | BBC
BBC | city | Broadcasting_House
BBC | keyPerson | Rona_Fairhead
Bananaman | broadcastedBy | BBC
BBC | city | London
BBC | keyPerson | Tony_Hall,_Baron_Hall_of_Birkenhead
Bananaman | broadcastedBy | BBC
BBC | city | Broadcasting_House
Ballistic_(comicsCharacter) | creator | Doug_Moench
Ballistic_(comicsCharacter) | alternativeName | Kelvin Mao
Ballistic_(comicsCharacter) | creator | Michael Manley
Bananaman | broadcastedBy | BBC
BBC | city | Broadcasting_House
BBC | foundedBy | John_Reith,_1st_Baron_Reith
Bananaman | broadcastedBy | BBC
BBC | city | London
BBC | foundedBy | John_Reith,_1st_Baron_Reith
Bananaman | broadcastedBy | BBC
Bananaman | starring | Bill_Oddie
Bananaman | firstAired | 1983-10-03
Bananaman | broadcastedBy | BBC
Bananaman | starring | Graeme_Garden
Bananaman | firstAired | 1983-10-03
Bananaman | broadcastedBy | BBC
Bananaman | starring | Jill_Shilling
Bananaman | firstAired | 1983-10-03
Bananaman | starring | Bill_Oddie
Bill_Oddie | child | Kate_Hardie
Bill_Oddie | birthPlace | Lancashire
Bananaman | starring | Bill_Oddie
Bill_Oddie | child | Kate_Hardie
Bill_Oddie | birthPlace | Rochdale
Bananaman | starring | Graeme_Garden
Bananaman | firstAired | 1983-10-03
Bananaman | broadcastedBy | STV
Bananaman | starring | Jill_Shilling
Bananaman | firstAired | 1983-10-03
Bananaman | broadcastedBy | STV
Bananaman | starring | Tim_Brooke-Taylor
Bananaman | broadcastedBy | BBC
Bananaman | firstAired | 1983-10-03
Bananaman | starring | Tim_Brooke-Taylor
Bananaman | firstAired | 1983-10-03
Bananaman | broadcastedBy | STV
Bananaman | starring | Tim_Brooke-Taylor
Bananaman | lastAired | 1986-04-15
Bananaman | broadcastedBy | STV
Ben_Urich | creator | Roger_McKenzie_(comic_book_writer)
Ben_Urich | creator | Gene_Colan
Ben_Urich | fullName | Benjamin Urich
Ben_Urich | creator | Roger_McKenzie_(comic_book_writer)
Ben_Urich | creator | Gene_Colan
Gene_Colan | nationality | Americans
Ben_Urich | creator | Roger_McKenzie_(comic_book_writer)
Roger_McKenzie_(comic_book_writer) | nationality | United_States
Ben_Urich | creator | Gene_Colan
Blockbuster_(comicsCharacter) | alternativeName | Mark Desmond
Blockbuster_(comicsCharacter) | creator | Carmine_Infantino
Blockbuster_(comicsCharacter) | creator | Tom_Lyle
Blockbuster_(comicsCharacter) | creator | Gardner_Fox
Blockbuster_(comicsCharacter) | alternativeName | Roland Desmond
Blockbuster_(comicsCharacter) | creator | Tom_Lyle
