1955_Dodge | engine | V8_engine
1955_Dodge | alternativeName | Dodge Custom Royal
1955_Dodge | bodyStyle | Hardtop
1955_Dodge | engine | V8_engine
1955_Dodge | manufacturer | Dodge
1955_Dodge | wheelbase | 120.0 (inches)
1955_Dodge | engine | V8_engine
1955_Dodge | transmission | 3-speed automatic
1955_Dodge | alternativeName | Dodge Custom Royal
1955_Dodge | engine | V8_engine
1955_Dodge | transmission | 3-speed automatic
1955_Dodge | alternativeName | Dodge Suburban
1955_Dodge | engine | V8_engine
1955_Dodge | transmission | 3-speed automatic
1955_Dodge | bodyStyle | Hardtop
1955_Dodge | engine | V8_engine
1955_Dodge | transmission | 3-speed automatic
1955_Dodge | bodyStyle | Station_wagon
1955_Dodge | relatedMeanOfTransportation | DeSoto_Custom
1955_Dodge | relatedMeanOfTransportation | Plymouth_Plaza
1955_Dodge | manufacturer | Dodge
1955_Dodge | relatedMeanOfTransportation | DeSoto_Custom
1955_Dodge | relatedMeanOfTransportation | Plymouth_Plaza
DeSoto_Custom | manufacturer | DeSoto_(automobile)
1955_Dodge | relatedMeanOfTransportation | DeSoto_Custom
DeSoto_Custom | relatedMeanOfTransportation | Chrysler_Newport
1955_Dodge | manufacturer | Dodge
1955_Dodge | relatedMeanOfTransportation | DeSoto_Custom
DeSoto_Custom | relatedMeanOfTransportation | Chrysler_Newport
DeSoto_Custom | manufacturer | DeSoto_(automobile)
1955_Dodge | relatedMeanOfTransportation | DeSoto_Custom
DeSoto_Custom | relatedMeanOfTransportation | Dodge_Coronet
1955_Dodge | manufacturer | Dodge
1955_Dodge | relatedMeanOfTransportation | Plymouth_Plaza
1955_Dodge | relatedMeanOfTransportation | DeSoto_Custom
Plymouth_Plaza | manufacturer | Plymouth_(automobile)
ALCO_RS-3 | builder | American_Locomotive_Company
ALCO_RS-3 | buildDate | May 1950 - August 1956
ALCO_RS-3 | engine | Four-stroke_engine
ALCO_RS-3 | builder | American_Locomotive_Company
ALCO_RS-3 | cylinderCount | 12
ALCO_RS-3 | length | 17068.8 (millimetres)
ALCO_RS-3 | builder | American_Locomotive_Company
ALCO_RS-3 | engine | V12_engine
ALCO_RS-3 | buildDate | May 1950 - August 1956
ALCO_RS-3 | builder | American_Locomotive_Company
ALCO_RS-3 | powerType | Diesel-electric_transmission
ALCO_RS-3 | length | 17068.8 (millimetres)
ALCO_RS-3 | builder | American_Locomotive_Company
ALCO_RS-3 | totalProduction | 1418
ALCO_RS-3 | length | 17068.8 (millimetres)
ALCO_RS-3 | builder | American_Locomotive_Company
American_Locomotive_Company | foundationPlace | United_States
ALCO_RS-3 | length | 17068.8 (millimetres)
ALCO_RS-3 | builder | American_Locomotive_Company
American_Locomotive_Company | country | United_States
American_Locomotive_Company | foundationPlace | Schenectady,_New_York
ALCO_RS-3 | builder | Montreal_Locomotive_Works
ALCO_RS-3 | buildDate | May 1950 - August 1956
ALCO_RS-3 | engine | Four-stroke_engine
ALCO_RS-3 | builder | Montreal_Locomotive_Works
ALCO_RS-3 | engine | Four-stroke_engine
ALCO_RS-3 | length | 17068.8 (millimetres)
ALCO_RS-3 | builder | Montreal_Locomotive_Works
ALCO_RS-3 | engine | V12_engine
ALCO_RS-3 | buildDate | May 1950 - August 1956
ALCO_RS-3 | builder | Montreal_Locomotive_Works
ALCO_RS-3 | engine | V12_engine
ALCO_RS-3 | length | 17068.8 (millimetres)
ALCO_RS-3 | builder | Montreal_Locomotive_Works
ALCO_RS-3 | powerType | Diesel-electric_transmission
ALCO_RS-3 | length | 17068.8 (millimetres)
ALCO_RS-3 | builder | Montreal_Locomotive_Works
ALCO_RS-3 | totalProduction | 1418
ALCO_RS-3 | length | 17068.8 (millimetres)
ALV_X-1 | countryOrigin | United_States
ALV_X-1 | diameter | 1.524 (metres)
ALV_X-1 | launchSite | Mid-Atlantic_Regional_Spaceport
ALV_X-1 | countryOrigin | United_States
United_States | ethnicGroup | African_Americans
United_States | anthem | The_Star-Spangled_Banner
