Bootleg_Series_Volume_1:_The_Quine_Tapes | precededBy | Squeeze_(The_Velvet_Underground_album)
Squeeze_(The_Velvet_Underground_album) | followedBy | 1969:_The_Velvet_Underground_Live
Bootleg_Series_Volume_1:_The_Quine_Tapes | genre | Rock_music
Bootleg_Series_Volume_1:_The_Quine_Tapes | precededBy | Squeeze_(The_Velvet_Underground_album)
Squeeze_(The_Velvet_Underground_album) | precededBy | Andy_Warhol's_Velvet_Underground_Featuring_Nico
Bootleg_Series_Volume_1:_The_Quine_Tapes | artist | The_Velvet_Underground
Bootleg_Series_Volume_1:_The_Quine_Tapes | producer | The_Velvet_Underground
Bootleg_Series_Volume_1:_The_Quine_Tapes | runtime | 230.05
Bootleg_Series_Volume_1:_The_Quine_Tapes | recordedIn | United_States
Bootleg_Series_Volume_1:_The_Quine_Tapes | recordedIn | St._Louis,_Missouri
Bootleg_Series_Volume_1:_The_Quine_Tapes | genre | Rock_music
Bootleg_Series_Volume_1:_The_Quine_Tapes | recordLabel | Polydor_Records
Bootleg_Series_Volume_1:_The_Quine_Tapes | producer | The_Velvet_Underground
Bootleg_Series_Volume_1:_The_Quine_Tapes | recordedIn | United_States
Bootleg_Series_Volume_1:_The_Quine_Tapes | recordedIn | St._Louis,_Missouri
Bootleg_Series_Volume_1:_The_Quine_Tapes | genre | Rock_music
Expect_a_Miracle | genre | Easy_listening
Squeeze_(The_Velvet_Underground_album) | followedBy | 1969:_The_Velvet_Underground_Live
Bootleg_Series_Volume_1:_The_Quine_Tapes | artist | The_Velvet_Underground
Bootleg_Series_Volume_1:_The_Quine_Tapes | producer | The_Velvet_Underground
Bootleg_Series_Volume_1:_The_Quine_Tapes | runtime | 230.05
Bootleg_Series_Volume_1:_The_Quine_Tapes | recordedIn | United_States
Bootleg_Series_Volume_1:_The_Quine_Tapes | genre | Rock_music
Sludge_metal | musicSubgenre | Southern_sludge
The_Velvet_Underground | genre | Proto-punk
Bootleg_Series_Volume_1:_The_Quine_Tapes | precededBy | Squeeze_(The_Velvet_Underground_album)
Bootleg_Series_Volume_1:_The_Quine_Tapes | recordLabel | Polydor_Records
Bootleg_Series_Volume_1:_The_Quine_Tapes | recordLabel | Universal_Music_Group
Bootleg_Series_Volume_1:_The_Quine_Tapes | recordLabel | Universal_Music_Group
Turn_Me_On_(album) | genre | Noise_rock
Noise_rock | musicFusionGenre | Noise_pop
Bootleg_Series_Volume_1:_The_Quine_Tapes | artist | The_Velvet_Underground
Bootleg_Series_Volume_1:_The_Quine_Tapes | runtime | 230.05
Bootleg_Series_Volume_1:_The_Quine_Tapes | producer | The_Velvet_Underground
Bootleg_Series_Volume_1:_The_Quine_Tapes | runtime | 230.05
Bootleg_Series_Volume_1:_The_Quine_Tapes | recordedIn | United_States
Take_It_Off! | producer | The_Honeymoon_Killers_(American_band)
Expect_a_Miracle | type | Compilation_Album
Expect_a_Miracle | followedBy | Afterplay_(Brian_Kelly_album)
Expect_a_Miracle | runtime | 54.56
Expect_a_Miracle | genre | Instrumental_music
Expect_a_Miracle | genre | Easy_listening
Take_It_Off! | genre | Noise_rock
Bootleg_Series_Volume_1:_The_Quine_Tapes | recordedIn | United_States
United_States | language | English_language
Bootleg_Series_Volume_1:_The_Quine_Tapes | recordedIn | St._Louis,_Missouri
Turn_Me_On_(album) | artist | The_Honeymoon_Killers_(American_band)
Turn_Me_On_(album) | producer | The_Honeymoon_Killers_(American_band)
Turn_Me_On_(album) | precededBy | Let_It_Breed
Turn_Me_On_(album) | runtime | 35.1
Expect_a_Miracle | runtime | 54.56
Expect_a_Miracle | precededBy | Pools_of_Light_(Brian_Kelly_album)
Expect_a_Miracle | genre | Instrumental_music
Expect_a_Miracle | followedBy | Afterplay_(Brian_Kelly_album)
Bootleg_Series_Volume_1:_The_Quine_Tapes | artist | The_Velvet_Underground
Bootleg_Series_Volume_1:_The_Quine_Tapes | producer | The_Velvet_Underground
Expect_a_Miracle | producer | Brian_Kelly_(composer_&_pianist)
Expect_a_Miracle | runtime | 54.56
Expect_a_Miracle | artist | Brian_Kelly_(composer_&_pianist)
Expect_a_Miracle | type | Compilation_Album
Expect_a_Miracle | precededBy | Pools_of_Light_(Brian_Kelly_album)
Expect_a_Miracle | genre | Instrumental_music
Punk_blues | instrument | Drum_kit
Bootleg_Series_Volume_1:_The_Quine_Tapes | recordedIn | United_States
Bootleg_Series_Volume_1:_The_Quine_Tapes | recordedIn | St._Louis,_Missouri
Bootleg_Series_Volume_1:_The_Quine_Tapes | precededBy | Squeeze_(The_Velvet_Underground_album)
Bootleg_Series_Volume_1:_The_Quine_Tapes | recordLabel | Polydor_Records
Bootleg_Series_Volume_1:_The_Quine_Tapes | recordLabel | Universal_Music_Group
Bootleg_Series_Volume_1:_The_Quine_Tapes | releaseDate | 2001-10-16
Bootleg_Series_Volume_1:_The_Quine_Tapes | runtime | 230.05
Turn_Me_On_(album) | runtime | 35.1
Turn_Me_On_(album) | artist | The_Honeymoon_Killers_(American_band)
Turn_Me_On_(album) | genre | Punk_blues
Turn_Me_On_(album) | producer | The_Honeymoon_Killers_(American_band)
Turn_Me_On_(album) | genre | Noise_rock
Turn_Me_On_(album) | producer | Wharton_Tiers
Polydor_Records | parentCompany | Universal_Music_Group
Let_It_Breed | followedBy | Turn_Me_On_(album)
Turn_Me_On_(album) | runtime | 35.1
Turn_Me_On_(album) | artist | The_Honeymoon_Killers_(American_band)
Turn_Me_On_(album) | genre | Punk_blues
Turn_Me_On_(album) | producer | The_Honeymoon_Killers_(American_band)
Turn_Me_On_(album) | genre | Noise_rock
Bootleg_Series_Volume_1:_The_Quine_Tapes | recordedIn | St._Louis,_Missouri
San_Francisco | leader | Ed_Lee_(politician)
Bootleg_Series_Volume_1:_The_Quine_Tapes | recordedIn | San_Francisco
Expect_a_Miracle | producer | Brian_Kelly_(composer_&_pianist)
Expect_a_Miracle | runtime | 54.56
Expect_a_Miracle | precededBy | Pools_of_Light_(Brian_Kelly_album)
Turn_Me_On_(album) | runtime | 35.1
Turn_Me_On_(album) | artist | The_Honeymoon_Killers_(American_band)
Turn_Me_On_(album) | genre | Punk_blues
The_Velvet_Underground | associatedBand/associatedMusicalArtist | Theatre_of_Eternal_Music
Noise_rock | stylisticOrigin | Noise_music
Bootleg_Series_Volume_1:_The_Quine_Tapes | genre | Rock_music
Turn_Me_On_(album) | runtime | 35.1
Turn_Me_On_(album) | artist | The_Honeymoon_Killers_(American_band)
Turn_Me_On_(album) | genre | Punk_blues
Turn_Me_On_(album) | producer | The_Honeymoon_Killers_(American_band)
Expect_a_Miracle | genre | Instrumental_music
Expect_a_Miracle | genre | Easy_listening
Turn_Me_On_(album) | precededBy | Let_It_Breed
Turn_Me_On_(album) | runtime | 35.1
Turn_Me_On_(album) | followedBy | Take_It_Off!
Expect_a_Miracle | artist | Brian_Kelly_(composer_&_pianist)
Expect_a_Miracle | runtime | 54.56
Expect_a_Miracle | genre | Instrumental_music
Expect_a_Miracle | followedBy | Afterplay_(Brian_Kelly_album)
Expect_a_Miracle | genre | Easy_listening
Squeeze_(The_Velvet_Underground_album) | genre | Rock_music
Expect_a_Miracle | type | Compilation_Album
Expect_a_Miracle | precededBy | Pools_of_Light_(Brian_Kelly_album)
Expect_a_Miracle | followedBy | Afterplay_(Brian_Kelly_album)
Expect_a_Miracle | producer | Brian_Kelly_(composer_&_pianist)
Expect_a_Miracle | genre | Instrumental_music
Expect_a_Miracle | producer | Brian_Kelly_(composer_&_pianist)
Expect_a_Miracle | runtime | 54.56
Expect_a_Miracle | precededBy | Pools_of_Light_(Brian_Kelly_album)
Expect_a_Miracle | genre | Instrumental_music
Turn_Me_On_(album) | precededBy | Let_It_Breed
Turn_Me_On_(album) | followedBy | Take_It_Off!
Expect_a_Miracle | genre | Instrumental_music
Turn_Me_On_(album) | producer | Wharton_Tiers
Take_It_Off! | followedBy | 'Til_Death_Do_Us_Part_(EP)
Turn_Me_On_(album) | followedBy | Take_It_Off!
Take_It_Off! | producer | The_Honeymoon_Killers_(American_band)
Expect_a_Miracle | artist | Brian_Kelly_(composer_&_pianist)
Expect_a_Miracle | type | Compilation_Album
Expect_a_Miracle | runtime | 54.56
Expect_a_Miracle | precededBy | Pools_of_Light_(Brian_Kelly_album)
Expect_a_Miracle | artist | Brian_Kelly_(composer_&_pianist)
Expect_a_Miracle | genre | Instrumental_music
Turn_Me_On_(album) | genre | Punk_blues
Turn_Me_On_(album) | runtime | 35.1
Turn_Me_On_(album) | precededBy | Let_It_Breed
Let_It_Breed | precededBy | Love_American_Style_(album)
Turn_Me_On_(album) | artist | The_Honeymoon_Killers_(American_band)
Turn_Me_On_(album) | genre | Punk_blues
Turn_Me_On_(album) | genre | Noise_rock
Turn_Me_On_(album) | precededBy | Let_It_Breed
Turn_Me_On_(album) | runtime | 35.1
Expect_a_Miracle | runtime | 54.56
Expect_a_Miracle | type | Compilation_Album
Expect_a_Miracle | precededBy | Pools_of_Light_(Brian_Kelly_album)
Expect_a_Miracle | genre | Instrumental_music
Turn_Me_On_(album) | runtime | 35.1
Turn_Me_On_(album) | artist | The_Honeymoon_Killers_(American_band)
Turn_Me_On_(album) | producer | The_Honeymoon_Killers_(American_band)
Turn_Me_On_(album) | precededBy | Let_It_Breed
Turn_Me_On_(album) | producer | Wharton_Tiers
Turn_Me_On_(album) | producer | The_Honeymoon_Killers_(American_band)
Wharton_Tiers | birthDate | 1953-01-01
Turn_Me_On_(album) | producer | Wharton_Tiers
Expect_a_Miracle | artist | Brian_Kelly_(composer_&_pianist)
Expect_a_Miracle | genre | Instrumental_music
Expect_a_Miracle | genre | Easy_listening
Turn_Me_On_(album) | runtime | 35.1
Turn_Me_On_(album) | artist | The_Honeymoon_Killers_(American_band)
Turn_Me_On_(album) | producer | The_Honeymoon_Killers_(American_band)
Expect_a_Miracle | genre | Easy_listening
Expect_a_Miracle | precededBy | Pools_of_Light_(Brian_Kelly_album)
Expect_a_Miracle | producer | Brian_Kelly_(composer_&_pianist)
Expect_a_Miracle | runtime | 54.56
Expect_a_Miracle | artist | Brian_Kelly_(composer_&_pianist)
Expect_a_Miracle | genre | Instrumental_music
Take_It_Off! | producer | Wharton_Tiers
Take_It_Off! | precededBy | Turn_Me_On_(album)
Expect_a_Miracle | producer | Brian_Kelly_(composer_&_pianist)
Expect_a_Miracle | runtime | 54.56
Expect_a_Miracle | artist | Brian_Kelly_(composer_&_pianist)
Expect_a_Miracle | type | Compilation_Album
Expect_a_Miracle | precededBy | Pools_of_Light_(Brian_Kelly_album)
Expect_a_Miracle | producer | Brian_Kelly_(composer_&_pianist)
Expect_a_Miracle | runtime | 54.56
Expect_a_Miracle | artist | Brian_Kelly_(composer_&_pianist)
Expect_a_Miracle | type | Compilation_Album
Expect_a_Miracle | precededBy | Pools_of_Light_(Brian_Kelly_album)
Expect_a_Miracle | genre | Instrumental_music
Expect_a_Miracle | followedBy | Afterplay_(Brian_Kelly_album)
Expect_a_Miracle | producer | Brian_Kelly_(composer_&_pianist)
Expect_a_Miracle | type | Compilation_Album
Expect_a_Miracle | runtime | 54.56
Expect_a_Miracle | precededBy | Pools_of_Light_(Brian_Kelly_album)
Noise_rock | musicFusionGenre | Noise_pop
Live_at_Roadburn_2008_(Year_of_No_Light_album) | followedBy | Karysun_/_Year_of_No_Light
Noise_rock | derivative | Post-hardcore
Expect_a_Miracle | precededBy | Pools_of_Light_(Brian_Kelly_album)
Expect_a_Miracle | genre | Instrumental_music
Expect_a_Miracle | followedBy | Afterplay_(Brian_Kelly_album)
Wharton_Tiers | birthDate | 1953-01-01
Expect_a_Miracle | precededBy | Pools_of_Light_(Brian_Kelly_album)
Expect_a_Miracle | followedBy | Afterplay_(Brian_Kelly_album)
Expect_a_Miracle | genre | Instrumental_music
Expect_a_Miracle | producer | Brian_Kelly_(composer_&_pianist)
Expect_a_Miracle | genre | Easy_listening
Expect_a_Miracle | artist | Brian_Kelly_(composer_&_pianist)
Expect_a_Miracle | producer | Brian_Kelly_(composer_&_pianist)
Expect_a_Miracle | runtime | 54.56
Expect_a_Miracle | artist | Brian_Kelly_(composer_&_pianist)
Expect_a_Miracle | precededBy | Pools_of_Light_(Brian_Kelly_album)
Expect_a_Miracle | precededBy | Pools_of_Light_(Brian_Kelly_album)
Expect_a_Miracle | followedBy | Afterplay_(Brian_Kelly_album)
