Aaron_S._Daggett | battle | American_Civil_War
Aaron_S._Daggett | award | Purple_Heart
Aaron_S._Daggett | birthPlace | Greene,_Maine
Aaron_S._Daggett | battle | American_Civil_War
Aaron_S._Daggett | award | Purple_Heart
Aaron_S._Daggett | birthPlace | Maine
Aaron_S._Daggett | battle | Battle_of_Gettysburg
Aaron_S._Daggett | award | Purple_Heart
Aaron_S._Daggett | birthPlace | Greene,_Maine
Aaron_S._Daggett | battle | Battle_of_Gettysburg
Aaron_S._Daggett | award | Purple_Heart
Aaron_S._Daggett | birthPlace | Maine
Aaron_S._Daggett | battle | Battle_of_the_Wilderness
Aaron_S._Daggett | award | Purple_Heart
Aaron_S._Daggett | birthPlace | Greene,_Maine
Aaron_S._Daggett | battle | Battle_of_the_Wilderness
Aaron_S._Daggett | award | Purple_Heart
Aaron_S._Daggett | birthPlace | Maine
Abdul_Rahman_Ya'kub | hasDeputy | Stephen_Yong_Kuet_Tze
Abdul_Taib_Mahmud | birthPlace | Miri,_Malaysia
Abdul_Taib_Mahmud | successor | Abdul_Rahman_Ya'kub
Abdul_Rahman_Ya'kub | inOfficeWhileVicePresident | Tuanku_Bujang_Tuanku_Othman
Abdul_Rahman_Ya'kub | hasDeputy | Stephen_Yong_Kuet_Tze
Abdul_Taib_Mahmud | successor | Abdul_Rahman_Ya'kub
Abdul_Rahman_Ya'kub | inOfficeWhileVicePresident | Tuanku_Bujang_Tuanku_Othman
Abdul_Taib_Mahmud | birthPlace | Kingdom_of_Sarawak
Abdul_Taib_Mahmud | successor | Abdul_Rahman_Ya'kub
Abdul_Rahman_Ya'kub | inOfficeWhileVicePresident | Tuanku_Bujang_Tuanku_Othman
Abdul_Taib_Mahmud | birthPlace | Miri,_Malaysia
Abdul_Taib_Mahmud | successor | Abdul_Rahman_Ya'kub
Abdul_Taib_Mahmud | birthPlace | Kingdom_of_Sarawak
Abdul_Taib_Mahmud | residence | Demak Jaya, Jalan Bako, Kuching, Sarawak
Abdul_Taib_Mahmud | successor | Abdul_Rahman_Ya'kub
Abdul_Taib_Mahmud | birthPlace | Kingdom_of_Sarawak
Abdul_Taib_Mahmud | successor | Sulaiman_Abdul_Rahman_Taib
Abdul_Taib_Mahmud | residence | Demak Jaya, Jalan Bako, Kuching, Sarawak
Abdul_Taib_Mahmud | birthPlace | Miri,_Malaysia
Abdul_Taib_Mahmud | residence | Demak Jaya, Jalan Bako, Kuching, Sarawak
Abdul_Taib_Mahmud | successor | Abdul_Rahman_Ya'kub
Abdul_Taib_Mahmud | party | Parti_Pesaka_Bumiputera_Bersatu
Abdul_Taib_Mahmud | birthPlace | Kingdom_of_Sarawak
Abdul_Taib_Mahmud | residence | Demak Jaya, Jalan Bako, Kuching, Sarawak
Abdul_Taib_Mahmud | party | Parti_Pesaka_Bumiputera_Bersatu
Abdul_Taib_Mahmud | birthPlace | Miri,_Malaysia
Abdul_Taib_Mahmud | residence | Demak Jaya, Jalan Bako, Kuching, Sarawak
Abdul_Taib_Mahmud | party | Parti_Pesaka_Bumiputera_Bersatu
Abdul_Taib_Mahmud | residence | Kuching
Abdul_Taib_Mahmud | birthPlace | Miri,_Malaysia
Abdul_Taib_Mahmud | residence | Sarawak
Abdul_Taib_Mahmud | party | Parti_Pesaka_Bumiputera_Bersatu
Abdul_Taib_Mahmud | birthPlace | Kingdom_of_Sarawak
Abdul_Taib_Mahmud | residence | Sarawak
Abdul_Taib_Mahmud | party | Parti_Pesaka_Bumiputera_Bersatu
Abdul_Taib_Mahmud | birthPlace | Miri,_Malaysia
Abdul_Taib_Mahmud | successor | Adenan_Satem
Abdul_Taib_Mahmud | birthPlace | Kingdom_of_Sarawak
Abdul_Taib_Mahmud | residence | Demak Jaya, Jalan Bako, Kuching, Sarawak
Abdul_Taib_Mahmud | successor | Adenan_Satem
Adenan_Satem | birthPlace | Japanese_occupation_of_British_Borneo
Abdul_Taib_Mahmud | residence | Demak Jaya, Jalan Bako, Kuching, Sarawak
Abdulsalami_Abubakar | inOfficeWhileVicePresident | Mike_Akhigbe
Abdulsalami_Abubakar | militaryBranch | Nigerian_Air_Force
Mike_Akhigbe | successor | Atiku_Abubakar
Abdulsalami_Abubakar | inOfficeWhileVicePresident | Mike_Akhigbe
Abdulsalami_Abubakar | successor | Al-Amin_Daggash
Abdulsalami_Abubakar | militaryBranch | Nigerian_Air_Force
Abdulsalami_Abubakar | inOfficeWhileVicePresident | Mike_Akhigbe
Mike_Akhigbe | predecessor | Oladipo_Diya
Abdulsalami_Abubakar | successor | Al-Amin_Daggash
Abdulsalami_Abubakar | office | Chief_of_the_Defence_Staff_(Nigeria)
Abdulsalami_Abubakar | birthPlace | Minna
Abdulsalami_Abubakar | almaMater | Technical_Institute,_Kaduna
Abdulsalami_Abubakar | successor | Olusegun_Obasanjo
Abdulsalami_Abubakar | inOfficeWhileVicePresident | Mike_Akhigbe
Abdulsalami_Abubakar | militaryBranch | Nigerian_Air_Force
Abdulsalami_Abubakar | successor | Olusegun_Obasanjo
Abdulsalami_Abubakar | inOfficeWhileVicePresident | Mike_Akhigbe
Abdulsalami_Abubakar | militaryBranch | Nigerian_Army
Abdulsalami_Abubakar | successor | Olusegun_Obasanjo
