Olga_Bondareva | deathDate | 1991-12-09
Saint_Petersburg | foundingDate | 1703-05-27
Olga_Bondareva | deathPlace | Saint_Petersburg
Saint_Petersburg | areaTotal | 1439.0
Olga_Bondareva | deathPlace | Saint_Petersburg
Olga_Bondareva | birthDate | 1937-04-27
Olga_Bondareva | knownFor | Bondareva–Shapley_theorem
Olga_Bondareva | birthName | Olga Nikolaevna Bondareva
Olga_Bondareva | professionalField | Economics
Nurhan_Atasoy | nationality | Turkish_people
Olga_Bondareva | knownFor | Bondareva–Shapley_theorem
Olga_Bondareva | birthName | Olga Nikolaevna Bondareva
Olga_Bondareva | almaMater | Leningrad_State_University
Olga_Bondareva | birthPlace | Leningrad,_USSR
Olga_Bondareva | birthDate | 1937-04-27
Olga_Bondareva | knownFor | Bondareva–Shapley_theorem
Olga_Bondareva | birthName | Olga Nikolaevna Bondareva
Olga_Bondareva | almaMater | Leningrad_State_University
Turkey | demonym | Turk
Olga_Bondareva | birthDate | 1937-04-27
Olga_Bondareva | almaMater | Leningrad_State_University
Olga_Bondareva | deathDate | 1991-12-09
Olga_Bondareva | deathPlace | Saint_Petersburg
Saint_Petersburg | areaTotal | 1439.0
Olga_Bondareva | birthPlace | Leningrad,_USSR
Olga_Bondareva | birthDate | 1937-04-27
Olga_Bondareva | deathPlace | Saint_Petersburg
Olga_Bondareva | birthPlace | Leningrad,_USSR
India | leader | Pranab_Mukherjee
Nurhan_Atasoy | residence | Istanbul
Turkey | governmentType | Unitary_state
Nurhan_Atasoy | residence | Turkey
Turkey | leaderTitle | Prime Minister
Nurhan_Atasoy | birthPlace | Turkey
Nurhan_Atasoy | award | State_Award_for_Superior_Achievement
Istanbul | areaMetro | 5343000000.0
Nurhan_Atasoy | birthPlace | Reşadiye
Nurhan_Atasoy | residence | Istanbul
Istanbul | timeZone | Eastern_European_Summer_Time
Nurhan_Atasoy | birthPlace | Turkey
Turkey | leader | Recep_Tayyip_Erdoğan
Turkey | leader | Binali_Yıldırım
Olga_Bondareva | almaMater | Leningrad_State_University
Saint_Petersburg | foundingDate | 1703-05-27
Olga_Bondareva | deathPlace | Saint_Petersburg
Olga_Bondareva | deathPlace | Saint_Petersburg
