Inkspell | illustrator | Cornelia Funke
Illustrations of the Nests and Eggs of Birds of Ohio | illustrator | Genevieve Estelle Jones
Dare to Be Scared | illustrator | David Ouimet
Beyond the Deepwoods | illustrator | Chris Riddell
The Story of Holly and Ivy | illustrator | Adrienne Adams
My Pretty Pony | illustrator | Barbara Kruger
Charlotte's Web | illustrator | Garth Williams
Doctor Dolittle's Puddleby Adventures | illustrator | Hugh Lofting
Peter's Chair | illustrator | Ezra Jack Keats
History of the Indian Tribes of North America | illustrator | Charles Bird King
Original Stories from Real Life | illustrator | William Blake
Garden of Kama | illustrator | Byam Shaw
All Religions are One | illustrator | William Blake
I Am a Werewolf Cub | illustrator | Hans Arnold
Again, Dangerous Visions | illustrator | Ed Emshwiller
Apt. 3 | illustrator | Ezra Jack Keats
Probuditi! | illustrator | Chris Van Allsburg
An Octopus Followed Me Home | illustrator | Dan Yaccarino
Flora Londinensis | illustrator | James Sowerby
Where the Wild Things Are | illustrator | Maurice Sendak
Deathtrap Dungeon | illustrator | Iain McCaig
Doctor Dolittle's Zoo | illustrator | Hugh Lofting
Mexico and the Mexicans | illustrator | Johann Moritz Rugendas
Freddy and the Baseball Team from Mars | illustrator | Kurt Wiese
Roald Dahl's Guide to Railway Safety | illustrator | Quentin Blake
Dotter of Her Father's Eyes | illustrator | Bryan Talbot
I quattro libri dell'architettura | illustrator | Andrea Palladio
Mr Stink | illustrator | Quentin Blake
Fergus Crane | illustrator | Chris Riddell
A Growling Place | illustrator | Thomas Aquinas Maguire
All in a Day | illustrator | Raymond Briggs
Hugo Pepper | illustrator | Chris Riddell
Shrek! | illustrator | William Steig
John Henry, an American Legend | illustrator | Ezra Jack Keats
A New Alice in the Old Wonderland | illustrator | Anna Richards Brewster
Panda Bear, Panda Bear, What Do You See? | illustrator | Eric Carle
Marooned on Mars | illustrator | Alex Schomburg
Arrow to the Sun | illustrator | Gerald McDermott
Five Point Someone | illustrator | Chetan Bhagat
Goggles! | illustrator | Ezra Jack Keats
Sagrada Reset | illustrator | You Shiina
Grandfather's Journey | illustrator | Allen Say
The Marriage of Heaven and Hell | illustrator | William Blake
The Twelve Kingdoms | illustrator | Akihiro Yamada
Harry Kitten and Tucker Mouse | illustrator | Garth Williams
Clementina's Cactus | illustrator | Ezra Jack Keats
Duck, Death and the Tulip | illustrator | Wolf Erlbruch
Jerusalem The Emanation of the Giant Albion | illustrator | William Blake
Flora Graeca | illustrator | Ferdinand Bauer
The Foundling and Other Tales of Prydain | illustrator | Margot Zemach
Peter and the Sword of Mercy | illustrator | Greg Call
Officer Buckle and Gloria | illustrator | Peggy Rathmann
Stuart Little | illustrator | Garth Williams
Mary Poppins Opens the Door | illustrator | Mary Shepard
All in a Day | illustrator | Mitsumasa Anno
Genera Filicum | illustrator | Franz Bauer
A Tree Is Nice | illustrator | Marc Simont
Click, Clack, Splish, Splash | illustrator | Betsy Lewin
Biswasghatak | illustrator | Narayan Sanyal
The Enormous Crocodile | illustrator | Quentin Blake
A People's History of American Empire | illustrator | Mike Konopacki
Jennie's Hat! | illustrator | Ezra Jack Keats
Sikgaek | illustrator | Huh Young-man
Incident at Hawk's Hill | illustrator | Allan W. Eckert
Mirette on the High Wire | illustrator | Emily Arnold McCully
Lafcadio: The Lion Who Shot Back | illustrator | Shel Silverstein
Harold and the Purple Crayon | illustrator | Crockett Johnson
The Story of Doctor Dolittle | illustrator | Hugh Lofting
Alma Academia Leidensis | illustrator | Jan van de Velde
Doctor Dolittle and the Secret Lake | illustrator | Hugh Lofting
Songs of Innocence and of Experience | illustrator | William Blake
Dawn Wind | illustrator | Charles Keeping
A Letter to Amy | illustrator | Ezra Jack Keats
