Neverwinter Nights 2: Storm of Zehir | developer | Obsidian Entertainment
The Elder Scrolls III: Tribunal | developer | Bethesda Game Studios
Diablo II: Lord of Destruction | developer | Blizzard North
Grand Theft Auto: The Ballad of Gay Tony | developer | Rockstar North
Neverwinter Nights: Hordes of the Underdark | developer | BioWare
Windows XP | developer | Microsoft
BSD/OS | developer | Berkeley Software Design
Age of Empires II: The Forgotten | developer | Forgotten Empires
Black & White: Creature Isle | developer | Lionhead Studios
Opera Mini | developer | Opera Software
Grand Theft Auto IV: The Lost and Damned | developer | Rockstar North
Age of Conan: Rise of the Godslayer | developer | Funcom
Mass Effect 2: Arrival | developer | BioWare
DX10 | developer | Texas Instruments
Destiny: Rise of Iron | developer | Bungie
Magic Cap | developer | General Magic
Windows Mobile 6.0 | developer | Microsoft
Half-Life: Opposing Force | developer | Gearbox Software
Crysis Warhead | developer | Crytek
F.E.A.R. Perseus Mandate | developer | TimeGate Studios
K42 | developer | IBM
Heroes of Might and Magic III: Armageddon's Blade | developer | New World Computing
Fallout 4: Far Harbor | developer | Bethesda Game Studios
webOS | developer | LG Electronics
The Last of Us: Left Behind | developer | Naughty Dog
Infamous: Festival of Blood | developer | Sucker Punch Productions
Avid Free DV | developer | Avid Technology
The Sims 2: University | developer | Maxis
Dynix | developer | IBM
X-COM: Alliance | developer | MicroProse
Pinnacle Studio | developer | Pinnacle Systems
Opera GX | developer | Opera Software
Contract J.A.C.K. | developer | Monolith Productions
EROFS | developer | Huawei
Guild Wars 2: Path of Fire | developer | ArenaNet
Oryx/Pecos | developer | Bell Labs
MUSIC/SP | developer | McGill University
Delta Force: Task Force Dagger | developer | Zombie Studios
Gothic 3: Forsaken Gods | developer | Mad Vulture Games
Windows Home Server 2011 | developer | Microsoft
ChorusOS | developer | Chorus Systèmes
Multi-Environment Real-Time | developer | Bell Labs
Company of Heroes: Opposing Fronts | developer | Relic Entertainment
RISC OS | developer | Acorn Computers
Mass Effect 2: Lair of the Shadow Broker | developer | BioWare
General Comprehensive Operating System | developer | General Electric
Act of War: High Treason | developer | Eugen Systems
Edos | developer | The Computer Software Company
Free Studio | developer | DVDVideoSoft
Ultrix | developer | Digital Equipment Corporation
Windows Server 2008 | developer | Microsoft
OS/2 | developer | Microsoft
Transaction Management eXecutive | developer | NCR Corporation
SUPER-UX | developer | NEC
GlobalView | developer | Xerox
Heroes Chronicles | developer | New World Computing
Ultima Online: Samurai Empire | developer | Electronic Arts
GNOSIS | developer | Tymshare
Call of Duty: United Offensive | developer | Gray Matter Interactive
DC/OSx | developer | Pyramid Technology
CB UNIX | developer | Bell Labs
Myst Online: Uru Live | developer | Cyan Worlds
Acorn MOS | developer | Acorn Computers
Reiser4 | developer | Namesys
Painkiller: Overdose | developer | Mindware Studios
Opera Coast | developer | Opera Software
PowerDirector | developer | CyberLink
Domain/OS | developer | Apollo Computer
Destiny 2: Forsaken | developer | Bungie
Internet Explorer Mobile | developer | Microsoft
OpenVMS | developer | Digital Equipment Corporation
OS/390 | developer | IBM
Stronghold: Crusader | developer | Firefly Studios
Adobe Persuasion | developer | Aldus
TOPS-10 | developer | Digital Equipment Corporation
Operating System Embedded | developer | ENEA AB
Ulead MediaStudio Pro | developer | Ulead Systems
Age of Mythology: The Titans | developer | Ensemble Studios
Age of Empires II: The Forgotten | developer | SkyBox Labs
Pillars of Eternity: The White March | developer | Obsidian Entertainment
The Pirate Bay | creator | Fredrik Neij
Vampirella | creator | Forrest J Ackerman
Billoo | creator | Pran Kumar Sharma
QRpedia | creator | Roger Bamkin
Mezangelle | creator | Mez Breeze
EyeWriter | creator | James Powderly
Doom engine | creator | John Carmack
DaySide | creator | Linda Vester
Vitruvian Man | creator | Leonardo da Vinci
GNU Emacs | creator | Richard Stallman
River Raid | creator | Carol Shaw
Vue.js | creator | Evan You
GeoGebra | creator | Markus Hohenwarter
EyeWriter | creator | Evan Roth
