Elizabeth Carter Brooks | ethnic group | African Americans
Robin Washington | ethnic group | African Americans
Xernona Clayton | ethnic group | African Americans
Sue Bailey Thurman | ethnic group | African Americans
Ida B. Wells | ethnic group | African Americans
William Pickens | ethnic group | African Americans
William Cooper Nell | ethnic group | African Americans
Aline Elizabeth Black | ethnic group | African Americans
Nicetas the Goth | ethnic group | Goths
Lucy Craft Laney | ethnic group | African Americans
Lonne Elder III | ethnic group | African Americans
W. E. B. Du Bois | ethnic group | African Americans
Tina Allen | ethnic group | African Americans
Harriet Tubman | ethnic group | African Americans
John Arcand | ethnic group | Métis
Jennie Dean | ethnic group | African Americans
Matilda Evans | ethnic group | African Americans
John Mercer Langston | ethnic group | African Americans
Jennie B. Moton | ethnic group | African Americans
Ta-Nehisi Coates | ethnic group | African Americans
Henry P. Cheatham | ethnic group | African Americans
Maggie L. Walker | ethnic group | African Americans
Charles Ethan Porter | ethnic group | African Americans
Dennis Weatherby | ethnic group | African Americans
Lugenia Burns Hope | ethnic group | African Americans
David Bustill Bowser | ethnic group | African Americans
Tyra Banks | ethnic group | African Americans
Ben Fletcher | ethnic group | African Americans
Fredebal | ethnic group | Vandals
Muhammad Ali | ethnic group | African Americans
Medgar Evers | ethnic group | African Americans
Sam Lucas | ethnic group | African Americans
James Meredith | ethnic group | African Americans
Mary McLeod Bethune | ethnic group | African Americans
Bryan Stevenson | ethnic group | African Americans
P. H. Polk | ethnic group | African Americans
Thomas L. Jennings | ethnic group | African Americans
Athena LaTocha | ethnic group | Hunkpapa
Canada Lee | ethnic group | African Americans
Laura Wheeler Waring | ethnic group | African Americans
Jakob Balde | languages spoken, written or signed | Latin
Carl Friedrich Gauss | languages spoken, written or signed | Latin
Tibor Sekelj | languages spoken, written or signed | Esperanto
Lucretius | languages spoken, written or signed | Latin
Gaspard Bauhin | languages spoken, written or signed | Latin
Tacitus | languages spoken, written or signed | Latin
Edwin Davis French | languages spoken, written or signed | Esperanto
Duns Scotus | languages spoken, written or signed | Latin
Louis-Christophe Zaleski-Zamenhof | languages spoken, written or signed | Esperanto
Heinrich August Luyken | languages spoken, written or signed | Esperanto
Adomnán | languages spoken, written or signed | Latin
Wim De Smet | languages spoken, written or signed | Esperanto
Jo Haazen | languages spoken, written or signed | Esperanto
Emanuel Reicher | languages spoken, written or signed | Esperanto
Carlo Minnaja | languages spoken, written or signed | Esperanto
Frederic Nausea | languages spoken, written or signed | Latin
Marcus Aurelius | languages spoken, written or signed | Latin
John Esslemont | languages spoken, written or signed | Esperanto
Kazimierz Bein | languages spoken, written or signed | Esperanto
Louis de Beaufront | languages spoken, written or signed | Esperanto
Helmar Frank | languages spoken, written or signed | Esperanto
Adam Zamenhof | languages spoken, written or signed | Esperanto
Lorenz Heister | languages spoken, written or signed | Latin
Cezaro Rossetti | languages spoken, written or signed | Esperanto
Marjorie Boulton | languages spoken, written or signed | Esperanto
Leonhart Fuchs | languages spoken, written or signed | Latin
Petro Stojan | languages spoken, written or signed | Esperanto
Henri Dor | languages spoken, written or signed | Esperanto
Rogener Pavinski | languages spoken, written or signed | Esperanto
Bonaventure | languages spoken, written or signed | Latin
Herrad of Landsberg | languages spoken, written or signed | Latin
Augustus Van Dievoet | languages spoken, written or signed | Latin
Vladimir Varankin | languages spoken, written or signed | Esperanto
Horace | languages spoken, written or signed | Latin
Giovanni Pico della Mirandola | languages spoken, written or signed | Latin
Boris Kolker | languages spoken, written or signed | Esperanto
Conrad Gessner | languages spoken, written or signed | Latin
Baldur Ragnarsson | languages spoken, written or signed | Esperanto
Hugh Primas | languages spoken, written or signed | Latin
Gaston Waringhien | languages spoken, written or signed | Esperanto
Arika Okrent | languages spoken, written or signed | Esperanto
Ahmad Reza Mamduhi | languages spoken, written or signed | Esperanto
Don Harlow | languages spoken, written or signed | Esperanto
Plautus | languages spoken, written or signed | Latin
