Zhu Fuxi | military rank | Shang Jiang
Harold Taylor Wood Grant | military rank | vice admiral
Cai Yingting | military rank | Shang Jiang
Zhou Ziyu | military rank | Shang Jiang
Yu Qiuli | military rank | Zhong Jiang
Chen Mingren | military rank | Shang Jiang
Robert Peary | military rank | admiral
Michiel de Ruyter | military rank | admiral
Xian Henghan | military rank | Zhong Jiang
Francesco Caracciolo | military rank | admiral
Thomas Howard, 1st Earl of Suffolk | military rank | admiral
Fu Qiutao | military rank | Shang Jiang
Ding Haichun | military rank | Hai Jun Zhong Jiang
Li Zhimin | military rank | Shang Jiang
Cao Qing | military rank | Zhong Jiang
Amir Eshel | military rank | Aluf
Yuan Shoufang | military rank | Shang Jiang
Liu Bocheng | military rank | Marshal of the People's Republic of China
Zhang Shibo | military rank | Shang Jiang
Yi Sun-sin | military rank | admiral
Liu Lei | military rank | Shang Jiang
Zheng Weiping | military rank | Shang Jiang
Qi Jianguo | military rank | Shang Jiang
Roger de Rabutin, Comte de Bussy | military rank | Lieutenant General
Amos Yadlin | military rank | Aluf
Zhang Tingfa | military rank | Shao Jiang
Usdibad | military rank | Dux
Xiong Guangkai | military rank | Shang Jiang
Sun Sijing | military rank | Shang Jiang
Zhu Chenghu | military rank | Shao Jiang
Du Jincai | military rank | Shang Jiang
Shmuel Tankus | military rank | Aluf
Xing Rongjie | military rank | Shao Jiang
He Bingyan | military rank | Shang Jiang
Sun Jianguo | military rank | Hai Jun Shang Jiang
Domenico Cavagnari | military rank | admiral
Armin Zimmermann | military rank | admiral
Ai Husheng | military rank | Zhong Jiang
Liu Fulian | military rank | Shang Jiang
Liu Zhenwu | military rank | Shang Jiang
Aharon Remez | military rank | Aluf
Xiang Shouzhi | military rank | Shang Jiang
Eli Marom | military rank | Aluf
Li Shiming | military rank | Shang Jiang
Deng Hua | military rank | Shang Jiang
Enrico Millo | military rank | admiral
Xu Guangda | military rank | Da Jiang
Wilhelm Canaris | military rank | admiral
Wang Xinting | military rank | Shang Jiang
Zhao Zongqi | military rank | Shang Jiang
Wang Dengping | military rank | Hai Jun Zhong Jiang
Ram Rothberg | military rank | Aluf
Victor Valois | military rank | admiral
Wan Haifeng | military rank | Shang Jiang
Su Zhenhua | military rank | Hai Jun Shang Jiang
Shi Yunsheng | military rank | Hai Jun Shang Jiang
Alfred Meyer-Waldeck | military rank | admiral
Song Puxuan | military rank | Shang Jiang
Han Weiguo | military rank | Shang Jiang
Yishai Beer | military rank | Aluf
Wang Shouye | military rank | Hai Jun Zhong Jiang
Wilhelm von Tegetthoff | military rank | admiral
Paul Behncke | military rank | admiral
Philippe de Chabot | military rank | admiral
Avraham Ben-Shoshan | military rank | Aluf
Gaspard II de Coligny | military rank | admiral
Yan Hongyan | military rank | Shang Jiang
Udi Adam | military rank | Aluf
Otto Ciliax | military rank | admiral
Lai Chuanzhu | military rank | Shang Jiang
Frank Jack Fletcher | military rank | admiral
Abhakara Kiartivongse | military rank | admiral
Luigi Rizzo | military rank | admiral
Du Hengyan | military rank | Shang Jiang
Dieter Wellershoff | military rank | admiral
Wang Enmao | military rank | Zhong Jiang
Barry Domvile | military rank | admiral
Xu Fenlin | military rank | Shang Jiang
Ma Faxiang | military rank | Hai Jun Zhong Jiang
Ido Nehoshtan | military rank | Aluf
Kurt von Schleicher | military branch | Prussian Army
Friedrich Graf von Wrangel | military branch | Prussian Army
James Cook | military branch | Royal Navy
