Urusei Yatsura 2: Beautiful Dreamer | director | Mamoru Oshii
She and Her Cat | director | Makoto Shinkai
Minimum Viable Product | director | Mike Judge
Evangelion: 3.0 You Can (Not) Redo | director | Hideaki Anno
Evangelion: 2.0 You Can (Not) Advance | director | Hideaki Anno
Re: Cutie Honey | director | Hideaki Anno
A Letter to Momo | director | Hiroyuki Okiura
Hoodwinked! | director | Cory Edwards
Voices of a Distant Star | director | Makoto Shinkai
Knighty Knight Bugs | director | Friz Freleng
Children Who Chase Lost Voices | director | Makoto Shinkai
Mexicali Shmoes | director | Friz Freleng
Wackiki Wabbit | director | Chuck Jones
Sailor Moon R: The Movie | director | Kunihiko Ikuhara
Patlabor: The Movie | director | Mamoru Oshii
Herr Meets Hare | director | Friz Freleng
The Great Cognito | director | Will Vinton
Journey to the Beginning of Time | director | Karel Zeman
Fantasia 2000 | director | Don Hahn
Evangelion: 1.0 You Are (Not) Alone | director | Hideaki Anno
Toy Story 2 | director | John Lasseter
The End of Evangelion | director | Hideaki Anno
A Grand Day Out | director | Nick Park
Soup's On | director | Jack Hannah
Pent-House Mouse | director | Chuck Jones
Tenchi Forever! The Movie | director | Hiroshi Negishi
Resident Evil: Damnation | director | Makoto Kamiya
Which Is Witch | director | Friz Freleng
Final Fantasy VII: Advent Children | director | Tetsuya Nomura
American Pop | director | Ralph Bakshi
Monsters University | director | Dan Scanlon
Grave of the Fireflies | director | Isao Takahata
A Wind Named Amnesia | director | Kazuo Yamazaki
Pigs in a Polka | director | Friz Freleng
Cool World | director | Ralph Bakshi
When We Were Beautiful | director | Phil Griffin
Scooby-Doo! The Mystery Begins | director | Brian Levant
Anne no Nikki | director | Akinori Nagaoka
The Radio Detective | director | William James Craft
Alvin and the Chipmunks: The Squeakquel | director | Betty Thomas
Lipsett Diaries | director | Theodore Ushev
The Pagemaster | director | Joe Johnston
Hoodwinked! | director | Tony Leech
Sundae in New York | director | Jimmy Picker
The Chronicles of Riddick: Dark Fury | director | Peter Chung
Wideo Wabbit | director | Robert McKimson
Allegro Non Troppo | director | Bruno Bozzetto
Kiki's Delivery Service | director | Hayao Miyazaki
Ups 'n Downs | director | Hugh Harman
Princess Mononoke | director | Hayao Miyazaki
