Have You Ever? | composer | Diane Warren
Ballo della Regina | composer | Giuseppe Verdi
If It's Lovin' that You Want | composer | Makeba Riddick
Can't Get You Out of My Head | composer | Cathy Dennis
Call Me Maybe | composer | Josh Ramsay
Friends Will Be Friends | composer | Freddie Mercury
I Wanna Be Loved by You | composer | Herbert Stothart
Summertime Sadness | composer | Rick Nowels
Schmücke dich, o liebe Seele | composer | Johann Crüger
Ich steh an deiner Krippen hier | composer | Johann Sebastian Bach
When Love & Hate Collide | composer | Joe Elliott
Appalachian Spring | composer | Aaron Copland
Anthem of the Armenian Soviet Socialist Republic | composer | Aram Khachaturian
3500 | composer | 2 Chainz
Good Vibrations | composer | Brian Wilson
That's My Girl | composer | Alexander Kronlund
Adam Zero | composer | Arthur Bliss
Bae Bae | composer | G-Dragon
My Yiddishe Momme | composer | Lew Pollack
Baldurs draumar | composer | Geirr Tveitt
Moya Moskva | composer | Isaak Dunayevsky
I Wanna Be Loved by You | composer | Harry Ruby
When Love & Hate Collide | composer | Rick Savage
Les Indes galantes | composer | Jean-Philippe Rameau
Wait Your Turn | composer | Takura
Cara al Sol | composer | Juan Tellería
Hey Hey, My My (Into the Black) | composer | Neil Young
California Gurls | composer | Bonnie McKee
A Folk Tale | composer | Johan Peter Emilius Hartmann
Symphonie pour un homme seul | composer | Pierre Henry
Zwei kleine Italiener | composer | Christian Bruhn
Nobilissima Visione | composer | Paul Hindemith
3500 | composer | Travis Scott
Bump, Bump, Bump | composer | R. Kelly
Instant Karma! | composer | John Lennon
Was Gott tut, das ist wohlgetan | composer | Severus Gastorius
Terpsicore | composer | George Frideric Handel
Best of You | composer | Dave Grohl
Le Pavillon d'Armide | composer | Nikolai Tcherepnin
Cotton Fields | composer | Lead Belly
Party in the U.S.A. | composer | Jessie J
That's Amore | composer | Harry Warren
The Prince of the Pagodas | composer | Benjamin Britten
I Fought the Law | composer | Sonny Curtis
I Still Haven't Found What I'm Looking For | composer | The Edge
You Can't Stop a Tattler | composer | Washington Phillips
The Rite of Spring | composer | Igor Stravinsky
Amar Sonar Bangla | composer | Rabindranath Tagore
That's My Girl | composer | Tinashe
Send My Love (To Your New Lover) | composer | Max Martin
Symphonie pour un homme seul | composer | Pierre Schaeffer
Trepak | composer | Pyotr Ilyich Tchaikovsky
I'm Gonna Be Alright | composer | Cory Rooney
Suona la tromba | composer | Giuseppe Verdi
Occidentali's Karma | composer | Francesco Gabbani
Le temple de la Gloire | composer | Jean-Philippe Rameau
Hot n Cold | composer | Dr. Luke
Concerto DSCH | composer | Dmitri Shostakovich
Your Love Is My Drug | composer | Pebe Sebert
Chout | composer | Sergei Prokofiev
You Shook Me | composer | Willie Dixon
Ja, vi elsker dette landet | composer | Rikard Nordraak
La boîte à joujoux | composer | Claude Debussy
California Gurls | composer | Katy Perry
We Belong Together | composer | Bobby Womack
Right to Dream | composer | Mariah Carey
Calling Elvis | composer | Mark Knopfler
Wait Your Turn | composer | Rihanna
The Whims of the Butterfly | composer | Nikolai Krotkov
Les surprises de l'Amour | composer | Jean-Philippe Rameau
Whatever She's Got | composer | Jimmy Robbins
Celluloid Heroes | composer | Ray Davies
Oh Uganda, Land of Beauty | composer | George Wilberforce Kakoma
Hymn to Liberty | composer | Nikolaos Mantzaros
Anthem of Transnistria | composer | Boris Alexandrovich Alexandrov
Back Door Man | composer | Willie Dixon
My Yiddishe Momme | composer | Jack Yellen
Stop Crying Your Heart Out | composer | Noel Gallagher
Party in the U.S.A. | composer | Claude Kelly
Music Box Dancer | composer | Frank Mills
Lemon Incest | part of | Love on the Beat
When You Dance I Can Really Love | part of | After the Gold Rush
Single Again | part of | Still da Baddest
Why's Everybody Always Pickin' On Me? | part of | One Fierce Beer Coaster
And You and I | part of | Close to the Edge
Stop Crying Your Heart Out | part of | Heathen Chemistry
Into the Ocean | part of | Foiled
Move Away | part of | From Luxury to Heartache
My Michelle | part of | Appetite for Destruction
Histoires de Luv | part of | Million Dollar Boy
Schunder-Song | part of | Planet Punk
Maybe I'm Amazed | part of | Wings over America
Run This Town | part of | The Blueprint 3
A Thousand Miles | part of | Be Not Nobody
La Boulette | part of | Dans ma bulle
Original of the Species | part of | How to Dismantle an Atomic Bomb
Don't Forget About Us | part of | The Emancipation of Mimi
Junge | part of | Jazz ist anders
Celebrated Summer | part of | New Day Rising
Jubilee Street (song) | part of | Push the Sky Away
Eh, Eh (Nothing Else I Can Say) | part of | The Fame
Everytime | part of | In the Zone
I Belong to You (Il Ritmo della Passione) | part of | Calma apparente
A Pillow of Winds | part of | Meddle
Higher Love | part of | Back in the High Life
Hung Up | part of | Confessions on a Dance Floor
Can't Get Enough (of Your Love) | part of | Love Moves
Madness (Is All in the Mind) | part of | The Rise & Fall
Raining Blood | part of | Reign in Blood
Bad Romance | part of | The Fame Monster
J'aimerais tellement | part of | Vous remercier
Not Ready to Make Nice | part of | Taking the Long Way
Living in Danger | part of | Happy Nation
Summer '68 | part of | Atom Heart Mother
We No Who U R | part of | Push the Sky Away
The Mother We Share | part of | The Bones of What You Believe
Ms. Jackson | part of | Stankonia
Drunk on You | part of | Tailgates & Tanlines
Da Da Dam | part of | Sunday Songs
From the Music | part of | Destination Now
Makes No Sense at All | part of | Flip Your Wig
Got 'til It's Gone | part of | The Velvet Rope
Better Be Good to Me | part of | Private Dancer
Lasse redn | part of | Jazz ist anders
Young Boy | part of | Flaming Pie
Rebel Rebel | part of | Diamond Dogs
G.U.Y. | part of | Artpop
Qui est l'exemple? | part of | La Vie avant la mort
Sexercize | part of | Kiss Me Once
Gaby oh Gaby | part of | Roulette russe
Hearts Burst into Fire | part of | Scream Aim Fire
Lied vom Scheitern | part of | Jazz ist anders
You da One | part of | Talk That Talk
In God's Country | part of | The Joshua Tree
Roll It Gal | part of | Soca Queen
C'est dans l'air | part of | Point de suture
Fly Like a Bird | part of | The Emancipation of Mimi
Get Me Some of That | part of | It Goes Like This
Dark Paradise | part of | Born to Die
The Ghost of You | part of | Three Cheers for Sweet Revenge
Professional Griefers | part of | Album Title Goes Here
Ridiculous Thoughts | part of | No Need to Argue
Break the World | part of | From Water to War
Courage (for Hugh MacLennan) | part of | Fully Completely
Tango del pecado | part of | Residente o Visitante
Hey Hey, My My (Into the Black) | part of | Rust Never Sleeps
Children of the Grave | part of | Master of Reality
Gone Away | part of | Ixnay on the Hombre
Quelque part | part of | Sheryfa Luna
Mais qui est la belette ? | part of | Panique celtique
When It Comes to You | part of | On Every Street
Rhinestone Eyes | part of | Plastic Beach
If I Ain't Got You | part of | The Diary of Alicia Keys
Poison Heart | part of | Mondo Bizarro
Silver Screen Shower Scene | part of | Kittenz and Thee Glitz
Goodnight Kiss | part of | How Country Feels
A Woman's Worth | part of | Songs in A Minor
Jillian (I'd Give My Heart) | part of | The Silent Force
You Don't Know My Name | part of | The Diary of Alicia Keys
The Men All Pause | part of | Meeting in the Ladies Room
Spinning Around | lyrics by | Paula Abdul
Jana Gana Mana | lyrics by | Rabindranath Tagore
Who's That Chick? | lyrics by | David Guetta
Hunter of Stars | lyrics by | Sebalter
Who You Love | lyrics by | Katy Perry
Not Gonna Get Us | lyrics by | Valery Polienko
Tom's Diner | lyrics by | Suzanne Vega
Cross Road Blues | lyrics by | Robert Johnson
I Kissed a Girl | lyrics by | Max Martin
Shtil, Di Nakht Iz Oysgeshternt | lyrics by | Hirsh Glick
Bad Romance | lyrics by | RedOne
UEFA Champions League Anthem | lyrics by | Tony Britten
Wide Is My Motherland | lyrics by | Vasily Lebedev-Kumach
A Thousand Miles | lyrics by | Vanessa Carlton
Neva Have 2 Worry | lyrics by | Snoop Dogg
Love Don't Let Me Go | lyrics by | David Guetta
Instant Karma! | lyrics by | John Lennon
Not Gonna Get Us | lyrics by | Trevor Horn
Can't Remember to Forget You | lyrics by | Erik Hassle
La Marseillaise | lyrics by | Claude Joseph Rouget de Lisle
California Gurls | lyrics by | Max Martin
Sensual Seduction | lyrics by | Snoop Dogg
Friends Will Be Friends | lyrics by | Freddie Mercury
Really Love You | lyrics by | Paul McCartney
Train Kept A-Rollin' | lyrics by | Tiny Bradshaw
Play Hard | lyrics by | David Guetta
Really Don't Care | lyrics by | Carl Falk
Can't Remember to Forget You | lyrics by | Shakira
Der Ring des Nibelungen | lyrics by | Richard Wagner
The Star-Spangled Banner | lyrics by | Francis Scott Key
Not Gonna Get Us | lyrics by | Elena Kiper
Always Be My Baby | lyrics by | Jermaine Dupri
Hey, Soul Sister | lyrics by | Espen Lind
March of the Volunteers | lyrics by | Tian Han
Mr. Pitiful | lyrics by | Steve Cropper
Symphony of Destruction | lyrics by | Dave Mustaine
LoveGame | lyrics by | Lady Gaga
Cotton Fields | lyrics by | Lead Belly
Le Chant de Mallory | lyrics by | Pierre Cour
Moya Moskva | lyrics by | Mark Lisyansky
Let's Get Loud | lyrics by | Gloria Estefan
My Old School | lyrics by | Donald Fagen
People Come People Go | lyrics by | David Guetta
Oh Uganda, Land of Beauty | lyrics by | George Wilberforce Kakoma
You Rock My World | lyrics by | Michael Jackson
Finlandia Hymn | lyrics by | Veikko Antero Koskenniemi
Private Investigations | lyrics by | Mark Knopfler
Living with You | lyrics by | John Cale
I Kissed a Girl | lyrics by | Katy Perry
Till the World Ends | lyrics by | Max Martin
Another Day in Paradise | lyrics by | Phil Collins
Sit Down, I Think I Love You | lyrics by | Stephen Stills
