Cambodia | head of state | Norodom Sihamoni
Rwanda | head of state | Paul Kagame
Belarus | head of state | Alexander Lukashenko
Eswatini | head of state | Mswati III
Zimbabwe | head of government | Emmerson Mnangagwa
The Gambia | head of government | Adama Barrow
Atifete Jahjaga | position held | President of Kosovo
Shavkat Mirziyoyev | position held | President of Uzbekistan
Bujar Nishani | position held | President of Albania
Thein Sein | position held | President of Myanmar
Ernest Bai Koroma | position held | President of Sierra Leone
Emomali Rahmon | position held | president of Tajikistan
Joaquín Balaguer | position held | President of the Dominican Republic
Franklin Pierce | position held | President of the United States
Ahmet Necdet Sezer | position held | President of Turkey
Evo Morales | position held | president of Bolivia
Taur Matan Ruak | position held | President of East Timor
Sukarno | position held | President of Indonesia
Almazbek Atambayev | position held | President of Kyrgyzstan
Akbar Hashemi Rafsanjani | position held | President of Iran
Karl Offmann | position held | President of Mauritius
Christian Wulff | position held | president of Germany
Benigno Aquino III | position held | President of the Philippines
Corazon Aquino | position held | President of the Philippines
Adolfo de la Huerta | position held | President of Mexico
Gjorge Ivanov | position held | President of North Macedonia
Ueli Maurer | position held | President of the Swiss Confederation
Süleyman Demirel | position held | President of Turkey
Pedro Pires | position held | President of Cape Verde
Gurbanguly Berdimuhamedow | position held | President of Turkmenistan
Ferdinand Marcos | position held | President of the Philippines
Federico Franco | position held | President of Paraguay
Karolos Papoulias | position held | President of Greece
Biljana Plavšić | position held | President of Republika Srpska
Hashim al-Atassi | position held | President of Syria
Zillur Rahman | position held | President of Bangladesh
Ramón Barros Luco | position held | President of Chile
Sheikh Mujibur Rahman | position held | President of Bangladesh
Armen Sarkissian | position held | President of Armenia
Carlos Menem | position held | President of Argentina
Ahmed Ben Bella | position held | President of Algeria
Gennady Yanayev | position held | President of the Soviet Union
Franz Jonas | position held | President of Austria
Ollanta Humala | position held | President of Peru
Park Chung-hee | position held | President of South Korea
Hilla Limann | position held | President of Ghana
Behgjet Pacolli | position held | President of Kosovo
Johannes Rau | position held | president of Germany
Abdelaziz Bouteflika | position held | President of Algeria
William Henry Harrison | position held | President of the United States
Benigno Ferreira | position held | President of Paraguay
Doris Leuthard | position held | President of the Swiss Confederation
Manuel L. Quezon | position held | President of the Philippines
George Abela | position held | President of Malta
Umaru Musa Yar'Adua | position held | President of Nigeria
Mahmoud Ahmadinejad | position held | President of Iran
Isaias Afwerki | position held | President of Eritrea
Hugo Chávez | position held | President of Venezuela
Valdas Adamkus | position held | President of the Republic of Lithuania
Paul Biya | position held | President of Cameroon
Mahamadou Issoufou | position held | President of Niger
Pedro Montt | position held | President of Chile
Alassane Ouattara | position held | President of the Ivory Coast
Mohamed Nasheed | position held | President of the Maldives
Manuel Montt | position held | President of Chile
Bingu wa Mutharika | position held | President of Malawi
Manny Mori | position held | President of the Federated States of Micronesia
Carlo Azeglio Ciampi | position held | President of Italy
Jorge Montt | position held | President of Chile
Matteo Renzi | position held | president of the Province of Florence
Kailash Purryag | position held | President of Mauritius
Thabo Mbeki | position held | President of South Africa
Fouad Mebazaa | position held | President of Tunisia
Juscelino Kubitschek | position held | President of Brazil
Alexander Lukashenko | position held | President of Belarus
Hans-Rudolf Merz | position held | President of the Swiss Confederation
Mohammed Waheed Hassan | position held | President of the Maldives
Adib Shishakli | position held | President of Syria
Muhammad Rafiq Tarar | position held | President of Pakistan
Roh Moo-hyun | position held | President of South Korea
Ikililou Dhoinine | position held | President of Comoros
Ricardo Lagos | position held | President of Chile
Andrew Jackson | position held | President of the United States
Donald Ramotar | position held | President of Guyana
Agatha Barbara | position held | President of Malta
Anote Tong | position held | President of Kiribati
Adolf Behne | Member of | Deutscher Werkbund
André-Marie Ampère | Member of | French Academy of Sciences
Victoria Beckham | Member of | Spice Girls
Jan-Carl Raspe | Member of | Red Army Faction
Chen Boda | Member of | Cultural Revolution Group
Karl Ernst von Baer | Member of | Russian Academy of Sciences
Tim Berners-Lee | Member of | National Academy of Sciences
Sylvia T. Ceyer | Member of | National Academy of Sciences
Gustav Weigand | Member of | Romanian Academy
Jimmy Wales | Member of | Wikimedia Foundation Board of Trustees
Koloman Moser | Member of | Vienna Secession
János Martonyi | Member of | European Academy of Sciences and Arts
Wau Holland | Member of | Chaos Computer Club
Henry Gray | Member of | Royal Society
W. D. Hamilton | Member of | Royal Society
Artur Rother | Member of | Militant League for German Culture
Martin Luther King Jr. | Member of | Southern Christian Leadership Conference
Margaret H. Wright | Member of | National Academy of Engineering
Gackt | Member of | Malice Mizer
Rimsky Yuen | Member of | Hong Kong Bar Association
Ernest Mayer | Member of | European Academy of Sciences and Arts
Gotthelf Fischer von Waldheim | Member of | American Academy of Arts and Sciences
Natalie Ahn | Member of | American Academy of Arts and Sciences
Michael Cates | Member of | Royal Society
Eduard von Martens | Member of | Zoological Society of London
Andi Deris | Member of | Pink Cream 69
Josef Mengele | Member of | Schutzstaffel
Heinz Kessler | Member of | Central Committee of the Socialist Unity Party of Germany
Petra Schelm | Member of | Red Army Faction
Edith Clarke | Member of | American Institute of Electrical Engineers
Carol V. Robinson | Member of | Royal Society
Christoph Probst | Member of | White Rose
Willi Graf | Member of | White Rose
