145534 Jhongda | site of astronomical discovery | Lulin Observatory
2015 KG163 | site of astronomical discovery | Mauna Kea Observatories
5357 Sekiguchi | site of astronomical discovery | Kitami Observatory
1727 Mette | site of astronomical discovery | Boyden Observatory
151997 Bauhinia | site of astronomical discovery | Desert Eagle Observatory
2015 KH163 | site of astronomical discovery | Mauna Kea Observatories
1906 Naef | site of astronomical discovery | Zimmerwald Observatory
20488 Pic-du-Midi | site of astronomical discovery | Pises Observatory
4713 Steel | site of astronomical discovery | Siding Spring Observatory
1588 Descamisada | site of astronomical discovery | La Plata Astronomical Observatory
3000 Leonardo | site of astronomical discovery | Siding Spring Observatory
1803 Zwicky | site of astronomical discovery | Zimmerwald Observatory
(15875) 1996 TP66 | site of astronomical discovery | Mauna Kea Observatories
(44594) 1999 OX3 | site of astronomical discovery | Mauna Kea Observatories
2308 Schilt | site of astronomical discovery | Leoncito Astronomical Complex
2015 FJ345 | site of astronomical discovery | Mauna Kea Observatories
1657 Roemera | site of astronomical discovery | Zimmerwald Observatory
6042 Cheshirecat | site of astronomical discovery | JCPM Yakiimo Station
7816 Hanoi | site of astronomical discovery | Sendai Astronomical Observatory
1800 Aguilar | site of astronomical discovery | La Plata Astronomical Observatory
158 Koronis | site of astronomical discovery | Berlin Observatory
4585 Ainonai | site of astronomical discovery | Kitami Observatory
8992 Magnanimity | site of astronomical discovery | Purple Mountain Observatory
6709 Hiromiyuki | site of astronomical discovery | Yorii Observatory
1867 Deiphobus | site of astronomical discovery | Leoncito Astronomical Complex
16879 Campai | site of astronomical discovery | Pistoia Mountains Astronomical Observatory
1775 Zimmerwald | site of astronomical discovery | Zimmerwald Observatory
2893 Peiroos | site of astronomical discovery | Leoncito Astronomical Complex
2223 Sarpedon | site of astronomical discovery | Purple Mountain Observatory
2368 Beltrovata | site of astronomical discovery | Zimmerwald Observatory
7794 Sanvito | site of astronomical discovery | Cima Ekar Observing Station
12482 Pajka | site of astronomical discovery | Modra Observatory
(20729) 1999 XS143 | site of astronomical discovery | Fountain Hills Observatory
2036 Sheragul | site of astronomical discovery | Crimean Astrophysical Observatory
1627 Ivar | site of astronomical discovery | Leiden Southern Station
1132 Hollandia | site of astronomical discovery | Leiden Southern Station
2043 Ortutay | site of astronomical discovery | Konkoly Observatory
130 Elektra | site of astronomical discovery | Litchfield Observatory
6500 Kodaira | site of astronomical discovery | Kitami Observatory
1879 Broederstroom | site of astronomical discovery | Leiden Southern Station
284996 Rosaparks | site of astronomical discovery | Wide-field Infrared Survey Explorer
4607 Seilandfarm | site of astronomical discovery | Kitami Observatory
2981 Chagall | site of astronomical discovery | Siding Spring Observatory
3330 Gantrisch | site of astronomical discovery | Zimmerwald Observatory
(8201) 1994 AH2 | site of astronomical discovery | Siding Spring Observatory
4959 Niinoama | site of astronomical discovery | JCPM Yakiimo Station
6708 Bobbievaile | site of astronomical discovery | Siding Spring Observatory
1687 Glarona | site of astronomical discovery | Zimmerwald Observatory
1694 Kaiser | site of astronomical discovery | Leiden Southern Station
