s,p,o
Republic Of Croatia,ISRELATEDTO,Croatia
Croatia,ISCONTAINEDIN,Central Europe
Croatia,ISCONTAINEDIN,Southeast Europe
Croatia,ISRELATEDTO,Adriatic Sea
Croatia,ISRELATEDTO,Slovenia
Croatia,ISRELATEDTO,Hungary
Croatia,ISRELATEDTO,Serbia
Croatia,ISRELATEDTO,Bosnia And Herzegovina
Croatia,ISRELATEDTO,Montenegro
Croatia,ISRELATEDTO,Italy
Croatia,ISCONTAINEDIN,Zagreb
Zagreb,ISCONTAINEDIN,Croatia
Croatia,ISRELATEDTO,Split
Croatia,ISRELATEDTO,Rijeka
Croatia,ISRELATEDTO,Osijek
Duke Branimir,ISRELATEDTO,Croatia
Duke Branimir,ISRELATEDTO,Pope John Viii
Tomislav,ISRELATEDTO,Croatia
Tomislav,ISRELATEDTO,Pope John X
Trpimirović Dynasty,ISRELATEDTO,Croatia
Ferdinand I Of Austria,ISRELATEDTO,Croatia
"State Of Slovenes, Croats, And Serbs",OCCURSAT,Zagreb
"State Of Slovenes, Croats, And Serbs",ISPARTOF,Kingdom Of Yugoslavia
"State Of Slovenes, Croats, And Serbs",ISRELATEDTO,Habsburg Empire
Independent State Of Croatia,ISPARTOF,Croatia
Socialist Republic Of Croatia,ISPARTOF,Socialist Federal Republic Of Yugoslavia
Croatia,ISRELATEDTO,European Union
Croatia,ISRELATEDTO,Eurozone
Croatia,ISRELATEDTO,Schengen Area
Croatia,ISRELATEDTO,Nato
Croatia,ISRELATEDTO,United Nations
Croatia,ISRELATEDTO,Council Of Europe
Croatia,ISRELATEDTO,Osce
Croatia,ISRELATEDTO,World Trade Organization
Croatia,ISRELATEDTO,Union For The Mediterranean
Croatia,ISRELATEDTO,Oecd
Croatia,ISRELATEDTO,International Security Assistance Force
Croatia,ISRELATEDTO,United Nations Security Council
Croatia,ISRELATEDTO,Service Sector
Croatia,ISRELATEDTO,Industrial Sector
Croatia,ISRELATEDTO,Agriculture
Tourism,ISRELATEDTO,Croatia
Pan-European Corridors,ISRELATEDTO,Croatia
Krk Island,ISCONTAINEDIN,Croatia
Lng Hrvatska,ISCONTAINEDIN,Krk Island
Krapina,ISCONTAINEDIN,Croatia
Baden Culture,OCCURSAT,Croatia
Starčevo Culture,OCCURSAT,Croatia
Vučedol Culture,OCCURSAT,Croatia
Hallstatt Culture,OCCURSAT,Croatia
La Tène Culture,OCCURSAT,Croatia
Illyrians,WASPRESENTAT,Croatia
Liburnians,WASPRESENTAT,Croatia
Hvar,ISCONTAINEDIN,Croatia
Korčula,ISCONTAINEDIN,Croatia
Vis,ISCONTAINEDIN,Croatia
Roman Empire,ISRELATEDTO,Croatia
Emperor Diocletian,ISRELATEDTO,Split
Julius Nepos,WASPRESENTAT,Split
Dubrovnik,ISCONTAINEDIN,Croatia
Dubrovnik,ISRELATEDTO,Epidaurum
White Croats,WASPRESENTAT,White Croatia
White Croats,WASPRESENTAT,Croatia
Sarmatians,WASPRESENTAT,Croatia
Tanais Tablets,ISRELATEDTO,Sarmatians
Constantine Vii,ISRELATEDTO,Byzantine Empire
Dalmatia,ISCONTAINEDIN,Croatia
Avars,WASPRESENTAT,Croatia
Borna,ISRELATEDTO,Duchy Of Croatia
Duchy Of Croatia,OCCURSAT,Croatia
Einhard,ISRELATEDTO,Duchy Of Croatia
Principality Of Lower Pannonia,ISRELATEDTO,Drava River
Principality Of Lower Pannonia,ISRELATEDTO,Sava River
Ljudevit,ISRELATEDTO,Principality Of Lower Pannonia
Ljudevit,ISRELATEDTO,Sisak
Porga Of Croatia,ISRELATEDTO,Croatia
Mislav,ISRELATEDTO,Croatia
Trpimir I,ISRELATEDTO,Croatia
Petar Krešimir Iv,ISRELATEDTO,Croatia
Dmitar Zvonimir,ISRELATEDTO,Croatia
Stjepan Ii,ISRELATEDTO,Trpimirović Dynasty
Ladislaus I Of Hungary,ISRELATEDTO,Croatia
Coloman,ISRELATEDTO,Hungary
Sabor,ISRELATEDTO,Croatia
Ban,ISRELATEDTO,Croatia
Frankopan Family,ISRELATEDTO,Croatia
Šubić Family,ISRELATEDTO,Croatia
Republic Of Venice,ISRELATEDTO,Dalmatia
Republic Of Venice,ISRELATEDTO,Dubrovnik
Dubrovnik,ISRELATEDTO,Republic Of Venice
Battle Of Krbava Field,OCCURSAT,Croatia
Battle Of Mohács,OCCURSAT,Croatia
King Louis Ii,ISRELATEDTO,Battle Of Mohács
House Of Habsburg,ISRELATEDTO,Ferdinand I Of Austria
Cetin,ISCONTAINEDIN,Croatia
Ottoman Empire,ISRELATEDTO,Croatia
Croatia,ISRELATEDTO,Ottoman Empire
Croatia,ISRELATEDTO,Habsburgs
Croatian Military Frontier,ISRELATEDTO,Habsburgs
Slavonia,ISPARTOF,Croatia
Bosnia,ISRELATEDTO,Croatia
Dalmatia,ISPARTOF,Croatia
Croatian Military Frontier,ISRELATEDTO,Habsburgs
Great Turkish War,ISRELATEDTO,Slavonia
Great Turkish War,ISRELATEDTO,Croatia
Dalmatia,ISRELATEDTO,Fifth Ottoman–Venetian War
Dalmatia,ISRELATEDTO,Seventh Ottoman–Venetian War
Burgenland Croats,ISRELATEDTO,Austria
Burgenland Croats,ISRELATEDTO,Croatia
Croatian Parliament,ISRELATEDTO,King Charles Iii
Croatian Parliament,ISRELATEDTO,Pragmatic Sanction
Queen Maria Theresa,ISRELATEDTO,Kingdom Of Croatia
First French Empire,ISRELATEDTO,Illyrian Provinces
First French Empire,ISRELATEDTO,Venetian Republic
First French Empire,ISRELATEDTO,Ragusan Republic
Illyrian Provinces,ISRELATEDTO,Austrian Empire
Kingdom Of Dalmatia,ISRELATEDTO,Austrian Empire
Croatian Littoral,ISPARTOF,Kingdom Of Croatia
Croatian National Revival,ISRELATEDTO,Kingdom Of Croatia
Ban Josip Jelačić,ISRELATEDTO,Croatia
Nikola Tesla,ISRELATEDTO,Smiljin
Austro-Hungarian Compromise Of 1867,ISRELATEDTO,Kingdom Of Hungary
Croatian–Hungarian Settlement Of 1868,ISRELATEDTO,Kingdom Of Hungary
Kingdom Of Dalmatia,ISRELATEDTO,Austrian Empire
Rijeka,ISRELATEDTO,Corpus Separatum
Bosnia And Herzegovina,ISRELATEDTO,Treaty Of Berlin
Croatian Military Frontier,ISPARTOF,Croatia
World War I,ISRELATEDTO,Austria-Hungary
Croatian Parliament,ISRELATEDTO,"State Of Slovenes, Croats, And Serbs"
"State Of Slovenes, Croats, And Serbs",ISRELATEDTO,Kingdom Of Serbia
"Kingdom Of Serbs, Croats, And Slovenes",ISRELATEDTO,"State Of Slovenes, Croats, And Serbs"
"Kingdom Of Serbs, Croats, And Slovenes",ISRELATEDTO,Kingdom Of Serbia
Croatian Parliament,ISRELATEDTO,Serbia And Montenegro
1921 Constitution,ISRELATEDTO,"Kingdom Of Serbs, Croats, And Slovenes"
Croatian Peasant Party (Hss),ISRELATEDTO,Stjepan Radić
Stjepan Radić,WASPRESENTAT,National Assembly
Stjepan Radić,ISRELATEDTO,Puniša Račić
King Alexander I,ISRELATEDTO,6 January Dictatorship
Vladko Maček,ISRELATEDTO,Croatian Peasant Party (Hss)
Cvetković–Maček Agreement,ISRELATEDTO,Banovina Of Croatia
Banovina Of Croatia,ISPARTOF,Yugoslavia
Nazi Germany,ISRELATEDTO,Yugoslavia
Fascist Italy,ISRELATEDTO,Yugoslavia
Independent State Of Croatia (Ndh),ISRELATEDTO,Nazi Germany
Independent State Of Croatia (Ndh),ISRELATEDTO,Fascist Italy
Dalmatia,ISRELATEDTO,Italy
Baranja,ISCONTAINEDIN,Hungary
Međimurje,ISCONTAINEDIN,Hungary
Ante Pavelić,ISRELATEDTO,Ustaše
Jasenovac Concentration Camp,ISRELATEDTO,Independent State Of Croatia (Ndh)
Rab Concentration Camp,ISRELATEDTO,Italy
Gonars Concentration Camp,ISRELATEDTO,Italy
Molat Concentration Camp,ISRELATEDTO,Italy
Yugoslav Royalist Chetniks,ISRELATEDTO,Italy
1St Sisak Partisan Detachment,ISCONTAINEDIN,Sisak
Josip Broz Tito,ISRELATEDTO,Partisan Movement
Tehran Conference,ISRELATEDTO,Partisan Movement
Partisan Movement,ISRELATEDTO,Allies (Wwii)
Partisan Movement,ISRELATEDTO,Soviet Troops
Belgrade Offensive,ISRELATEDTO,Soviet Troops
Kamešnica,ISRELATEDTO,Nazi Germany
Lipa (Village),ISRELATEDTO,Nazi Germany
Yugoslav Death March Of Nazi Collaborators,ISRELATEDTO,Independent State Of Croatia (Ndh)
Vladimir Žerjavić,ISRELATEDTO,Bosnia And Herzegovina
Bogoljub Kočović,ISRELATEDTO,Bosnia And Herzegovina
Sfr Yugoslavia,ISRELATEDTO,Croatia
Sfr Yugoslavia,ISRELATEDTO,Communists
Declaration On The Status And Name Of The Croatian Standard Language,ISRELATEDTO,Croatia
Croatian Spring,ISRELATEDTO,Croatian Parliament
1974 Yugoslav Constitution,ISRELATEDTO,Sfr Yugoslavia
Croatian Diaspora,ISRELATEDTO,Government In Exile
Tito,ISRELATEDTO,Yugoslavia
Sanu Memorandum,ISRELATEDTO,Yugoslavia
"1989 Coups In Vojvodina, Kosovo, And Montenegro",ISRELATEDTO,Yugoslavia
Communist Party,ISRELATEDTO,Yugoslavia
Sabor,ISPARTOF,Croatia
Franjo Tuđman,ISRELATEDTO,Croatia
Republic Of Serbian Krajina,ISCONTAINEDIN,Croatia
Yugoslav People'S Army,ISRELATEDTO,Croatia
Serb Paramilitary Groups,ISRELATEDTO,Croatia
European Economic Community,ISRELATEDTO,Croatia
United Nations,ISRELATEDTO,Croatia
Victory And Homeland Thanksgiving Day And The Day Of Croatian Defenders,OCCURSAT,Croatia
Erdut Agreement,ISRELATEDTO,Croatia
Untaes Mission,ISRELATEDTO,Croatia
Bosnia And Herzegovina,ISRELATEDTO,Croatia
Parliament,ISPARTOF,Croatia
Oecd Council,ISRELATEDTO,Croatia
Eurozone,ISRELATEDTO,Croatia
Schengen Area,ISRELATEDTO,Croatia
Andrej Plenković,ISRELATEDTO,Croatia
Zoran Milanović,ISRELATEDTO,Croatia
Sabor,ISPARTOF,Parliament
Partnership For Peace,ISRELATEDTO,Croatia
World Trade Organization,ISRELATEDTO,Croatia
European Union,ISRELATEDTO,Croatia
Nato,ISRELATEDTO,Croatia
Ivo Josipović,ISRELATEDTO,Croatia
Croatia,ISRELATEDTO,Adriatic Sea
Croatia,ISRELATEDTO,Hungary
Croatia,ISRELATEDTO,Serbia
Croatia,ISRELATEDTO,Montenegro
Croatia,ISRELATEDTO,Slovenia
Dubrovnik,ISCONTAINEDIN,Croatia
Neum,ISCONTAINEDIN,Bosnia And Herzegovina
Pelješac Bridge,ISRELATEDTO,Croatia
Dinaric Alps,ISCONTAINEDIN,Croatia
Dinara Peak,ISCONTAINEDIN,Croatia
Cres,ISCONTAINEDIN,Croatia
Krk,ISCONTAINEDIN,Croatia
Hrvatsko Zagorje,ISCONTAINEDIN,Croatia
Slavonia,ISCONTAINEDIN,Croatia
Pannonian Basin,ISPARTOF,Slavonia
Danube,ISRELATEDTO,Vukovar
Vukovar,ISCONTAINEDIN,Croatia
Danube,ISPARTOF,Vojvodina
Drava,ISRELATEDTO,Croatia
Kupa,ISRELATEDTO,Croatia
Sava,ISRELATEDTO,Croatia
Lika,ISCONTAINEDIN,Croatia
Gorski Kotar,ISCONTAINEDIN,Croatia
Plitvice Lakes,ISCONTAINEDIN,Croatia
Biševo,ISCONTAINEDIN,Croatia
Lastovo,ISCONTAINEDIN,Croatia
Svetac,ISCONTAINEDIN,Croatia
Vis,ISCONTAINEDIN,Croatia
Risnjak,ISCONTAINEDIN,Gorski Kotar
Snježnik,ISCONTAINEDIN,Gorski Kotar
Čakovec,ISCONTAINEDIN,Croatia
Ploče,ISCONTAINEDIN,Croatia
Croat Refugees From Bosnia And Herzegovina,ISRELATEDTO,Bosnia And Herzegovina
Croat Refugees From Bosnia And Herzegovina,ISRELATEDTO,Croatia
Croatia,ISRELATEDTO,Hvar
Croatia,ISRELATEDTO,Korčula
Croatia,ISRELATEDTO,Adriatic Sea
Croatia,ISRELATEDTO,Velebit Mountains
Croatia,ISRELATEDTO,Biokovo Mountains
Croatia,ISRELATEDTO,Karst Rivers
National Ecological Network,ISRELATEDTO,Natura 2000
Plitvice Lakes National Park,ISRELATEDTO,Unesco
Velebit Nature Park,ISRELATEDTO,Unesco Man And The Biosphere Programme
Government,ISCONTAINEDIN,Banski Dvori
Banski Dvori,ISCONTAINEDIN,Zagreb
Parliament,ISRELATEDTO,Croatian Democratic Union
Parliament,ISRELATEDTO,Social Democratic Party Of Croatia
Constitutional Court,ISRELATEDTO,Supreme Court
Ministry Of The Interior,ISRELATEDTO,National Police Force
Ministry Of The Interior,ISRELATEDTO,Security And Intelligence Agency (Soa)
Croatia,ISRELATEDTO,Ministry Of Foreign Affairs And European Integration
Croatia,ISRELATEDTO,European Bank For Reconstruction And Development (Ebrd)
Croatia,ISRELATEDTO,International Organization For Migration (Iom)
Croatia,ISRELATEDTO,Organization For Security And Co-Operation In Europe (Osce)
Croatia,ISRELATEDTO,World Bank
Croatia,ISRELATEDTO,World Health Organization (Who)
Croatia,ISRELATEDTO,International Criminal Tribunal For The Former Yugoslavia (Icty)
Croatia,ISRELATEDTO,United Nations Development Programme (Undp)
Croatia,ISRELATEDTO,United Nations High Commissioner For Refugees (Unhcr)
Croatia,ISRELATEDTO,Unicef
Croatia,ISRELATEDTO,European Union
Croatia,ISRELATEDTO,Bosnia And Herzegovina
Croatia,ISRELATEDTO,Montenegro
Croatia,ISRELATEDTO,Serbia
Croatia,ISRELATEDTO,Slovenia
Croatia,ISRELATEDTO,Nato
Croatia,ISRELATEDTO,Schengen Area
