s,p,o
Croatia,ISPARTOF,Zagreb
Croatia,ISPARTOF,Split
Croatia,ISPARTOF,Rijeka
Croatia,ISPARTOF,Osijek
Duke Branimir,WASPRESENTAT,Croatia
Tomislav,WASPRESENTAT,Croatia
Ferdinand I Of Austria,WASPRESENTAT,Croatia
Kingdom Of Yugoslavia,ISRELATEDTO,Croatia
Socialist Federal Republic Of Yugoslavia,ISRELATEDTO,Croatia
Croatia,ISPARTOF,European Union
Croatia,ISPARTOF,Nato
Croatia,ISPARTOF,United Nations
Croatia,ISPARTOF,Council Of Europe
Croatia,ISPARTOF,World Trade Organization
Croatia,ISPARTOF,Union For The Mediterranean
Croatia,ISPARTOF,Oecd
Croatia,ISPARTOF,Ottoman Empire
Croatia,ISPARTOF,Habsburgs
Croatia,WASPRESENTAT,Battle Of Sisak
Croatia,WASPRESENTAT,Great Turkish War
Burgenland Croats,ISRELATEDTO,Croatia
King Charles Iii,ISPARTOF,Croatia
Queen Maria Theresa,ISPARTOF,Croatia
First French Empire,ISRELATEDTO,Croatia
Battle Of Vis,WASPRESENTAT,Croatia
Austrian Empire,ISRELATEDTO,Croatia
Congress Of Vienna,WASPRESENTAT,Croatia
Kingdom Of Dalmatia,ISPARTOF,Croatia
Croatian National Revival,ISRELATEDTO,Croatia
Hungarian Revolution Of 1848,WASPRESENTAT,Croatia
Ban Josip Jelačić,ISPARTOF,Croatia
Nikola Tesla,ISPARTOF,Smiljin
Austro-Hungarian Compromise Of 1867,WASPRESENTAT,Croatia
Croatian–Hungarian Settlement Of 1868,WASPRESENTAT,Croatia
World War I,WASPRESENTAT,Croatia
Croatian Parliament (Sabor),ISRELATEDTO,Croatia
"State Of Slovenes, Croats, And Serbs",ISRELATEDTO,Croatia
Kingdom Of Serbia,ISRELATEDTO,Croatia
Croatian Peasant Party (Hss),ISPARTOF,Croatia
Stjepan Radić,ISPARTOF,Croatia
Puniša Račić,ISPARTOF,Croatia
King Alexander I,ISPARTOF,Croatia
Cvetković–Maček Agreement,WASPRESENTAT,Croatia
Banovina Of Croatia,WASPRESENTAT,Croatia
Nazi Germany,ISRELATEDTO,Croatia
Fascist Italy,ISRELATEDTO,Croatia
Independent State Of Croatia (Ndh),ISRELATEDTO,Croatia
Ante Pavelić,ISRELATEDTO,Independent State Of Croatia (Ndh)
Ustaše,ISRELATEDTO,Independent State Of Croatia (Ndh)
Jasenovac Complex,WASPRESENTAT,Independent State Of Croatia (Ndh)
Yugoslav Royalist And Serbian Nationalists,ISRELATEDTO,Croatia
Chetniks,ISRELATEDTO,Croatia
1St Sisak Partisan Detachment,WASPRESENTAT,Croatia
Josip Broz Tito,ISPARTOF,Croatia
Tehran Conference,WASPRESENTAT,Croatia
Belgrade Offensive,WASPRESENTAT,Croatia
State Anti-Fascist Council For The National Liberation Of Croatia,ISRELATEDTO,Croatia
Avnoj,ISRELATEDTO,Croatia
Vladimir Žerjavić,ISRELATEDTO,Croatia
Bogoljub Kočović,ISRELATEDTO,Croatia
Sfr Yugoslavia,ISPARTOF,Croatia
Declaration On The Status And Name Of The Croatian Standard Language,WASPRESENTAT,Croatia
Croatian Spring Of 1971,WASPRESENTAT,Croatia
Tito,ISRELATEDTO,Yugoslavia
1986 Sanu Memorandum,ISRELATEDTO,Yugoslavia
1989 Coups In Vojvodina,ISRELATEDTO,Yugoslavia
January 1990 Communist Party Fragmentation,ISRELATEDTO,Yugoslavia
Croatia,ISRELATEDTO,Franjo Tuđman
Republic Of Serbian Krajina,ISRELATEDTO,Croatia
25 June 1991 Independence Declaration,ISRELATEDTO,Croatia
8 October 1991 Implementation Of Declaration,ISRELATEDTO,Croatia
Yugoslav People'S Army,ISRELATEDTO,Croatia
1991 High-Intensity Conflict,ISRELATEDTO,Croatia
15 January 1992 Recognition By Eec,ISRELATEDTO,Croatia
August 1995 War End,ISRELATEDTO,Croatia
5 August Victory And Homeland Thanksgiving,ISRELATEDTO,Croatia
Erdut Agreement November 1995,ISRELATEDTO,Croatia
2000S,ISRELATEDTO,Croatia
November 2000 Constitution Amendment,ISRELATEDTO,Croatia
Partnership For Peace,ISRELATEDTO,Croatia
30 November 2000 Wto Membership,ISRELATEDTO,Croatia
29 October 2001 Stabilisation And Association Agreement,ISRELATEDTO,Croatia
2011 Anti-Government Protests,ISRELATEDTO,Croatia
30 June 2011 Eu Accession Negotiations Completion,ISRELATEDTO,Croatia
9 December 2011 Accession Treaty,ISRELATEDTO,Croatia
22 January 2012 Eu Membership Referendum,ISRELATEDTO,Croatia
1 July 2013 Eu Membership,ISRELATEDTO,Croatia
2015 European Migrant Crisis,ISRELATEDTO,Croatia
Andrej Plenković,ISRELATEDTO,Croatia
5 January 2020 Presidential Elections,ISRELATEDTO,Zoran Milanović
25 January 2022 Oecd Negotiations,ISRELATEDTO,Croatia
1 January 2023 Euro Adoption,ISRELATEDTO,Croatia
Schengen Area,ISRELATEDTO,Croatia
Adriatic Sea,ISPARTOF,Croatia
Hungary,ISPARTOF,Croatia
Serbia,ISPARTOF,Croatia
Bosnia And Herzegovina,ISPARTOF,Croatia
Montenegro,ISPARTOF,Croatia
Slovenia,ISPARTOF,Croatia
