s,p,o
Croatia,ISRELATEDTO,Adriatic Sea
Croatia,ISRELATEDTO,Slovenia
Croatia,ISRELATEDTO,Hungary
Croatia,ISRELATEDTO,Serbia
Croatia,ISRELATEDTO,Bosnia And Herzegovina
Croatia,ISRELATEDTO,Montenegro
Croatia,ISRELATEDTO,Italy
Zagreb,ISPARTOF,Croatia
Split,ISPARTOF,Croatia
Rijeka,ISPARTOF,Croatia
Osijek,ISPARTOF,Croatia
Dubrovnik,ISPARTOF,Croatia
Cetin,ISPARTOF,Croatia
Benkovac,ISPARTOF,Croatia
Trogir,ISPARTOF,Croatia
Hvar,ISPARTOF,Croatia
Korčula,ISPARTOF,Croatia
Vis,ISPARTOF,Croatia
Krk Island,ISPARTOF,Croatia
Branimir,ISRELATEDTO,First International Recognition Of Croatia (879)
First International Recognition Of Croatia (879),ISRELATEDTO,Croatia
Tomislav,ISRELATEDTO,Tomislav Becomes King (925)
Tomislav,ISRELATEDTO,Croatia
Petar Krešimir Iv,ISRELATEDTO,Croatia
Dmitar Zvonimir,ISRELATEDTO,Croatia
Coloman,ISRELATEDTO,Croatia
Ladislaus I Of Hungary,ISRELATEDTO,Croatia
Ferdinand I Of Austria,ISRELATEDTO,Croatia
Borna,ISRELATEDTO,Croatia
Ljudevit,ISRELATEDTO,Croatia
Mislav,ISRELATEDTO,Croatia
Trpimir I,ISRELATEDTO,Croatia
Branimir,ISRELATEDTO,First International Recognition Of Croatia (879)
Porga,ISRELATEDTO,Croatia
Constantine Vii,ISRELATEDTO,Croatia
Julius Nepos,ISRELATEDTO,Croatia
Stjepan Ii,ISRELATEDTO,Croatia
Sabor,ISPARTOF,Croatia
Republic Of Venice,ISRELATEDTO,Croatia
Ottoman Empire,ISRELATEDTO,Croatia
Habsburg Empire,ISRELATEDTO,Croatia
Kingdom Of Yugoslavia,ISRELATEDTO,Croatia
Independent State Of Croatia,ISRELATEDTO,Croatia
Socialist Republic Of Croatia,ISRELATEDTO,Croatia
Socialist Federal Republic Of Yugoslavia,ISRELATEDTO,Croatia
European Union,ISRELATEDTO,Croatia
Eurozone,ISRELATEDTO,Croatia
Schengen Area,ISRELATEDTO,Croatia
Nato,ISRELATEDTO,Croatia
United Nations,ISRELATEDTO,Croatia
Council Of Europe,ISRELATEDTO,Croatia
Osce,ISRELATEDTO,Croatia
World Trade Organization,ISRELATEDTO,Croatia
Union For The Mediterranean,ISRELATEDTO,Croatia
Oecd,ISRELATEDTO,Croatia
Un Security Council,ISRELATEDTO,Croatia
First International Recognition Of Croatia (879),ISRELATEDTO,Croatia
Tomislav Becomes King (925),ISRELATEDTO,Tomislav
Tomislav Becomes King (925),ISRELATEDTO,Croatia
Petar Krešimir Iv,ISRELATEDTO,Croatia
Dmitar Zvonimir,ISRELATEDTO,Croatia
Coloman,ISRELATEDTO,Croatia
Ladislaus I Of Hungary,ISRELATEDTO,Croatia
Ferdinand I Of Austria,ISRELATEDTO,1527 Cetin Meeting
