s,p,o
Croatia,ISCONTAINEDIN,Europe
Croatia,ISCONTAINEDIN,Central Europe
Croatia,ISCONTAINEDIN,Southeast Europe
Croatia,ISRELATEDTO,Adriatic Sea
Zagreb,ISCONTAINEDIN,Croatia
Split,ISCONTAINEDIN,Croatia
Rijeka,ISCONTAINEDIN,Croatia
Osijek,ISCONTAINEDIN,Croatia
Croatia,ISRELATEDTO,Slovenia
Croatia,ISRELATEDTO,Hungary
Croatia,ISRELATEDTO,Serbia
Croatia,ISRELATEDTO,Bosnia And Herzegovina
Croatia,ISRELATEDTO,Montenegro
Croatia,ISRELATEDTO,Italy
Hvar,ISCONTAINEDIN,Croatia
Korčula,ISCONTAINEDIN,Croatia
Vis,ISCONTAINEDIN,Croatia
Krk Island,ISCONTAINEDIN,Croatia
Dubrovnik,ISCONTAINEDIN,Croatia
Sisak,ISCONTAINEDIN,Croatia
Cetin,ISCONTAINEDIN,Croatia
Krapina,ISCONTAINEDIN,Croatia
Dalmatia,ISCONTAINEDIN,Croatia
Slavonia,ISCONTAINEDIN,Croatia
Croatian Littoral,ISPARTOF,Kingdom Of Croatia
Croatia,ISPARTOF,European Union
Croatia,ISPARTOF,Eurozone
Croatia,ISPARTOF,Schengen Area
Croatia,ISPARTOF,Nato
Croatia,ISPARTOF,United Nations
Croatia,ISPARTOF,Council Of Europe
Croatia,ISPARTOF,Osce
Croatia,ISPARTOF,World Trade Organization
Croatia,ISPARTOF,Union For The Mediterranean
Croatia,ISRELATEDTO,Oecd
Croatia,ISRELATEDTO,International Security Assistance Force
United Nations Security Council 2008–2009 Croatian Membership,OCCURSAT,United Nations
Croatia,WASPRESENTAT,United Nations Security Council 2008–2009 Croatian Membership
Lng Hrvatska,ISRELATEDTO,Krk Island
Croatia,ISRELATEDTO,Lng Hrvatska
Lng Hrvatska,ISRELATEDTO,Europe
Croats,ISRELATEDTO,Croatia
Croatia,ISPARTOF,Roman Illyria
Croatia,ISPARTOF,Roman Empire
Papal Recognition Of Branimir On 7 June 879,OCCURSAT,Croatia
Duke Branimir,WASPRESENTAT,Papal Recognition Of Branimir On 7 June 879
Pope John Viii,WASPRESENTAT,Papal Recognition Of Branimir On 7 June 879
Coronation Of Tomislav 925,OCCURSAT,Croatia
Tomislav,WASPRESENTAT,Coronation Of Tomislav 925
Personal Union With Hungary 1102,OCCURSAT,Croatia
Coloman,WASPRESENTAT,Personal Union With Hungary 1102
Kingdom Of Hungary,WASPRESENTAT,Personal Union With Hungary 1102
Kingdom Of Croatia,WASPRESENTAT,Personal Union With Hungary 1102
Election Of Ferdinand I 1527,OCCURSAT,Cetin
Croatian Parliament,WASPRESENTAT,Election Of Ferdinand I 1527
Ferdinand I Of Austria,WASPRESENTAT,Election Of Ferdinand I 1527
House Of Habsburg,WASPRESENTAT,Election Of Ferdinand I 1527
"Proclamation Of State Of Slovenes, Croats, And Serbs In Zagreb 1918",OCCURSAT,Zagreb
"State Of Slovenes, Croats, And Serbs",WASPRESENTAT,"Proclamation Of State Of Slovenes, Croats, And Serbs In Zagreb 1918"
"Proclamation Of State Of Slovenes, Croats, And Serbs In Zagreb 1918",ISRELATEDTO,Habsburg Empire
Merger Into Kingdom Of Yugoslavia December 1918,WASPRESENTAT,"State Of Slovenes, Croats, And Serbs"
Merger Into Kingdom Of Yugoslavia December 1918,WASPRESENTAT,Kingdom Of Yugoslavia
Axis Invasion Of Yugoslavia April 1941,OCCURSAT,Kingdom Of Yugoslavia
Nazi Germany,WASPRESENTAT,Axis Invasion Of Yugoslavia April 1941
Fascist Italy,WASPRESENTAT,Axis Invasion Of Yugoslavia April 1941
Creation Of Independent State Of Croatia 1941,OCCURSAT,Croatia
Ante Pavelić,WASPRESENTAT,Creation Of Independent State Of Croatia 1941
Ustaše,WASPRESENTAT,Creation Of Independent State Of Croatia 1941
Independent State Of Croatia,ISRELATEDTO,Nazi Germany
Independent State Of Croatia,ISRELATEDTO,Fascist Italy
Ustaše,ISRELATEDTO,Serbs
Ustaše,ISRELATEDTO,Jews
Ustaše,ISRELATEDTO,Roma
Chetniks,ISRELATEDTO,Croats
Chetniks,ISRELATEDTO,Muslims
Jasenovac,ISCONTAINEDIN,Croatia
1944 Lipa Massacre,OCCURSAT,Lipa
Nazi Germany,WASPRESENTAT,1944 Lipa Massacre
1944 Kamešnica Crimes,OCCURSAT,Kamešnica
Nazi Germany,WASPRESENTAT,1944 Kamešnica Crimes
Formation Of 1St Sisak Partisan Detachment 22 June 1941,OCCURSAT,Sisak
1St Sisak Partisan Detachment,WASPRESENTAT,Formation Of 1St Sisak Partisan Detachment 22 June 1941
Yugoslav Partisans,WASPRESENTAT,Tehran Conference
Belgrade Offensive 1944,WASPRESENTAT,Soviet Troops
State Anti-Fascist Council For The National Liberation Of Croatia,ISRELATEDTO,Croatian Parliament
Socialist Republic Of Croatia,ISPARTOF,Socialist Federal Republic Of Yugoslavia
Croatia Declaration Of Independence 25 June 1991,OCCURSAT,Croatia
Croatia,WASPRESENTAT,Croatia Declaration Of Independence 25 June 1991
Croatian War Of Independence,OCCURSAT,Croatia
Avar And Croat Invasions (Late 6Th–7Th Century),OCCURSAT,Croatia
Avars,WASPRESENTAT,Avar And Croat Invasions (Late 6Th–7Th Century)
Croats,WASPRESENTAT,Avar And Croat Invasions (Late 6Th–7Th Century)
White Croats,ISRELATEDTO,White Croatia
Croats,ISRELATEDTO,White Croats
Migration Period,ISRELATEDTO,Croats
Duchy Of Croatia,ISPARTOF,Francia
Borna,ISRELATEDTO,Duchy Of Croatia
Principality Of Lower Pannonia,ISRELATEDTO,Duchy Of Croatia
Ljudevit,ISRELATEDTO,Principality Of Lower Pannonia
Ljudevit,ISRELATEDTO,Sisak
Archon Porga Of Croatia,ISRELATEDTO,Croatia
Trpimir I,ISRELATEDTO,Trpimirović Dynasty
Trpimirović Dynasty,ISRELATEDTO,Croatia
Petar Krešimir Iv,ISRELATEDTO,Kingdom Of Croatia
Dmitar Zvonimir,ISRELATEDTO,Kingdom Of Croatia
Frankopan Family,ISRELATEDTO,Kingdom Of Croatia
Šubić Family,ISRELATEDTO,Kingdom Of Croatia
Battle Of Krbava Field 1493,OCCURSAT,Krbava Field
Battle Of Mohács 1526,OCCURSAT,Mohács
Battle Of Sisak 1593,OCCURSAT,Sisak
Ottoman Empire,WASPRESENTAT,Battle Of Sisak 1593
Great Turkish War (1683–1698),WASPRESENTAT,Ottoman Empire
Slavonia,ISRELATEDTO,Great Turkish War (1683–1698)
Fifth Ottoman–Venetian War,WASPRESENTAT,Republic Of Venice
Fifth Ottoman–Venetian War,WASPRESENTAT,Ottoman Empire
Seventh Ottoman–Venetian War,WASPRESENTAT,Republic Of Venice
Seventh Ottoman–Venetian War,WASPRESENTAT,Ottoman Empire
Dalmatia,ISRELATEDTO,Republic Of Venice
Bosnians,ISRELATEDTO,Croatian Military Frontier
Croatian Parliament,WASPRESENTAT,Pragmatic Sanction Of 1712
Maria Theresa,ISRELATEDTO,Croatia
Battle Of Vis 1811,OCCURSAT,Vis
Royal Navy,WASPRESENTAT,Battle Of Vis 1811
Austrian Capture Of Illyrian Provinces 1813,OCCURSAT,Illyrian Provinces
Austrian Empire,WASPRESENTAT,Austrian Capture Of Illyrian Provinces 1813
Croatian National Revival,OCCURSAT,Croatia
Hungarian Revolution Of 1848,OCCURSAT,Croatia
Croatia,WASPRESENTAT,Hungarian Revolution Of 1848
Josip Jelačić,WASPRESENTAT,Hungarian Revolution Of 1848
Birth Of Nikola Tesla,OCCURSAT,Smiljin
Nikola Tesla,WASPRESENTAT,Birth Of Nikola Tesla
Austro-Hungarian Compromise Of 1867,OCCURSAT,Austria-Hungary
Croatian–Hungarian Settlement Of 1868,OCCURSAT,Kingdom Of Croatia
Kingdom Of Slavonia,ISPARTOF,Kingdom Of Croatia
Croatian Military Frontier,ISPARTOF,Croatia
Treaty Of Berlin 1878,OCCURSAT,Bosnia And Herzegovina
Austria-Hungary,WASPRESENTAT,Treaty Of Berlin 1878
Croatian Independence Declaration 29 October 1918,OCCURSAT,Croatia
Croatian Parliament,WASPRESENTAT,Croatian Independence Declaration 29 October 1918
"Formation Of Kingdom Of Serbs, Croats, And Slovenes (4 December 1918)",WASPRESENTAT,Kingdom Of Serbia
"Formation Of Kingdom Of Serbs, Croats, And Slovenes (4 December 1918)",WASPRESENTAT,"State Of Slovenes, Croats, And Serbs"
"Formation Of Kingdom Of Serbs, Croats, And Slovenes (4 December 1918)",WASPRESENTAT,"Kingdom Of Serbs, Croats, And Slovenes"
"1921 Constitution Of The Kingdom Of Serbs, Croats, And Slovenes",OCCURSAT,Kingdom Of Yugoslavia
Croatian Peasant Party (Hss),ISRELATEDTO,Stjepan Radić
Assassination Of Stjepan Radić 1928,OCCURSAT,National Assembly
Stjepan Radić,WASPRESENTAT,Assassination Of Stjepan Radić 1928
Puniša Račić,WASPRESENTAT,Assassination Of Stjepan Radić 1928
Nrs,WASPRESENTAT,Assassination Of Stjepan Radić 1928
6 January Dictatorship,OCCURSAT,Kingdom Of Yugoslavia
King Alexander I,WASPRESENTAT,6 January Dictatorship
1931 Constitution,OCCURSAT,Kingdom Of Yugoslavia
Cvetković–Maček Agreement (August 1939),OCCURSAT,Kingdom Of Yugoslavia
Vladko Maček,WASPRESENTAT,Cvetković–Maček Agreement (August 1939)
Banovina Of Croatia,ISPARTOF,Kingdom Of Yugoslavia
Julius Nepos,ISRELATEDTO,Split
Julius Nepos,ISRELATEDTO,Italy
Diocletian,ISRELATEDTO,Split
Diocletian,ISRELATEDTO,Croatia
Founding Of Dubrovnik,OCCURSAT,Dubrovnik
Founding Of Dubrovnik,ISRELATEDTO,Epidaurum
United Nations Security Council 2008–2009 Croatian Membership,ISRELATEDTO,United Nations Security Council
1986 Sanu Memorandum,OCCURSAT,Socialist Federal Republic Of Yugoslavia
"1989 Coups In Vojvodina, Kosovo, And Montenegro",OCCURSAT,Vojvodina
"1989 Coups In Vojvodina, Kosovo, And Montenegro",OCCURSAT,Kosovo
"1989 Coups In Vojvodina, Kosovo, And Montenegro",OCCURSAT,Montenegro
1990 Croatian Multi-Party Elections,OCCURSAT,Croatia
Franjo Tuđman,WASPRESENTAT,1990 Croatian Multi-Party Elections
Declaration Of Autonomy Of Republic Of Serbian Krajina,OCCURSAT,Croatia
Republic Of Serbian Krajina,WASPRESENTAT,Declaration Of Autonomy Of Republic Of Serbian Krajina
Burgenland Croats,ISRELATEDTO,Croats
Greeks,ISRELATEDTO,Hvar
Greeks,ISRELATEDTO,Korčula
Greeks,ISRELATEDTO,Vis
Illyrians,ISRELATEDTO,Croatia
Liburnians,ISRELATEDTO,Croatia
Allies,WASPRESENTAT,Tehran Conference
Vladimir Žerjavić,ISRELATEDTO,Croatia
Bogoljub Kočović,ISRELATEDTO,Croatia
1974 Yugoslav Constitution,OCCURSAT,Socialist Federal Republic Of Yugoslavia
Death Of Josip Broz Tito 1980,WASPRESENTAT,Josip Broz Tito
Death Of Josip Broz Tito 1980,OCCURSAT,Socialist Federal Republic Of Yugoslavia
Communists,ISRELATEDTO,Socialist Federal Republic Of Yugoslavia
1990 Communist Party Fragmentation,OCCURSAT,Socialist Federal Republic Of Yugoslavia
Communist Party,WASPRESENTAT,1990 Communist Party Fragmentation
United Nations Security Council 2008–2009 Croatian Membership,ISRELATEDTO,United Nations Security Council
Louis Ii,WASPRESENTAT,Battle Of Mohács 1526
Croatia,ISCONTAINEDIN,Central Europe
Croatia,ISCONTAINEDIN,Southeast Europe
Croatia,ISRELATEDTO,Adriatic Sea
Croatia,ISRELATEDTO,Hungary
Croatia,ISRELATEDTO,Serbia
Croatia,ISRELATEDTO,Bosnia And Herzegovina
Croatia,ISRELATEDTO,Montenegro
Croatia,ISRELATEDTO,Slovenia
Dubrovnik,ISCONTAINEDIN,Croatia
Neum,ISCONTAINEDIN,Bosnia And Herzegovina
Pelješac Bridge,ISRELATEDTO,Dubrovnik
Pelješac Bridge,ISRELATEDTO,Croatia
Eastern Slavonia,ISCONTAINEDIN,Slavonia
Western Slavonia,ISCONTAINEDIN,Slavonia
Slavonia,ISCONTAINEDIN,Croatia
Hrvatsko Zagorje,ISCONTAINEDIN,Croatia
Vukovar,ISCONTAINEDIN,Croatia
Vojvodina,ISCONTAINEDIN,Serbia
Dinaric Alps,ISCONTAINEDIN,Croatia
Dinara,ISCONTAINEDIN,Dinaric Alps
Dinara,ISRELATEDTO,Bosnia And Herzegovina
Insular Croatia,ISCONTAINEDIN,Croatia
Cres,ISCONTAINEDIN,Croatia
Krk,ISCONTAINEDIN,Croatia
Hvar,ISCONTAINEDIN,Croatia
Korčula,ISCONTAINEDIN,Croatia
Biševo,ISCONTAINEDIN,Croatia
Lastovo,ISCONTAINEDIN,Croatia
Svetac,ISCONTAINEDIN,Croatia
Vis,ISCONTAINEDIN,Croatia
Velebit,ISCONTAINEDIN,Croatia
Biokovo,ISCONTAINEDIN,Croatia
Lika,ISCONTAINEDIN,Croatia
Gorski Kotar,ISCONTAINEDIN,Croatia
Risnjak,ISCONTAINEDIN,Gorski Kotar
Snježnik,ISCONTAINEDIN,Gorski Kotar
Plitvice Lakes,ISCONTAINEDIN,Croatia
Plitvice Lakes National Park,ISCONTAINEDIN,Croatia
Velebit Nature Park,ISCONTAINEDIN,Croatia
Zrmanja,ISCONTAINEDIN,Croatia
Krka,ISCONTAINEDIN,Croatia
Danube,ISRELATEDTO,Croatia
Drava,ISRELATEDTO,Croatia
Kupa,ISRELATEDTO,Croatia
Sava,ISRELATEDTO,Croatia
Danube,ISRELATEDTO,Vukovar
Danube,ISRELATEDTO,Vojvodina
Zagreb,ISCONTAINEDIN,Croatia
Banski Dvori,ISCONTAINEDIN,Zagreb
Croatian Government,ISRELATEDTO,Banski Dvori
Krajina,ISCONTAINEDIN,Croatia
Plitvice Lakes National Park,ISPARTOF,Unesco World Heritage Site
Unesco World Heritage Site,ISPARTOF,Unesco
Velebit Nature Park,ISPARTOF,Unesco Man And The Biosphere Programme
Croatian Armed Forces,ISRELATEDTO,General Staff
Air Force,ISPARTOF,Croatian Armed Forces
Army,ISPARTOF,Croatian Armed Forces
Navy,ISPARTOF,Croatian Armed Forces
Education And Training Command,ISPARTOF,Croatian Armed Forces
Support Command,ISPARTOF,Croatian Armed Forces
General Staff,ISPARTOF,Croatian Armed Forces
Security And Intelligence Agency (Soa),ISRELATEDTO,Croatia
Ministry Of The Interior,ISRELATEDTO,Croatia
Constitutional Court,ISRELATEDTO,Croatia
Supreme Court,ISRELATEDTO,Croatia
Sabor,ISRELATEDTO,Croatia
Croatian Democratic Union,ISRELATEDTO,Croatia
Social Democratic Party Of Croatia,ISRELATEDTO,Croatia
European Bank For Reconstruction And Development (Ebrd),ISRELATEDTO,Croatia
International Organization For Migration (Iom),ISRELATEDTO,Croatia
Organization For Security And Co-Operation In Europe (Osce),ISRELATEDTO,Croatia
World Bank,ISRELATEDTO,Croatia
World Health Organization (Who),ISRELATEDTO,Croatia
International Criminal Tribunal For The Former Yugoslavia (Icty),ISRELATEDTO,Croatia
United Nations Development Programme (Undp),ISRELATEDTO,Croatia
United Nations High Commissioner For Refugees (Unhcr),ISRELATEDTO,Croatia
Unicef,ISRELATEDTO,Croatia
Hs Produkt,ISRELATEDTO,Croatian Armed Forces
Đuro Đaković,ISRELATEDTO,Croatian Armed Forces
Oecd Council,ISPARTOF,Oecd
United Nations Security Council,ISPARTOF,United Nations
Croatia,ISPARTOF,European Union
Croatia,ISPARTOF,Nato
Croatia,ISPARTOF,World Trade Organization
Croatia,ISPARTOF,Partnership For Peace
Croatia,ISPARTOF,Eurozone
Croatia,ISPARTOF,Schengen Area
Croatia,ISPARTOF,Erm Ii
Croatia,ISPARTOF,United Nations
Croatia Independence Declaration (25 June 1991),OCCURSAT,Croatia
Full Implementation Of Croatia'S Independence Declaration (8 October 1991),OCCURSAT,Croatia
War In Croatia Escalation (1991),OCCURSAT,Croatia
War In Croatia Escalation (1991),WASPRESENTAT,Yugoslav People'S Army (Jna)
War In Croatia Escalation (1991),WASPRESENTAT,Serb Paramilitary Groups
War In Croatia Ended (August 1995),OCCURSAT,Croatia
Victory And Homeland Thanksgiving Day And The Day Of Croatian Defenders (5 August Annually),OCCURSAT,Croatia
Erdut Agreement (November 1995),OCCURSAT,Croatia
Untaes Mission Concluded (January 1998),OCCURSAT,Croatia
Untaes Mission Concluded (January 1998),WASPRESENTAT,Untaes
Eec Recognition Of Croatia (15 January 1992),OCCURSAT,Croatia
Eec Recognition Of Croatia (15 January 1992),WASPRESENTAT,European Economic Community
Un Recognition Of Croatia,OCCURSAT,Croatia
Un Recognition Of Croatia,WASPRESENTAT,United Nations
Constitution Adopted (22 December 1990),OCCURSAT,Croatia
Constitutional Amendments (November 2000),OCCURSAT,Croatia
Constitutional Amendments (November 2000),WASPRESENTAT,Sabor
Constitutional Amendments (March 2001),OCCURSAT,Croatia
Constitutional Amendments (March 2001),WASPRESENTAT,Sabor
Joined Partnership For Peace (25 May 2000),OCCURSAT,Croatia
Joined Partnership For Peace (25 May 2000),WASPRESENTAT,Partnership For Peace
Joined World Trade Organization (30 November 2000),OCCURSAT,Croatia
Joined World Trade Organization (30 November 2000),WASPRESENTAT,World Trade Organization
Stabilisation And Association Agreement Signed With The European Union (29 October 2001),OCCURSAT,Croatia
Stabilisation And Association Agreement Signed With The European Union (29 October 2001),WASPRESENTAT,European Union
Eu Membership Application Submitted (2003),OCCURSAT,Croatia
Eu Membership Application Submitted (2003),WASPRESENTAT,European Union
Eu Candidate Status Granted (2004),OCCURSAT,Croatia
Eu Candidate Status Granted (2004),WASPRESENTAT,European Union
Eu Accession Negotiations Began (2005),OCCURSAT,Croatia
Eu Accession Negotiations Began (2005),WASPRESENTAT,European Union
Eu Accession Negotiations Completed (30 June 2011),OCCURSAT,Croatia
Eu Accession Negotiations Completed (30 June 2011),WASPRESENTAT,European Union
Accession Treaty With The European Union Signed (9 December 2011),OCCURSAT,Croatia
Accession Treaty With The European Union Signed (9 December 2011),WASPRESENTAT,European Union
Eu Membership Referendum (22 January 2012),OCCURSAT,Croatia
Joined The European Union (1 July 2013),OCCURSAT,Croatia
Joined The European Union (1 July 2013),WASPRESENTAT,European Union
Served On The United Nations Security Council (2008–2009 Term; Seat Assumed December 2008),OCCURSAT,Croatia
Served On The United Nations Security Council (2008–2009 Term; Seat Assumed December 2008),WASPRESENTAT,United Nations Security Council
Served On The United Nations Security Council (2008–2009 Term; Seat Assumed December 2008),WASPRESENTAT,United Nations
Joined Nato (1 April 2009),OCCURSAT,Croatia
Joined Nato (1 April 2009),WASPRESENTAT,Nato
2008 Financial Crisis Spending Cuts In Croatia,OCCURSAT,Croatia
Anti-Government Protests (2011),OCCURSAT,Croatia
Parliament Dissolution Vote (28 October 2011),OCCURSAT,Croatia
