croatia joins erm ii | IsRelatedTo | croatia
croatia joins erm ii | OccursAt | erm ii
croatia | IsRelatedTo | croatia joins nato
croatia | OccursAt | 2009 men's handball world championship
croatia | OccursAt | 2007 world table tennis championships
croatia | OccursAt | 2000 world rowing championships
croatia | OccursAt | 1987 summer universiade
croatia | OccursAt | 1979 mediterranean games
croatia | OccursAt | 2000 european handball championship
croatia | OccursAt | 2018 european handball championship
croatia | OccursAt | 2025 world men's handball championship
croatia | OccursAt | ['hamburg-zagreb flight launch', 'edmu agreement signing', 'first airbus a220 delivery']
croatia | IsRelatedTo | branimir international recognition
croatia | IsRelatedTo | tomislav crowned king
croatia | OccursAt | croatian parliament elected ferdinand
croatia | OccursAt | axis invasion of yugoslavia
croatia | IsRelatedTo | removal of croats 1991
croatia | IsRelatedTo | tourist visits report
croatia | IsRelatedTo | ['water quality ranking', 'corruption perceptions index report']
croatia | IsRelatedTo | world tourist destination ranking
croatia | IsRelatedTo | ['honeymoon destination report', 'solo travel index ranking']
croatia | IsRelatedTo | split of croatia
croatia | OccursAt | croatian pragmatic sanction
croatia | IsRelatedTo | croatian–hungarian settlement
croatia | IsRelatedTo | abolition of military frontier
croatia | IsRelatedTo | ['conscription abolition', 'compulsory conscription abolished']
croatia | IsRelatedTo | ['conscription reintroduction announcement', 'compulsory conscription reintroduced']
croatia | OccursAt | military exports in 2020
croatia | OccursAt | peacekeeping troops abroad
croatia | OccursAt | county border revision
croatia | IsRelatedTo | ['unemployment record low', 'record low unemployment']
croatia | IsRelatedTo | ['unemployment record high', 'all-time high unemployment']
croatia | OccursAt | april 2024 salary report
croatia | OccursAt | ['croatia 15th peaceful', "2024 men's european water polo championship", 'eib railway support']
croatia | OccursAt | 2007 education law passed
croatia | OccursAt | nationwide leaving exams start
croatia | IsRelatedTo | erdut agreement signed
croatia | IsRelatedTo | croatia joins partnership for peace
croatia | IsRelatedTo | croatia joins wto
croatia | IsRelatedTo | stabilisation and association agreement signed
croatia | IsRelatedTo | anti-government protests peak
croatia | OccursAt | parliament dissolved
croatia | IsRelatedTo | parliamentary elections
croatia | IsRelatedTo | eu accession negotiations completed
croatia | IsRelatedTo | eu accession treaty signed
croatia | IsRelatedTo | eu membership referendum
croatia | IsRelatedTo | croatia joins eu
croatia | IsRelatedTo | european migrant crisis
croatia | IsRelatedTo | plenkovic becomes prime minister
croatia | IsRelatedTo | presidential election
