s,p,o
franjo bucar,WasPresentAt,croatia
franjo bucar,IsRelatedTo,2020 olympics men's tennis gold
franjo bucar,IsRelatedTo,croatian sports association
croatia,WasPresentAt,ferdinand of austria
croatia,WasPresentAt,john x
croatia,WasPresentAt,petar kresimir
croatia,WasPresentAt,dmitar zvonimir
croatia,WasPresentAt,stjepan ii
croatia,WasPresentAt,ladislaus i
croatia,WasPresentAt,louis ii
croatia,WasPresentAt,charles iii
croatia,WasPresentAt,maria theresa
croatia,WasPresentAt,josip jelacic
croatia,WasPresentAt,ivo josipovic
croatia,WasPresentAt,andrej plenkovic
croatia,WasPresentAt,zoran milanovic
croatia,WasPresentAt,nebojsa slijepcevic
croatia,WasPresentAt,vladimir zerjavic
croatia,WasPresentAt,bogoljub kocovic
croatia,WasPresentAt,franjo tudman
croatia,WasPresentAt,josip juraj strossmayer
croatia,WasPresentAt,vlaho bukovac
croatia,WasPresentAt,ivan mestrovic
croatia,WasPresentAt,ivan generalic
croatia,WasPresentAt,marko marulic
croatia,WasPresentAt,marin drzic
croatia,WasPresentAt,ivan gundulic
croatia,WasPresentAt,ivan mazuranic
croatia,WasPresentAt,august senoa
croatia,WasPresentAt,ivana brlic-mazuranic
croatia,WasPresentAt,marija juric zagorka
croatia,WasPresentAt,antun gustav matos
croatia,WasPresentAt,antun branko simic
croatia,WasPresentAt,miroslav krleza
croatia,WasPresentAt,tin ujevic
croatia,WasPresentAt,ivo andric
croatia,WasPresentAt,vatroslav lisinski
croatia,WasPresentAt,ivan zajc
croatia,WasPresentAt,ivo pogorelic
croatia,IsContainedIn,republic of croatia
croatia,IsContainedIn,erm ii
croatia,IsContainedIn,eurozone
croatia,IsContainedIn,schengen area
croatia,IsContainedIn,nato
croatia,IsContainedIn,european union
croatia,IsContainedIn,zagreb
croatia,IsContainedIn,drava
croatia,IsContainedIn,danube
croatia,IsContainedIn,lika
croatia,IsContainedIn,gorski kotar
croatia,IsContainedIn,north coast
croatia,IsContainedIn,istrian
croatia,IsContainedIn,krk
croatia,IsContainedIn,dalmatia
croatia,IsContainedIn,45°10′n 15°30′e
croatia,IsContainedIn,split
croatia,IsContainedIn,a1
croatia,IsContainedIn,a3
croatia,IsContainedIn,slavonia
croatia,IsContainedIn,rijeka
croatia,IsContainedIn,dubrovnik-neretva county
croatia,IsContainedIn,peljesac bridge
croatia,IsContainedIn,peljesac peninsula
croatia,IsContainedIn,korcula
croatia,IsContainedIn,lastovo
croatia,IsContainedIn,dubrovnik
croatia,IsContainedIn,osijek
croatia,IsContainedIn,pula
croatia,IsContainedIn,zadar
croatia,IsContainedIn,franjo tudman airport
croatia,IsContainedIn,port of rijeka
croatia,IsContainedIn,vukovar
croatia,IsContainedIn,sisak
croatia,IsContainedIn,okoli
croatia,IsContainedIn,krk island
croatia,IsContainedIn,lng hrvatska
croatia,IsContainedIn,bijaci
croatia,IsContainedIn,trogir
croatia,IsContainedIn,benkovac
croatia,IsContainedIn,yugoslavia
croatia,IsContainedIn,opatija
croatia,IsContainedIn,cetin
croatia,IsContainedIn,kupa
croatia,IsContainedIn,vis
croatia,IsContainedIn,smiljin
croatia,IsContainedIn,hvar
croatia,IsContainedIn,sava
croatia,IsContainedIn,bjelovar
croatia,IsContainedIn,gospic
croatia,IsContainedIn,ogulin
croatia,IsContainedIn,pozega
croatia,IsContainedIn,varazdin
croatia,IsContainedIn,međimurje
croatia,IsContainedIn,karlovac
croatia,IsContainedIn,university of zadar
croatia,IsContainedIn,university of zagreb
croatia,IsContainedIn,ruđer boskovic institute
croatia,IsContainedIn,croatian academy of sciences and arts
croatia,IsContainedIn,dinara peak
croatia,IsContainedIn,cres
croatia,IsContainedIn,hrvatsko zagorje
croatia,IsContainedIn,plitvice lakes
croatia,IsContainedIn,cakovec
croatia,IsContainedIn,ploce
croatia,IsContainedIn,bisevo
croatia,IsContainedIn,svetac
croatia,IsContainedIn,risnjak
croatia,IsContainedIn,snjeznick
croatia,IsContainedIn,zrmanja
croatia,IsContainedIn,krka
croatia,IsContainedIn,rudjer boskovic institute
croatia,IsContainedIn,city of zagreb
croatia,IsContainedIn,city of split
croatia,IsContainedIn,croatia fair
croatia,IsContainedIn,sibenik
croatia,IsContainedIn,republic of serbian krajina
croatia,IsContainedIn,eastern slavonia
croatia,IsContainedIn,western slavonia
croatia,IsContainedIn,krajina
croatia,IsContainedIn,erdut
croatia,IsContainedIn,baranja
croatia,IsContainedIn,rab
croatia,IsContainedIn,molat
croatia,IsContainedIn,kamesnica
croatia,IsContainedIn,lipa
croatia,OccursAt,croatia joins schengen and eurozone
croatia,OccursAt,croatia joins erm ii
croatia,OccursAt,compulsory conscription abolished
croatia,OccursAt,compulsory conscription reintroduced
croatia,OccursAt,croatia joins nato
croatia,OccursAt,2009 men's handball world championship
croatia,OccursAt,2007 world table tennis championships
croatia,OccursAt,2000 world rowing championships
croatia,OccursAt,1987 summer universiade
croatia,OccursAt,1979 mediterranean games
croatia,OccursAt,2000 european handball championship
croatia,OccursAt,2018 european handball championship
croatia,OccursAt,2025 world men's handball championship
croatia,OccursAt,2024 men's european water polo championship
croatia,OccursAt,eib railway support
croatia,OccursAt,edmu agreement signing
croatia,OccursAt,branimir international recognition
croatia,OccursAt,tomislav crowned king
croatia,OccursAt,croatian parliament elected ferdinand
croatia,OccursAt,axis invasion of yugoslavia
croatia,OccursAt,croatia declared independence
croatia,OccursAt,removal of croats 1991
croatia,OccursAt,record low unemployment
croatia,OccursAt,all-time high unemployment
croatia,OccursAt,corruption perceptions index report
croatia,OccursAt,tourist visits report
croatia,OccursAt,water quality ranking
croatia,OccursAt,world tourist destination ranking
croatia,OccursAt,solo travel index ranking
croatia,OccursAt,honeymoon destination report
croatia,OccursAt,split of croatia
croatia,OccursAt,croatian pragmatic sanction
croatia,OccursAt,croatian–hungarian settlement
croatia,OccursAt,abolition of military frontier
croatia,OccursAt,conscription abolition
croatia,OccursAt,conscription reintroduction announcement
croatia,OccursAt,military exports in 2020
croatia,OccursAt,peacekeeping troops abroad
croatia,OccursAt,county border revision
croatia,OccursAt,unemployment record low
croatia,OccursAt,unemployment record high
croatia,OccursAt,april 2024 salary report
croatia,OccursAt,croatia 15th peaceful
croatia,OccursAt,2007 education law passed
croatia,OccursAt,nationwide leaving exams start
croatia,OccursAt,erdut agreement signed
croatia,OccursAt,croatia joins partnership for peace
croatia,OccursAt,croatia joins wto
croatia,OccursAt,stabilisation and association agreement signed
croatia,OccursAt,anti-government protests peak
croatia,OccursAt,parliament dissolved
croatia,OccursAt,parliamentary elections
croatia,OccursAt,eu accession negotiations completed
croatia,OccursAt,eu accession treaty signed
croatia,OccursAt,eu membership referendum
croatia,OccursAt,croatia joins eu
croatia,OccursAt,european migrant crisis
croatia,OccursAt,plenkovic becomes prime minister
croatia,OccursAt,presidential election
croatia,OccursAt,oecd accession negotiations
croatia,OccursAt,riva eurovision victory
croatia,OccursAt,croatia's eurovision debut
croatia,OccursAt,croatia fourth place eurovision
croatia,OccursAt,croatia fourth place eurovision
croatia,OccursAt,croatia second place eurovision
croatia,OccursAt,slijepcevic oscar nomination
croatia,OccursAt,state anti-fascist council founding
croatia,OccursAt,declaration on croatian language
croatia,OccursAt,croatian spring
croatia,OccursAt,first croatian multiparty elections
croatia,OccursAt,croatia declares independence
croatia,OccursAt,croatia full independence effect
croatia,OccursAt,serb paramilitary attacks
croatia,OccursAt,mass expulsion of croats
croatia,OccursAt,croatia gains diplomatic recognition
croatia,OccursAt,croatia war decisive victory
croatia,OccursAt,untaes mission concludes
croatia,OccursAt,croatian independence declaration
croatia,OccursAt,croatian parliament abolition
2020 olympics men's tennis gold,IsRelatedTo,national sport programme
2020 olympics men's tennis gold,IsRelatedTo,croatian olympic committee
2020 olympics men's tennis gold,OccursAt,italy
croatian sports association,IsPartOf,hrvatski sokol
croatian sports association,IsRelatedTo,2022 world cup third place
croatian sports association,IsRelatedTo,2018 world cup final
croatian sports association,IsRelatedTo,1998 world cup third place
croatian sports association,IsPartOf,croatian olympic committee
ferdinand of austria,IsRelatedTo,croatian parliament elected ferdinand
