s,p,o
joined schengen area,OccursAt,croatia
joined schengen area,IsRelatedTo,croatian democratic union
joined schengen area,IsRelatedTo,social democratic party of croatia
joined schengen area,IsRelatedTo,croatian ministry of foreign affairs and european integration
croatia,OccursAt,joined eurozone
croatia,OccursAt,joined erp II
croatia,OccursAt,abolished conscription
croatia,OccursAt,reintroduced conscription
croatia,OccursAt,national sport programme
croatia,OccursAt,1998 World Cup bronze
croatia,OccursAt,2018 World Cup silver
croatia,OccursAt,2022 World Cup bronze
croatia,OccursAt,2020 Summer Olympics gold
croatia,OccursAt,2009 World Men's Handball Championship
croatia,OccursAt,2007 World Table Tennis Championships
croatia,OccursAt,2000 World Rowing Championships
croatia,OccursAt,1987 Summer Universiade
croatia,OccursAt,1979 Mediterranean Games
croatia,OccursAt,2024 Men's European Water Polo Championship
croatia,OccursAt,2018 World Men's Handball Championship
croatia,OccursAt,2025 World Men's Handball Championship
croatia,OccursAt,international recognition
croatia,OccursAt,merger into kingdom
croatia,OccursAt,declaration of independence
croatia,OccursAt,first king of croatia
croatia,OccursAt,battle of krbava field
croatia,OccursAt,battle of sisak
croatia,OccursAt,pragmatic sanction
croatia,OccursAt,battle of vis
croatia,OccursAt,return of military frontier
croatia,OccursAt,abolishment of compulsory conscription
croatia,OccursAt,introduction of new conscription
croatia,OccursAt,export of military equipment
croatia,OccursAt,unemployment rate change
croatia,OccursAt,high GDP projection
croatia,OccursAt,erdut agreement
croatia,OccursAt,croatia joins peace partnership
croatia,OccursAt,wto membership
croatia,OccursAt,stabilisation agreement signed
croatia,OccursAt,eu accession negotiations
croatia,OccursAt,accession treaty signed
croatia,OccursAt,eu membership referendum
croatia,OccursAt,croatia joins eu
croatia,OccursAt,plenkovic becomes prime minister
croatia,OccursAt,presidential elections
croatia,OccursAt,oecd accession negotiations
croatia,OccursAt,croatia adopts euro
croatia,OccursAt,croatia joins schengen area
croatia,OccursAt,healthcare expenditure report
croatia,OccursAt,cardiovascular disease death
croatia,OccursAt,obesity report
croatia,OccursAt,independence declaration
croatia,OccursAt,declaration implementation
croatia,OccursAt,diplomatic recognition
croatia,OccursAt,victory day
croatia,OccursAt,erdut agreement
croatia,OccursAt,declaration of independence
croatia,OccursAt,6 January Dictatorship establishment
croatia,OccursAt,Cvetkovic–Macek Agreement
croatia,OccursAt,invasion of Yugoslavia
croatia,OccursAt,control of Yugoslavia
croatia,IsContainedIn,plitvice lakes national park
croatia,IsContainedIn,zagreb
croatia,IsContainedIn,velebit nature park
croatia,IsContainedIn,istria
croatia,IsContainedIn,krk
croatia,IsContainedIn,dalmatia
croatia,IsContainedIn,split
croatia,IsContainedIn,rijeka
croatia,IsContainedIn,osijek
croatia,IsContainedIn,zadar
croatia,IsContainedIn,vukovar
croatia,IsContainedIn,krk island
croatia,IsContainedIn,benkovac
croatia,IsContainedIn,slavonia
croatia,IsContainedIn,dubrovnik
croatia,IsContainedIn,smiljin
croatia,IsContainedIn,sisak
croatia,IsContainedIn,bjelovar
croatia,IsContainedIn,gospic
croatia,IsContainedIn,ogulin
croatia,IsContainedIn,pozega
croatia,IsContainedIn,varazdin
croatia,IsContainedIn,university of zadar
croatia,IsContainedIn,university of zagreb
croatia,IsContainedIn,peljesac bridge
croatia,IsContainedIn,city of zagreb
croatia,IsContainedIn,city of split
croatia,IsContainedIn,sibenik
croatia,IsContainedIn,eastern slavonia
croatia,IsContainedIn,western slavonia
croatia,IsContainedIn,baranja
croatia,IsContainedIn,međimurje
croatia,IsContainedIn,jasenovac
croatia,IsContainedIn,kamesnica
croatia,IsContainedIn,lipa
croatia,IsContainedIn,zagreb fair
croatia,IsContainedIn,karlovac
croatia,IsContainedIn,trogir
croatia,WasPresentAt,franjo bucar
croatia,WasPresentAt,tomislav unspecified
croatia,WasPresentAt,trpimir i of croatia
croatia,WasPresentAt,petar kresimir iv
croatia,WasPresentAt,dmitar zvonimir
croatia,WasPresentAt,ladislaus i
