zagreb | IsContainedIn | croatia
zagreb | IsContainedIn | zagreb county
zagreb | IsContainedIn | banski dvori
zagreb | IsContainedIn | rudjer boskovic institute
zagreb | IsContainedIn | croatian academy of sciences and arts
zagreb | IsContainedIn | zagreb fair
zagreb | IsContainedIn | franjo tudman airport
zagreb | OccursAt | hamburg zagreb service
croatia | IsContainedIn | plitvice lakes national park
croatia | IsContainedIn | zrmanja canyon
croatia | IsContainedIn | krka canyon
croatia | IsContainedIn | drava
croatia | IsContainedIn | adriatic islands
croatia | IsContainedIn | dinaric mountains
croatia | IsContainedIn | pannonian mixed forests
croatia | IsContainedIn | illyrian deciduous forests
croatia | IsContainedIn | istrian
croatia | IsContainedIn | krk
croatia | IsContainedIn | dalmatia
croatia | IsContainedIn | slavonia
croatia | IsContainedIn | dubrovnik
croatia | IsContainedIn | rijeka
croatia | IsContainedIn | osijek
croatia | IsContainedIn | zadar
croatia | IsContainedIn | lastovo
croatia | IsContainedIn | peljesac bridge
croatia | IsContainedIn | trogir
croatia | IsContainedIn | benkovac
croatia | IsContainedIn | bijaci
croatia | IsContainedIn | vis
croatia | IsContainedIn | hvar
croatia | IsContainedIn | korcula
croatia | IsContainedIn | sava
croatia | IsContainedIn | university of zadar
croatia | IsContainedIn | dinara peak
croatia | IsContainedIn | cres
croatia | IsContainedIn | hrvatsko zagorje
croatia | IsContainedIn | dinaric alps
croatia | IsContainedIn | plitvice lakes
croatia | IsContainedIn | bisevo
croatia | IsContainedIn | svetac
croatia | IsContainedIn | risnjak
croatia | IsContainedIn | sneznik
croatia | IsContainedIn | dinaric mountains mixed forests
croatia | IsRelatedTo | andrej plenkovic
croatia | IsRelatedTo | ivo josipovic
croatia | IsRelatedTo | zoran milanovic
croatia | WasPresentAt | vatroslav lisinski
croatia | IsContainedIn | sabor
croatia | IsRelatedTo | independence recognized
croatia | OccursAt | independence declared
croatia | OccursAt | conscription abolished
croatia | OccursAt | conscription reintroduced 2025
croatia | IsRelatedTo | global peace index 2024
croatia | OccursAt | counties abolished 1920s
croatia | OccursAt | counties reintroduced 1992
croatia | IsRelatedTo | eight counties 1918
croatia | OccursAt | counties borders revised 2006
croatia | OccursAt | conscription duration reduced 2001
croatia | OccursAt | eu referendum
croatia | OccursAt | constitution adopted
croatia | OccursAt | record low temperature
croatia | OccursAt | record high temperature
croatia | OccursAt | croatia independence
croatia | IsPartOf | european union
croatia | IsPartOf | eurozone
croatia | IsPartOf | schengen area
croatia | IsPartOf | nato
croatia | IsPartOf | united nations
croatia | IsPartOf | council of europe
croatia | IsPartOf | organization for security and cooperation in europe
croatia | IsPartOf | world trade organization
croatia | IsPartOf | union for the mediterranean
croatia | IsPartOf | partnership for peace
croatia | IsPartOf | socialist federal republic of yugoslavia
croatia | IsPartOf | croatian military
croatia | IsContainedIn | city of zagreb
croatia | OccursAt | join erm ii
croatia | OccursAt | 1991 croatia displacements
croatia | OccursAt | un report 2013
croatia | OccursAt | debt to gdp 2020
croatia | OccursAt | trade 2018
croatia | OccursAt | motorway mileage 2020
croatia | OccursAt | tourist visits 2017
croatia | OccursAt | ['wedding trends 2023', 'bounce index 2023']
croatia | OccursAt | ['stays 2019', 'tourism 2019 income']
croatia | OccursAt | territorial split
croatia | OccursAt | parliament pragmatic sanction
croatia | OccursAt | jelacic defeats hungarians
croatia | OccursAt | croatia hungary settlement
croatia | OccursAt | frontier return croatia
croatia | OccursAt | trpimir charter
croatia | OccursAt | duchy croatia attested
croatia | OccursAt | christianisation begins croats
croatia | OccursAt | christianisation completes croats
croatia | OccursAt | petar kresimir iv reign
croatia | OccursAt | dmitar zvonimir reign
croatia | OccursAt | stjepan ii death
croatia | OccursAt | arms exports 2020
croatia | OccursAt | ['literacy rate 2021', '2021 census', 'census 2021']
croatia | OccursAt | ec language survey 2005
croatia | OccursAt | foreign language survey 2011
croatia | OccursAt | education law 2007
croatia | OccursAt | ['r&d expenditure 2022', 'corruption index 2022']
croatia | OccursAt | partnership for peace
croatia | OccursAt | wto membership
croatia | OccursAt | eu-saa signing
croatia | OccursAt | eu accession completed
croatia | OccursAt | acc treaty signed
croatia | OccursAt | eu membership
croatia | OccursAt | nato accession
croatia | OccursAt | dec 2011 elections
croatia | OccursAt | plenkovic prime minister
croatia | OccursAt | presidential election 2020
croatia | OccursAt | oecd accession opened
croatia | OccursAt | ['schengen membership', 'join schengen eurozone', 'euro adoption']
croatia | OccursAt | moratorium on indecision
croatia | OccursAt | eec recognition
croatia | OccursAt | war end 1995
croatia | OccursAt | independence declaration
dalmatia | IsContainedIn | italy
dalmatia | IsContainedIn | split
dalmatia | OccursAt | dalmatia venetian control
dalmatia | OccursAt | dalmatia formed
dalmatia | OccursAt | roman annexation croatia
rijeka | OccursAt | rijeka corpus separatum
osijek | IsContainedIn | osijek-baranja
osijek | IsContainedIn | tvrdja fortress
split | WasPresentAt | julius nepos
split | OccursAt | julius nepos rule
zadar | IsContainedIn | church of st donatus in zadar
krk island | IsContainedIn | adriatic sea
krk island | IsContainedIn | baska
vukovar | IsContainedIn | vukovar-syrmia
belgrade | OccursAt | union with serbia
belgrade | OccursAt | 6 january dictatorship
berlin | OccursAt | treaty of berlin
hamburg | OccursAt | hamburg zagreb service
krsko | IsContainedIn | krsko nuclear power plant
trogir | IsContainedIn | trogir cathedral
north-western bosnia | IsContainedIn | bosnia and herzegovina
bosnia and herzegovina | IsContainedIn | neum
bosnia and herzegovina | OccursAt | great turkish war begins
vienna | IsContainedIn | austria
vienna | OccursAt | vienna literary agreement
austria | IsContainedIn | medimurje
austria | IsContainedIn | baranja
austria | OccursAt | 1848 revolution
austria | OccursAt | austro-hungarian compromise
austria | OccursAt | world war i halts reforms
krbava field | OccursAt | krbava field battle
mohacs | WasPresentAt | louis ii
mohacs | OccursAt | battle mohacs
cetin | WasPresentAt | ferdinand i
cetin | OccursAt | cetin election
ragusa | OccursAt | illyrian provinces established
ragusa | OccursAt | illyrian provinces captured
vis | OccursAt | battle of vis
smiljin | WasPresentAt | nikola tesla
sisak | WasPresentAt | josip tito
sisak | OccursAt | first sisak detachment
bjelovar | IsContainedIn | bjelovar-bilogora
pozega | IsContainedIn | pozega-slavonia
afghanistan | OccursAt | isaf troops afghanistan 2019
kosovo | OccursAt | kfor troops kosovo 2019
university of zadar | OccursAt | zadar university founded
university of zadar | OccursAt | zadar renewed university
university of zagreb | IsContainedIn | southeast europe
