s,p,o
franjo bucar,IsRelatedTo,croatian olympic committee
croatian olympic committee,IsPartOf,croatian sports association
franjo tudman,IsRelatedTo,croatian government
franjo tudman,IsRelatedTo,franjo tudman airport
croatian government,IsRelatedTo,1991 croatia displacements
croatian government,IsRelatedTo,independence declared
croatian government,IsPartOf,office of displaced persons and refugees
petar kresimir iv,IsRelatedTo,kingdom of croatia
kingdom of croatia,IsRelatedTo,dmitar zvonimir
kingdom of croatia,IsRelatedTo,louis ii
kingdom of croatia,IsRelatedTo,ferdinand i
kingdom of croatia,IsRelatedTo,stjepan ii
kingdom of croatia,IsRelatedTo,ladislaus crown claim
kingdom of croatia,IsRelatedTo,croatia hungary union
kingdom of croatia,IsRelatedTo,dmitar zvonimir reign
kingdom of croatia,IsRelatedTo,petar kresimir iv reign
kingdom of croatia,IsRelatedTo,tomislav king recognition
kingdom of croatia,IsRelatedTo,jelacic defeats hungarians
kingdom of croatia,IsRelatedTo,hungary croatia union
kingdom of croatia,IsRelatedTo,tomislav recognized as king
ladislaus i,IsRelatedTo,hungary croatia union
hungary croatia union,OccursAt,hungary
louis ii,WasPresentAt,mohacs
louis ii,IsRelatedTo,battle mohacs
mohacs,OccursAt,battle mohacs
battle mohacs,IsRelatedTo,ottoman empire
ferdinand i,WasPresentAt,cetin
ferdinand i,IsRelatedTo,cetin election
ferdinand i,IsRelatedTo,house of habsburg
cetin,OccursAt,cetin election
cetin election,IsRelatedTo,sabor
house of habsburg,IsPartOf,military frontier
maria theresa,IsRelatedTo,austrian empire
austrian empire,IsRelatedTo,1848 revolution
austrian empire,IsRelatedTo,dalmatia formed
austrian empire,IsRelatedTo,illyrian provinces captured
austrian empire,IsRelatedTo,rijeka corpus separatum
charles iii,IsRelatedTo,parliament pragmatic sanction
charles iii,IsRelatedTo,sabor
parliament pragmatic sanction,IsRelatedTo,sabor
parliament pragmatic sanction,OccursAt,croatia
josip jelacic,IsRelatedTo,jelacic defeats hungarians
jelacic defeats hungarians,OccursAt,croatia
nikola tesla,WasPresentAt,smiljin
julius nepos,WasPresentAt,split
julius nepos,IsRelatedTo,julius nepos rule
julius nepos,IsRelatedTo,roman empire
split,OccursAt,julius nepos rule
split,IsContainedIn,dalmatia
split,IsContainedIn,croatia
julius nepos rule,IsRelatedTo,roman empire
roman empire,IsRelatedTo,roman annexation croatia
rudjer boskovic,IsRelatedTo,rudjer boskovic institute
rudjer boskovic institute,IsRelatedTo,r&d expenditure 2022
andrej plenkovic,WasPresentAt,croatia
andrej plenkovic,IsRelatedTo,plenkovic prime minister
andrej plenkovic,IsRelatedTo,croatia
croatia,WasPresentAt,zoran milanovic
croatia,WasPresentAt,vatroslav lisinski
croatia,OccursAt,join erm ii
croatia,OccursAt,join schengen eurozone
croatia,OccursAt,independence declared
croatia,OccursAt,1991 croatia displacements
croatia,OccursAt,census 2021
croatia,OccursAt,un report 2013
croatia,OccursAt,debt to gdp 2020
croatia,OccursAt,corruption index 2022
croatia,OccursAt,trade 2018
croatia,OccursAt,tourism 2019 income
croatia,OccursAt,motorway mileage 2020
croatia,OccursAt,tourist visits 2017
croatia,OccursAt,bounce index 2023
croatia,OccursAt,wedding trends 2023
croatia,OccursAt,stays 2019
croatia,OccursAt,territorial split
croatia,OccursAt,croatia hungary settlement
croatia,OccursAt,frontier return croatia
croatia,OccursAt,trpimir charter
croatia,OccursAt,duchy croatia attested
croatia,OccursAt,christianisation begins croats
croatia,OccursAt,christianisation completes croats
croatia,OccursAt,petar kresimir iv reign
croatia,OccursAt,dmitar zvonimir reign
croatia,OccursAt,stjepan ii death
