s,p,o
Japan,ISCONTAINEDIN,East Asia
Japan,ISRELATEDTO,Pacific Ocean
Japan,ISRELATEDTO,Sea Of Japan
Japan,ISRELATEDTO,Sea Of Okhotsk
Japan,ISRELATEDTO,East China Sea
Japan,ISCONTAINEDIN,Tokyo
Japan,ISCONTAINEDIN,Japanese Archipelago
Japan,ISCONTAINEDIN,47 Administrative Prefectures
Japan,ISCONTAINEDIN,Eight Traditional Regions
Japan,ISRELATEDTO,World War Ii
Japan,ISRELATEDTO,U.S.
Japan,ISRELATEDTO,Meiji Period
Japan,ISRELATEDTO,Korea
Japan,ISRELATEDTO,China
Japan,ISRELATEDTO,G7
Japan,ISRELATEDTO,Buddhism
Japan,ISCONTAINEDIN,National Diet
World War Ii,ISRELATEDTO,U.S.
U.S.,ISRELATEDTO,Hiroshima
U.S.,ISRELATEDTO,Nagasaki
Japan,ISRELATEDTO,Japanese Paleolithic
Japanese Paleolithic,ISCONTAINEDIN,Upper Paleolithic
Nara,ISRELATEDTO,Heian-Kyō
Shōgun,ISRELATEDTO,Daimyō
Shōgun,ISRELATEDTO,Samurai
Samurai,ISRELATEDTO,Daimyō
Kamakura Shogunate,ISRELATEDTO,Japan
Ashikaga Shogunate,ISRELATEDTO,Japan
Tokugawa Shogunate,ISRELATEDTO,Japan
Tokugawa Shogunate,ISRELATEDTO,Kamakura Shogunate
Tokugawa Shogunate,ISRELATEDTO,Ashikaga Shogunate
Tokugawa Shogunate,ISRELATEDTO,Isolationist Foreign Policy
Japan,ISRELATEDTO,Allied Occupation
Japan,ISRELATEDTO,Lost Decades
Japan,ISRELATEDTO,Automotive
Japan,ISRELATEDTO,Electronics
Japan,ISRELATEDTO,Robotics
Japan,ISRELATEDTO,Art
Japan,ISRELATEDTO,Cuisine
Japan,ISRELATEDTO,Films
Japan,ISRELATEDTO,Music
Japan,ISRELATEDTO,Animation
Japan,ISRELATEDTO,Comics
Japan,ISRELATEDTO,Video Games
Nihon,ISRELATEDTO,Nippon
Japan,ISRELATEDTO,Nihon
Japan,ISRELATEDTO,Nippon
Japan,ISRELATEDTO,Wa
Japan,ISRELATEDTO,Yamato
Yamato,ISRELATEDTO,Emperor Jimmu
Emperor Jimmu,ISRELATEDTO,Amaterasu
Jōmon Period,ISRELATEDTO,Jōmon People
Jōmon Period,ISRELATEDTO,Yayoi People
Jōmon People,ISRELATEDTO,Yayoi People
Japan,ISRELATEDTO,Book Of Han
Japan,ISRELATEDTO,Book Of Wei
Book Of Han,ISRELATEDTO,Book Of Wei
Japan,ISRELATEDTO,Yamatai
Buddhism,ISRELATEDTO,Baekje
Buddhism,ISRELATEDTO,Asuka Period
Buddhism,ISRELATEDTO,China
Buddhism,ISRELATEDTO,Prince Shōtoku
Japan,ISRELATEDTO,Prince Naka No Ōe
Japan,ISRELATEDTO,Fujiwara No Kamatari
Prince Naka No Ōe,ISRELATEDTO,Fujiwara No Kamatari
Taika Reforms,ISRELATEDTO,Confucianism
Taika Reforms,ISRELATEDTO,China
Taika Reforms,ISRELATEDTO,Taihō Code
Taika Reforms,ISRELATEDTO,Ritsuryō State
Taihō Code,ISRELATEDTO,Ritsuryō State
Jinshin War,ISRELATEDTO,Prince Ōama
Jinshin War,ISRELATEDTO,Prince Ōtomo
Nara Period,ISRELATEDTO,Heijō-Kyō
Nara Period,ISRELATEDTO,Kojiki
Nara Period,ISRELATEDTO,Nihon Shoki
Nara Period,ISRELATEDTO,Emperor Kanmu
Emperor Kanmu,ISRELATEDTO,Heian-Kyō
Heian Period,ISRELATEDTO,Murasaki Shikibu
Heian Period,ISRELATEDTO,The Tale Of Genji
Heian Period,ISRELATEDTO,Kimigayo
Samurai,ISRELATEDTO,Minamoto Clan
Samurai,ISRELATEDTO,Taira Clan
Genpei War,ISRELATEDTO,Minamoto Clan
Genpei War,ISRELATEDTO,Taira Clan
Genpei War,ISRELATEDTO,Minamoto No Yoritomo
Minamoto No Yoritomo,ISRELATEDTO,Kamakura Shogunate
Kamakura Shogunate,ISRELATEDTO,Hōjō Clan
Kamakura Period,ISRELATEDTO,Zen Buddhism
Zen Buddhism,ISRELATEDTO,China
Kamakura Shogunate,ISRELATEDTO,Mongol Invasions
Emperor Go-Daigo,ISRELATEDTO,Ashikaga Takauji
Ashikaga Takauji,ISRELATEDTO,Muromachi Period
Muromachi Period,ISRELATEDTO,Ashikaga Shogunate
Sengoku Period,ISRELATEDTO,Daimyō
Oda Nobunaga,ISRELATEDTO,Azuchi–Momoyama Period
Oda Nobunaga,ISRELATEDTO,Toyotomi Hideyoshi
Toyotomi Hideyoshi,ISRELATEDTO,"Invasions Of Korea (1592, 1597)"
"Invasions Of Korea (1592, 1597)",ISRELATEDTO,Korea
Portugal,ISRELATEDTO,Southeast Asia
Marco Polo,ISRELATEDTO,Cipangu
Tokugawa Ieyasu,ISRELATEDTO,Toyotomi Hideyori
Tokugawa Ieyasu,ISPARTOF,Council Of Five Elders
Tokugawa Ieyasu,WASPRESENTAT,Battle Of Sekigahara
Tokugawa Ieyasu,ISRELATEDTO,Tokugawa Shogunate
Tokugawa Shogunate,ISCONTAINEDIN,Edo
Edo,ISRELATEDTO,Tokyo
Tokugawa Shogunate,ISRELATEDTO,Buke Shohatto
Buke Shohatto,ISRELATEDTO,Daimyō
Tokugawa Shogunate,ISRELATEDTO,Sakoku
Sakoku,ISPARTOF,Edo Period
Kaidō,ISPARTOF,Edo Period
Osaka Rice Brokers,ISRELATEDTO,Futures Contracts
Osaka Rice Brokers,ISRELATEDTO,Banking And Insurance Of The Osaka Rice Brokers
Rangaku,ISRELATEDTO,Dutch Enclave In Nagasaki
Kokugaku,ISPARTOF,Edo Period
Commodore Matthew C. Perry,ISPARTOF,United States Navy
Commodore Matthew C. Perry,ISRELATEDTO,Perry Expedition
Perry Expedition,OCCURSAT,Uraga
Perry Expedition,ISRELATEDTO,Black Ships
Perry Expedition,ISRELATEDTO,Convention Of Kanagawa
Convention Of Kanagawa,ISRELATEDTO,Western Countries
Meiji Restoration,ISRELATEDTO,Boshin War
Cabinet,ISRELATEDTO,Privy Council
