Japan | ISRELATEDTO | East Asia
Tokyo | ISPARTOF | Japan
Nara | ISPARTOF | Japan
Heian-Kyō | ISPARTOF | Japan
Korea | ISCONTAINEDIN | East Asia
Baekje | ISPARTOF | Korea
Minamoto No Yoritomo | ISRELATEDTO | Kamakura Shogunate
Kamakura Shogunate | OCCURSAT | Japan
Ashikaga Takauji | ISRELATEDTO | Ashikaga Shogunate
Fujiwara No Kamatari | ISRELATEDTO | Taika Reforms
Prince Naka No Ōe | ISRELATEDTO | Taika Reforms
Meiji Period | OCCURSAT | Japan
World War Ii | OCCURSAT | Japan
Pacific War | ISRELATEDTO | World War Ii
Allied Occupation | OCCURSAT | Japan
1853 American Fleet Opens Trade | OCCURSAT | Japan
1868 Restoration Of Imperial Power | OCCURSAT | Japan
1910 Annexation Of Korea | OCCURSAT | Korea
1937 Invasion Of China | OCCURSAT | China
1941 Attack On Us And European Powers | OCCURSAT | Japan
1945 Surrender | OCCURSAT | Japan
Atomic Bombing Of Hiroshima | OCCURSAT | Hiroshima
Atomic Bombing Of Nagasaki | OCCURSAT | Nagasaki
Hiroshima | ISRELATEDTO | World War Ii
Nagasaki | ISRELATEDTO | World War Ii
World War Ii | ISRELATEDTO | Pacific War
Lost Decades | OCCURSAT | Japan
National Diet | ISPARTOF | Japan
G7 | ISRELATEDTO | Japan
Upper Paleolithic In Japan | OCCURSAT | Japan
Jinshin War | OCCURSAT | Japan
Kamakura Period | OCCURSAT | Japan
Tokugawa_Ieyasu | ISPARTOF | Council_Of_Five_Elders
Tokugawa_Ieyasu | ISRELATEDTO | Toyotomi_Hideyori
Toyotomi_Hideyori | ISRELATEDTO | Toyotomi_Hideyoshi
Battle_Of_Sekigahara | OCCURSAT | Sekigahara
Tokugawa_Ieyasu | WASPRESENTAT | Battle_Of_Sekigahara
Emperor_Go_Yozei | ISRELATEDTO | Tokugawa_Ieyasu
Tokugawa_Shogunate | ISRELATEDTO | Edo
Tokugawa_Shogunate | ISRELATEDTO | Buke_Shohato
Sakoku | ISRELATEDTO | Edo_Period
Edo | ISRELATEDTO | Edo_Period
Rangaku | ISRELATEDTO | Nagasaki
Matthew_C_Perry | WASPRESENTAT | Perry_Expedition
Perry_Expedition | OCCURSAT | Uraga
