Japan | ISCONTAINEDIN | East Asia
Japan | ISCONTAINEDIN | Pacific Ocean
Sea Of Japan | ISRELATEDTO | Japan
Sea Of Okhotsk | ISRELATEDTO | Japan
East China Sea | ISRELATEDTO | Japan
Japanese Archipelago | ISPARTOF | Japan
Hokkaido | ISPARTOF | Japanese Archipelago
Honshu | ISPARTOF | Japanese Archipelago
Shikoku | ISPARTOF | Japanese Archipelago
Kyushu | ISPARTOF | Japanese Archipelago
Okinawa | ISPARTOF | Japanese Archipelago
Ryukyu Islands | ISPARTOF | Japan
Okinawa | ISPARTOF | Ryukyu Islands
Nanpō Islands | ISPARTOF | Japan
Tokyo | ISPARTOF | Japan
Nara | ISPARTOF | Japan
Heijō-Kyō | ISRELATEDTO | Nara
Heian-Kyō | ISRELATEDTO | Kyoto
Kyoto | ISPARTOF | Japan
Kamakura | ISPARTOF | Japan
Edo | ISPARTOF | Japan
Edo | ISRELATEDTO | Tokyo
Osaka | ISPARTOF | Japan
Nagasaki | ISPARTOF | Japan
Hiroshima | ISPARTOF | Japan
Uraga | ISPARTOF | Japan
Kanagawa | ISPARTOF | Japan
Lake Biwa | ISPARTOF | Japan
Fukushima Daiichi | ISPARTOF | Japan
Manchuria | ISPARTOF | China
Manchukuo | ISCONTAINEDIN | Manchuria
Korea | ISPARTOF | East Asia
Taiwan | ISPARTOF | East Asia
Karafuto | ISRELATEDTO | Sakhalin
Kurils | ISRELATEDTO | Japan
Pacific Ring Of Fire | ISRELATEDTO | Japan
Japan | ISPARTOF | G7
National Diet | ISCONTAINEDIN | Japan
Imperial Diet | ISCONTAINEDIN | Japan
Privy Council | ISCONTAINEDIN | Japan
Cabinet | ISCONTAINEDIN | Japan
Kamakura Shogunate | ISCONTAINEDIN | Japan
Ashikaga Shogunate | ISCONTAINEDIN | Japan
Tokugawa Shogunate | ISCONTAINEDIN | Japan
Council Of Five Elders | ISCONTAINEDIN | Japan
Hōjō Clan | ISCONTAINEDIN | Japan
Minamoto Clan | ISCONTAINEDIN | Japan
Taira Clan | ISCONTAINEDIN | Japan
Empire Of Japan | ISRELATEDTO | Japan
League Of Nations | ISRELATEDTO | Japan
Nazi Germany | ISPARTOF | Axis Powers
Japan | ISPARTOF | Axis Powers
Allies | ISRELATEDTO | Japan
United Nations | ISRELATEDTO | Japan
International Military Tribunal For The Far East | ISRELATEDTO | Japan
United States Navy | ISCONTAINEDIN | United States
Environment Ministry | ISCONTAINEDIN | Japan
World Risk Index | ISRELATEDTO | Japan
Environmental Performance Index | ISRELATEDTO | Japan
Portuguese Traders | ISRELATEDTO | Japan
United States | ISPARTOF | Allies
Upper Paleolithic | OCCURSAT | Japanese Archipelago
Japanese Paleolithic | OCCURSAT | Japanese Archipelago
Jōmon Period | OCCURSAT | Japan
Yayoi Period | OCCURSAT | Japan
Asuka Period | OCCURSAT | Japan
Nara Period | OCCURSAT | Heijō-Kyō
Heian Period | OCCURSAT | Heian-Kyō
Kamakura Period | OCCURSAT | Kamakura
Muromachi Period | OCCURSAT | Japan
Sengoku Period | OCCURSAT | Japan
Azuchi–Momoyama Period | OCCURSAT | Japan
Edo Period | OCCURSAT | Edo
Meiji Period | OCCURSAT | Japan
Taishō Democracy | OCCURSAT | Japan
Taika Reforms | OCCURSAT | Japan
Taika Reforms | ISRELATEDTO | China
Taihō Code | OCCURSAT | Japan
Jinshin War | OCCURSAT | Japan
Jinshin War | ISRELATEDTO | Taihō Code
Move Of Capital To Heian-Kyō (794) | OCCURSAT | Heian-Kyō
Move Of Capital To Heian-Kyō (794) | ISRELATEDTO | Heian Period
Genpei War | OCCURSAT | Japan
Mongol Invasions Of Japan | OCCURSAT | Japan
Establishment Of Kamakura Shogunate | OCCURSAT | Kamakura
Establishment Of Kamakura Shogunate | ISRELATEDTO | Kamakura Shogunate
