s,p,o
japan,IsRelatedTo,naruhito ascends throne
japan,IsRelatedTo,abdication of emperor akihito
japan,IsRelatedTo,tokyo earthquake
japan,OccursAt,great hanshin earthquake
japan,IsRelatedTo,fukushima nuclear disaster
japan,IsRelatedTo,tohoku earthquake
japan,OccursAt,japan joins un
japan,OccursAt,allied occupation ends
japan,OccursAt,new constitution adoption
japan,OccursAt,japan unconditional surrender
japan,IsRelatedTo,nagasaki atomic bombing
japan,IsRelatedTo,hiroshima atomic bombing
japan,OccursAt,41.8c temperature record
japan,OccursAt,japan inbound tourism record
japan,OccursAt,abe's security policy statement
japan,OccursAt,quad is reformed
japan,OccursAt,free and open indo-pacific announced
japan,OccursAt,cancer accounts 2018 deaths
japan,OccursAt,cancer as top cause
japan,OccursAt,japan surrenders wwii
japan,IsRelatedTo,attack on pearl harbor
japan,IsRelatedTo,"['second sino-japanese war begins', 'invasion of china']"
japan,IsRelatedTo,annexation of korea
japan,IsRelatedTo,fifa women's world cup win
japan,OccursAt,"['2002 fifa world cup japan', '2002 fifa world cup']"
japan,IsRelatedTo,sendai plant restarted
japan,OccursAt,all nuclear plants offline
japan,IsRelatedTo,fukushima daiichi nuclear disaster
japan,IsContainedIn,unesco world heritage list
japan,IsPartOf,global peace index
japan,IsPartOf,quadrilateral security dialogue
japan,IsPartOf,east asia summit
japan,IsPartOf,asean plus three
japan,IsPartOf,apec
japan,IsPartOf,g7
japan,IsPartOf,g4 countries
japan,IsPartOf,government of japan
japan,IsPartOf,jr enterprises
japan,IsPartOf,kintetsu
japan,IsPartOf,seibu railway
japan,IsPartOf,keio corporation
japan,IsPartOf,toyota
japan,IsPartOf,japan aerospace exploration agency
japan,IsContainedIn,international space station
japan,IsPartOf,mitsubishi ufj
japan,IsPartOf,ntt
japan,IsPartOf,aeon
japan,IsPartOf,softbank
japan,IsPartOf,hitachi
japan,IsPartOf,itochu
japan,IsPartOf,nhk
japan,IsPartOf,nippon professional baseball
japan,IsPartOf,japan professional football league
japan,IsPartOf,kamakura shogunate
japan,IsPartOf,ashikaga shogunate
japan,IsPartOf,national and local governments
japan,IsPartOf,imperial court
japan,IsPartOf,mext
japan,IsPartOf,university of tokyo
japan,IsContainedIn,sendai nuclear power plant
japan,IsContainedIn,fukushima daiichi nuclear power plant
japan,IsContainedIn,greater tokyo area
japan,IsContainedIn,tanegashima space center
japan,IsContainedIn,ryukyu kingdom
japan,IsContainedIn,nara
japan,IsContainedIn,heian-kyo
japan,IsContainedIn,kamakura
japan,IsContainedIn,ashikaga
japan,IsContainedIn,hiroshima
japan,IsContainedIn,nagasaki
japan,IsContainedIn,sapporo
japan,IsContainedIn,nagano
japan,IsContainedIn,edo
japan,IsContainedIn,osaka
japan,IsContainedIn,uraga
japan,IsContainedIn,kanagawa
japan,IsContainedIn,heijo-kyo
japan,IsContainedIn,ryukyu islands
japan,IsContainedIn,senkaku islands
japan,IsContainedIn,okinotorishima
japan,IsContainedIn,honshu
japan,IsContainedIn,shikoku
japan,IsContainedIn,pacific coast
japan,IsContainedIn,nanpo islands
japan,IsContainedIn,ryukyu
japan,IsContainedIn,hokkaido
japan,IsContainedIn,kyushu
japan,IsContainedIn,lake biwa
japan,IsRelatedTo,yasunari kawabata
japan,IsRelatedTo,kenzaburo oe
japan,IsRelatedTo,ishiro honda
japan,IsRelatedTo,marco polo
japan,IsRelatedTo,sei shonagon
japan,IsRelatedTo,murasaki shikibu
japan,IsRelatedTo,natsume soseki
japan,IsRelatedTo,mori ogai
japan,IsRelatedTo,ryunosuke akutagawa
japan,IsRelatedTo,junichiro tanizaki
japan,IsRelatedTo,kafu nagai
japan,IsRelatedTo,haruki murakami
japan,IsRelatedTo,kenji nakagami
