s,p,o
yasunari kawabata,WasPresentAt,japan
yasunari kawabata,IsRelatedTo,unesco
yasunari kawabata,IsRelatedTo,japan
japan,WasPresentAt,kenzaburo oe
japan,WasPresentAt,ishiro honda
japan,WasPresentAt,marco polo
japan,WasPresentAt,sei shonagon
japan,WasPresentAt,murasaki shikibu
japan,WasPresentAt,natsume soseki
japan,WasPresentAt,mori ogai
japan,WasPresentAt,ryunosuke akutagawa
japan,WasPresentAt,junichiro tanizaki
japan,WasPresentAt,kafu nagai
japan,WasPresentAt,haruki murakami
japan,WasPresentAt,kenji nakagami
japan,WasPresentAt,kenzo tange
japan,WasPresentAt,go daigo
japan,WasPresentAt,ashikaga takauji
japan,WasPresentAt,oda nobunaga
japan,WasPresentAt,toyotomi hideyoshi
japan,WasPresentAt,toyotomi hideyori
japan,WasPresentAt,tokugawa ieyasu
japan,WasPresentAt,go yozei
japan,WasPresentAt,shotoku prince
japan,WasPresentAt,naka no ooe
japan,WasPresentAt,fujiwara no kamatari
japan,WasPresentAt,oama prince
japan,WasPresentAt,ootomo prince
japan,WasPresentAt,go-daigo emperor
japan,WasPresentAt,sanae takaichi
japan,WasPresentAt,shinzo abe
japan,WasPresentAt,fumio kishida
japan,WasPresentAt,naruhito unspecified
japan,WasPresentAt,akihito unspecified
japan,OccursAt,all nuclear plants offline
japan,OccursAt,revised immigration law enacted
japan,OccursAt,2002 fifa world cup japan
japan,OccursAt,tokugawa unification
japan,OccursAt,american fleet opens japan
japan,OccursAt,imperial restoration
japan,OccursAt,japan surrenders wwii
japan,OccursAt,npb established
japan,OccursAt,jleague established
japan,OccursAt,2002 fifa world cup
japan,OccursAt,2011 women's world cup win
japan,OccursAt,basketball world championship 2006
japan,OccursAt,basketball world championship 2023
japan,OccursAt,2019 rugby world cup
japan,OccursAt,cancer as top cause
japan,OccursAt,cancer accounts 2018 deaths
japan,OccursAt,mongol invasion repelled
japan,OccursAt,mongol invasion repelled
japan,OccursAt,ashikaga defeats go-daigo
japan,OccursAt,onset of sengoku period
japan,OccursAt,death of oda nobunaga
japan,OccursAt,battle of sekigahara
japan,OccursAt,sakoku policy enacted
japan,OccursAt,convention of kanagawa
japan,OccursAt,meiji constitution introduced
japan,OccursAt,japan resigns from league
japan,OccursAt,anti-comintern pact signed
japan,OccursAt,tripartite pact signed
japan,OccursAt,introduction of buddhism
japan,OccursAt,taika reforms
japan,OccursAt,jinshin war
japan,OccursAt,genpei war ends
japan,OccursAt,second mongol invasion repelled
japan,OccursAt,go-daigo defeated
japan,OccursAt,2014 ainu language report
japan,OccursAt,2016 muslim population report
japan,OccursAt,2018 mosques and muslims report
japan,OccursAt,2018 christian population report
japan,OccursAt,2016 integrated schooling start
japan,OccursAt,2021 education gdp report
japan,OccursAt,2023 tertiary education ranking
japan,OccursAt,takaichi becomes prime minister
japan,OccursAt,free and open indo-pacific announced
japan,OccursAt,quad is reformed
japan,OccursAt,abe's security policy statement
japan,OccursAt,kishida orders budget increase
japan,OccursAt,abe responsibilities speech
japan,OccursAt,kishida defense spending instruction
japan,OccursAt,un violent crime statistics report
japan,OccursAt,japan inbound tourism record
japan,OccursAt,41.8c temperature record
japan,OccursAt,takaichi becomes prime minister
japan,OccursAt,japan unconditional surrender
japan,OccursAt,new constitution adoption
japan,OccursAt,allied occupation ends
japan,OccursAt,japan joins un
japan,OccursAt,great hanshin earthquake
japan,IsContainedIn,haneda airport
japan,IsContainedIn,sendai nuclear power plant
japan,IsContainedIn,fukushima daiichi nuclear power plant
japan,IsContainedIn,tokyo
japan,IsContainedIn,greater tokyo area
japan,IsContainedIn,unesco world heritage list
japan,IsContainedIn,tanegashima space center
japan,IsContainedIn,international space station
japan,IsContainedIn,ryukyu kingdom
japan,IsContainedIn,nara
japan,IsContainedIn,heian-kyo
japan,IsContainedIn,kamakura
japan,IsContainedIn,ashikaga
japan,IsContainedIn,hiroshima
japan,IsContainedIn,nagasaki
japan,IsContainedIn,sapporo
japan,IsContainedIn,nagano
japan,IsContainedIn,edo
japan,IsContainedIn,osaka
japan,IsContainedIn,uraga
japan,IsContainedIn,kanagawa
japan,IsContainedIn,heijo-kyo
japan,IsContainedIn,kyoto
japan,IsContainedIn,ryukyu islands
japan,IsContainedIn,university of tokyo
japan,IsContainedIn,senkaku islands
japan,IsContainedIn,okinotorishima
japan,IsContainedIn,honshu
japan,IsContainedIn,chugoku
japan,IsContainedIn,shikoku
japan,IsContainedIn,seto inland sea
japan,IsContainedIn,pacific coast
japan,IsContainedIn,nanpo islands
japan,IsContainedIn,okinawa
japan,IsContainedIn,ryukyu
japan,IsContainedIn,bonin islands
japan,IsContainedIn,fukushima daiichi nuclear disaster
japan,IsContainedIn,hokkaido
japan,IsContainedIn,kyushu
japan,IsContainedIn,lake biwa
unesco,IsRelatedTo,kenzaburo oe
unesco,IsRelatedTo,kenzo tange
unesco,IsRelatedTo,41.8c temperature record
japan,IsRelatedTo,kenzaburo oe
japan,IsRelatedTo,ishiro honda
japan,IsRelatedTo,marco polo
japan,IsRelatedTo,sei shonagon
japan,IsRelatedTo,murasaki shikibu
japan,IsRelatedTo,natsume soseki
japan,IsRelatedTo,mori ogai
japan,IsRelatedTo,ryunosuke akutagawa
japan,IsRelatedTo,junichiro tanizaki
japan,IsRelatedTo,kafu nagai
japan,IsRelatedTo,haruki murakami
japan,IsRelatedTo,kenji nakagami
japan,IsRelatedTo,kenzo tange
japan,IsRelatedTo,jimmu emperor
japan,IsRelatedTo,sanae takaichi
japan,IsRelatedTo,shinzo abe
japan,IsRelatedTo,fumio kishida
japan,IsRelatedTo,naruhito unspecified
japan,IsRelatedTo,akihito unspecified
japan,IsRelatedTo,naruhito ascends throne
japan,IsRelatedTo,abdication of emperor akihito
japan,IsRelatedTo,tokyo earthquake
