s,p,o
lunar mission SELENE launch,OccursAt,tanegashima space center
lunar mission SELENE launch,IsRelatedTo,japan aerospace exploration agency
tanegashima space center,IsContainedIn,japan
lunar mission SELENE crash,OccursAt,japan
lunar mission SELENE crash,IsRelatedTo,japan aerospace exploration agency
japan,OccursAt,space probe Akatsuki orbit
japan,OccursAt,japan opened trade
japan,IsRelatedTo,imperial power restored
japan,IsRelatedTo,korea annexed
japan,IsRelatedTo,china invaded
japan,IsRelatedTo,u.s. attacked
japan,OccursAt,surrendered in war
japan,OccursAt,taika reforms
japan,OccursAt,jinshin war
japan,OccursAt,smallpox epidemic
japan,OccursAt,mongol invasions repel
japan,OccursAt,mongol invasions repel
japan,OccursAt,go-daigo's defeat
japan,OccursAt,sengoku period begins
japan,OccursAt,"['sanae takaichi takes office', ""Takaichi's prime ministership""]"
japan,OccursAt,statement by shinzo abe
japan,OccursAt,"['spending increase instruction', 'japan military budget increase']"
japan,OccursAt,labor force estimation
japan,OccursAt,national debt estimate
japan,OccursAt,international tourism receipts
japan,OccursAt,tourism ranking
japan,IsRelatedTo,surrender of japan
japan,OccursAt,abdication of emperor
japan,OccursAt,naruhito becomes emperor
japan,IsRelatedTo,yasunari kawabata
japan,IsRelatedTo,kenzaburo oe
japan,WasPresentAt,ishiro honda
japan,WasPresentAt,sey shonagon
japan,WasPresentAt,murasaki shikibu
japan,WasPresentAt,natsume soseki
japan,WasPresentAt,mori ogai
japan,WasPresentAt,ryunosuke akutagawa
japan,WasPresentAt,jun'ichiro tanizaki
japan,WasPresentAt,kafu nagai
japan,WasPresentAt,haruki murakami
japan,WasPresentAt,kenji nakagami
japan,WasPresentAt,kenzo tange
japan,WasPresentAt,naka no Oe
japan,WasPresentAt,fujiwara no kamatari
japan,WasPresentAt,takauji ashikaga
japan,IsRelatedTo,sanae takaichi
japan,WasPresentAt,shinzo abe
japan,WasPresentAt,fumio kishida
japan,IsContainedIn,tokyo
japan,IsContainedIn,nara
japan,IsContainedIn,heian-kyo
japan,IsContainedIn,hiroshima
japan,IsContainedIn,nagasaki
japan,IsContainedIn,heijo-kyo
japan,IsContainedIn,kamakura
japan,IsContainedIn,university of tokyo
japan,IsContainedIn,southern kuril islands
japan,IsContainedIn,liancourt rocks
japan,IsContainedIn,senkaku islands
japan,IsContainedIn,okinotorishima
japan,IsContainedIn,honshu
japan,IsContainedIn,nagaski
japan,IsContainedIn,hokkaido
japan,IsContainedIn,shikoku
japan,IsContainedIn,kyushu
japan,IsRelatedTo,1964 summer olympics
japan,IsRelatedTo,1972 winter olympics
japan,IsRelatedTo,1998 winter olympics
japan,IsRelatedTo,2002 fifa world cup
japan,IsRelatedTo,2006 basketball world championship
japan,IsRelatedTo,2020 summer olympics
japan,IsRelatedTo,2019 rugby world cup
japan,IsRelatedTo,2023 basketball world championship
japan,IsRelatedTo,"['pearl harbor attacks', 'pearl harbor attack']"
japan,IsRelatedTo,tohoku earthquake
japan,IsPartOf,government of japan
japan opened trade,IsRelatedTo,tokugawa shogunate
surrendered in war,IsRelatedTo,allied forces
1964 summer olympics,OccursAt,tokyo
tokyo,OccursAt,2002 fifa world cup
tokyo,OccursAt,2006 basketball world championship
tokyo,OccursAt,2020 summer olympics
tokyo,OccursAt,2019 rugby world cup
tokyo,OccursAt,2023 basketball world championship
tokyo,IsContainedIn,haneda airport
tokyo,IsContainedIn,greater tokyo area
1972 winter olympics,OccursAt,sapporo
1998 winter olympics,OccursAt,nagano
repelled mongol invasions,OccursAt,edo
repelled mongol invasions,IsRelatedTo,kamakura shogunate
edo,OccursAt,overthrown by go-daigo
edo,OccursAt,battle of sekigahara
edo,OccursAt,established tokugawa shogunate
edo,OccursAt,convention of kanagawa
edo,OccursAt,meiji constitution
edo,OccursAt,signed anti-comintern pact
edo,WasPresentAt,tokugawa ieyasu
edo,IsContainedIn,taiwan
overthrown by go-daigo,IsRelatedTo,go daigo
overthrown by go-daigo,IsRelatedTo,ashikaga takauji
overthrown by go-daigo,IsRelatedTo,kamakura shogunate
established tokugawa shogunate,IsRelatedTo,tokugawa ieyasu
established tokugawa shogunate,IsRelatedTo,tokugawa shogunate
annexed korea,OccursAt,taiwan
annexed korea,IsRelatedTo,empire of japan
taiwan,IsContainedIn,nagasaki
taiwan,IsContainedIn,manchukuo
taiwan,IsContainedIn,hong kong
invaded manchuria,OccursAt,manchukuo
invaded manchuria,IsRelatedTo,empire of japan
manchukuo,OccursAt,invaded france indochina
signed anti-comintern pact,IsRelatedTo,nazi germany
invaded france indochina,IsRelatedTo,empire of japan
"['pearl harbor attacks', 'pearl harbor attack']",OccursAt,pearl harbor
"['pearl harbor attacks', 'pearl harbor attack']",IsRelatedTo,empire of japan
"['pearl harbor attacks', 'pearl harbor attack']",IsRelatedTo,axis powers
"['pearl harbor attacks', 'pearl harbor attack']",IsRelatedTo,allies
taika reforms,IsRelatedTo,naka no Oe
taika reforms,IsRelatedTo,fujiwara no kamatari
taika reforms,IsRelatedTo,imperial court
