s,p,o
lunar mission SELENE launch,OccursAt,tanegashima space center
lunar mission SELENE launch,IsRelatedTo,japan aerospace exploration agency
tanegashima space center,IsContainedIn,japan
lunar mission SELENE crash,OccursAt,japan
lunar mission SELENE crash,IsRelatedTo,japan aerospace exploration agency
japan,OccursAt,space probe Akatsuki orbit
japan,OccursAt,japan opened trade
japan,OccursAt,imperial power restored
japan,OccursAt,korea annexed
japan,OccursAt,china invaded
japan,OccursAt,u.s. attacked
japan,OccursAt,surrendered in war
japan,OccursAt,taika reforms
japan,OccursAt,jinshin war
japan,OccursAt,smallpox epidemic
japan,OccursAt,mongol invasions repel
japan,OccursAt,mongol invasions repel
japan,OccursAt,go-daigo's defeat
japan,OccursAt,sengoku period begins
japan,OccursAt,sanae takaichi takes office
japan,OccursAt,japan military budget increase
japan,OccursAt,statement by shinzo abe
japan,OccursAt,spending increase instruction
japan,OccursAt,labor force estimation
japan,OccursAt,national debt estimate
japan,OccursAt,international tourism receipts
japan,OccursAt,tourism ranking
japan,OccursAt,surrender of japan
japan,OccursAt,abdication of emperor
japan,OccursAt,naruhito becomes emperor
japan,WasPresentAt,yasunari kawabata
japan,WasPresentAt,kenzaburo oe
japan,WasPresentAt,ishiro honda
japan,WasPresentAt,sey shonagon
japan,WasPresentAt,murasaki shikibu
japan,WasPresentAt,natsume soseki
japan,WasPresentAt,mori ogai
japan,WasPresentAt,ryunosuke akutagawa
japan,WasPresentAt,jun'ichiro tanizaki
japan,WasPresentAt,kafu nagai
japan,WasPresentAt,haruki murakami
japan,WasPresentAt,kenji nakagami
japan,WasPresentAt,kenzo tange
japan,WasPresentAt,naka no Oe
japan,WasPresentAt,fujiwara no kamatari
japan,WasPresentAt,takauji ashikaga
japan,WasPresentAt,sanae takaichi
japan,WasPresentAt,shinzo abe
japan,WasPresentAt,fumio kishida
japan,IsContainedIn,tokyo
japan,IsContainedIn,nara
japan,IsContainedIn,heian-kyo
japan,IsContainedIn,hiroshima
japan,IsContainedIn,nagasaki
japan,IsContainedIn,heijo-kyo
japan,IsContainedIn,kamakura
japan,IsContainedIn,university of tokyo
japan,IsContainedIn,ryukyu islands
japan,IsContainedIn,southern kuril islands
japan,IsContainedIn,liancourt rocks
japan,IsContainedIn,senkaku islands
japan,IsContainedIn,okinotorishima
japan,IsContainedIn,honshu
japan,IsContainedIn,okinawa
japan,IsContainedIn,nagaski
japan,IsContainedIn,hokkaido
japan,IsContainedIn,shikoku
japan,IsContainedIn,kyushu
japan opened trade,IsRelatedTo,tokugawa shogunate
imperial power restored,IsRelatedTo,japan
korea annexed,IsRelatedTo,japan
china invaded,IsRelatedTo,japan
u.s. attacked,IsRelatedTo,japan
surrendered in war,IsRelatedTo,allied forces
1964 summer olympics,OccursAt,tokyo
1964 summer olympics,IsRelatedTo,japan
tokyo,OccursAt,2002 fifa world cup
tokyo,OccursAt,2006 basketball world championship
tokyo,OccursAt,2020 summer olympics
tokyo,OccursAt,2019 rugby world cup
tokyo,OccursAt,2023 basketball world championship
tokyo,IsContainedIn,haneda airport
tokyo,IsContainedIn,tokyo
tokyo,IsContainedIn,greater tokyo area
tokyo,IsContainedIn,sapporo
tokyo,IsContainedIn,nagano
1972 winter olympics,OccursAt,sapporo
1972 winter olympics,IsRelatedTo,japan
1998 winter olympics,OccursAt,nagano
1998 winter olympics,IsRelatedTo,japan
2002 fifa world cup,IsRelatedTo,japan
2006 basketball world championship,IsRelatedTo,japan
2020 summer olympics,IsRelatedTo,japan
2019 rugby world cup,IsRelatedTo,japan
2023 basketball world championship,IsRelatedTo,japan
repelled mongol invasions,OccursAt,edo
repelled mongol invasions,IsRelatedTo,kamakura shogunate
edo,OccursAt,overthrown by go-daigo
edo,OccursAt,battle of sekigahara
edo,OccursAt,established tokugawa shogunate
edo,OccursAt,convention of kanagawa
edo,OccursAt,meiji constitution
edo,OccursAt,signed anti-comintern pact
edo,WasPresentAt,tokugawa ieyasu
edo,IsContainedIn,nagasaki
edo,IsContainedIn,taiwan
overthrown by go-daigo,IsRelatedTo,go daigo
overthrown by go-daigo,IsRelatedTo,ashikaga takauji
overthrown by go-daigo,IsRelatedTo,kamakura shogunate
established tokugawa shogunate,IsRelatedTo,tokugawa ieyasu
established tokugawa shogunate,IsRelatedTo,tokugawa shogunate
annexed korea,OccursAt,taiwan
annexed korea,IsRelatedTo,empire of japan
taiwan,IsContainedIn,nagasaki
taiwan,IsContainedIn,manchukuo
taiwan,IsContainedIn,hong kong
invaded manchuria,OccursAt,manchukuo
invaded manchuria,IsRelatedTo,empire of japan
manchukuo,OccursAt,invaded france indochina
signed anti-comintern pact,IsRelatedTo,nazi germany
invaded france indochina,IsRelatedTo,empire of japan
pearl harbor attacks,OccursAt,pearl harbor
pearl harbor attacks,IsRelatedTo,empire of japan
pearl harbor attacks,IsRelatedTo,axis powers
pearl harbor,OccursAt,pearl harbor attack
taika reforms,IsRelatedTo,naka no Oe
taika reforms,IsRelatedTo,fujiwara no kamatari
