tokyo | IsContainedIn | japan
tokyo | IsContainedIn | greater tokyo area
tokyo | IsContainedIn | haneda airport
japan | IsContainedIn | japanese archipelago
japan | IsContainedIn | heian-kyo
japan | IsContainedIn | kamakura
japan | IsContainedIn | sapporo
japan | IsContainedIn | nagano
japan | IsContainedIn | central japan
japan | IsContainedIn | heijo-kyo
japan | IsContainedIn | university of tokyo
japan | IsContainedIn | karafuto
japan | IsContainedIn | kurils
japan | IsContainedIn | lake biwa
japan | OccursAt | naruhito accession
japan | OccursAt | temperature record 2025
japan | OccursAt | japan surrender
japan | IsRelatedTo | nagasaki bombing
japan | IsRelatedTo | hiroshima bombing
japan | IsRelatedTo | pearl harbor attack
japan | IsRelatedTo | marco polo incident
japan | IsRelatedTo | korea annexation
japan | IsRelatedTo | meiji restoration
japan | OccursAt | perry fleet arrival
japan | OccursAt | battle of sekigahara
japan | OccursAt | immigration law enacted
japan | IsContainedIn | asia
japan | IsPartOf | quadrilateral security dialogue
japan | IsPartOf | east asia summit
japan | IsPartOf | asean plus three
japan | IsPartOf | apec
japan | IsPartOf | g4
japan | IsPartOf | united nations
japan | IsPartOf | league of nations
japan | IsPartOf | allies
japan | IsPartOf | oecd
japan | IsPartOf | axis powers
japan | IsPartOf | g7
japan | IsPartOf | government of japan
japan | IsPartOf | japan aerospace exploration agency
japan | IsPartOf | nhk
japan | IsPartOf | nippon professional baseball (npb)
japan | IsPartOf | japan professional football league (j.league)
japan | IsPartOf | kamakura shogunate
japan | IsPartOf | ashikaga shogunate
japan | IsPartOf | tokugawa shogunate
japan | IsPartOf | korea
japan | IsPartOf | taiwan
japan | IsPartOf | yamato
japan | IsPartOf | imperial court of japan
japan | IsPartOf | ritsuryo state
japan | IsPartOf | taira clan
japan | IsPartOf | minamoto clan
japan | IsPartOf | hojo clan
japan | IsPartOf | mext
japan | OccursAt | meiji constitution
japan | IsRelatedTo | yasunari kawabata
japan | IsRelatedTo | kenzaburo oe
japan | IsRelatedTo | ishiro honda
japan | IsRelatedTo | marco polo
japan | IsRelatedTo | kenzo tange
japan | IsRelatedTo | sei shonagon
japan | IsRelatedTo | murasaki shikibu
japan | IsRelatedTo | soseki natsume
japan | IsRelatedTo | ogai mori
japan | IsRelatedTo | ryunosuke akutagawa
japan | IsRelatedTo | junichiro tanizaki
japan | IsRelatedTo | kafu nagai
japan | IsRelatedTo | haruki murakami
japan | IsRelatedTo | kenji nakagami
japan | WasPresentAt | takauji ashikaga
japan | IsRelatedTo | matthew perry
japan | WasPresentAt | kamatari fujiwara
japan | IsRelatedTo | sanae takaichi
japan | IsRelatedTo | shinzo abe
japan | IsRelatedTo | fumio kishida
moon | OccursAt | selene lunar orbit
moon | OccursAt | selene moon impact
japanese archipelago | IsContainedIn | ryukyu islands
japanese archipelago | IsContainedIn | honshu
