s,p,o
japan,IsContainedIn,asia
japan,IsContainedIn,tokyo
japan,IsContainedIn,japanese archipelago
japan,IsContainedIn,heian-kyo
japan,IsContainedIn,kamakura
japan,IsContainedIn,sapporo
japan,IsContainedIn,nagano
japan,IsContainedIn,central japan
japan,IsContainedIn,heijo-kyo
japan,IsContainedIn,university of tokyo
japan,IsContainedIn,honshu
japan,IsContainedIn,shikoku
japan,IsContainedIn,okinawa
japan,IsContainedIn,karafuto
japan,IsContainedIn,kurils
japan,IsContainedIn,hokkaido
japan,IsContainedIn,kyushu
japan,IsContainedIn,lake biwa
japan,OccursAt,immigration law enacted
japan,OccursAt,battle of sekigahara
japan,OccursAt,perry fleet arrival
japan,OccursAt,japan surrender
japan,OccursAt,meiji constitution
japan,OccursAt,temperature record 2025
japan,OccursAt,naruhito accession
japan,WasPresentAt,takauji ashikaga
japan,WasPresentAt,kamatari fujiwara
japan,WasPresentAt,sanae takaichi
japan,WasPresentAt,shinzo abe
japan,WasPresentAt,fumio kishida
tokyo,IsContainedIn,greater tokyo area
tokyo,IsContainedIn,haneda airport
south korea,IsContainedIn,liancourt rocks
china,IsContainedIn,hong kong
china,OccursAt,marco polo incident
united states,OccursAt,pearl harbor attack
moon,OccursAt,selene lunar orbit
moon,OccursAt,selene moon impact
japanese archipelago,IsContainedIn,ryukyu islands
japanese archipelago,IsContainedIn,honshu
japanese archipelago,IsContainedIn,shikoku
japanese archipelago,IsContainedIn,nanpo islands
japanese archipelago,IsContainedIn,okinawa
japanese archipelago,IsContainedIn,hokkaido
japanese archipelago,IsContainedIn,kyushu
heian-kyo,OccursAt,meiji restoration
kamakura,WasPresentAt,yoritomo minamoto
korea,OccursAt,korea annexation
hiroshima,OccursAt,hiroshima bombing
nagasaki,OccursAt,nagasaki bombing
edo,WasPresentAt,ieyasu tokugawa
sekigahara,WasPresentAt,ieyasu tokugawa
uraga,WasPresentAt,matthew perry
kanagawa,WasPresentAt,matthew perry
pearl harbor,OccursAt,pearl harbor attack
malaya,OccursAt,malaya attack
singapore,OccursAt,singapore attack
hong kong,OccursAt,hong kong attack
ryukyu islands,IsContainedIn,okinawa
russia,IsContainedIn,southern kuril islands
immigration law enacted,IsRelatedTo,japan
immigration law enacted,IsRelatedTo,government of japan
selene lunar orbit,IsRelatedTo,japan aerospace exploration agency
selene moon impact,IsRelatedTo,japan aerospace exploration agency
battle of sekigahara,IsRelatedTo,japan
battle of sekigahara,IsRelatedTo,tokugawa shogunate
perry fleet arrival,IsRelatedTo,japan
perry fleet arrival,IsRelatedTo,united states
perry fleet arrival,IsRelatedTo,tokugawa shogunate
meiji restoration,IsRelatedTo,japan
meiji restoration,IsRelatedTo,tokugawa shogunate
korea annexation,IsRelatedTo,japan
korea annexation,IsRelatedTo,korea
marco polo incident,IsRelatedTo,japan
marco polo incident,IsRelatedTo,china
pearl harbor attack,IsRelatedTo,japan
pearl harbor attack,IsRelatedTo,united states
hiroshima bombing,IsRelatedTo,japan
hiroshima bombing,IsRelatedTo,united states
