S:croatia joins erm ii | P:is related to | O:croatia
S:croatia joins erm ii | P:occurs at | O:erm ii
S:croatia | P:is related to | O:croatia joins nato
S:croatia | P:occurs at | O:2009 men's handball world championship
S:croatia | P:occurs at | O:2007 world table tennis championships
S:croatia | P:occurs at | O:2000 world rowing championships
S:croatia | P:occurs at | O:1987 summer universiade
S:croatia | P:occurs at | O:1979 mediterranean games
S:croatia | P:occurs at | O:2000 european handball championship
S:croatia | P:occurs at | O:2018 european handball championship
S:croatia | P:occurs at | O:2025 world men's handball championship
S:croatia | P:occurs at | O:['hamburg-zagreb flight launch', 'edmu agreement signing', 'first airbus a220 delivery']
S:croatia | P:is related to | O:branimir international recognition
S:croatia | P:is related to | O:tomislav crowned king
S:croatia | P:occurs at | O:croatian parliament elected ferdinand
S:croatia | P:occurs at | O:axis invasion of yugoslavia
S:croatia | P:is related to | O:removal of croats 1991
S:croatia | P:is related to | O:tourist visits report
S:croatia | P:is related to | O:['water quality ranking', 'corruption perceptions index report']
S:croatia | P:is related to | O:world tourist destination ranking
S:croatia | P:is related to | O:['honeymoon destination report', 'solo travel index ranking']
S:croatia | P:is related to | O:split of croatia
S:croatia | P:occurs at | O:croatian pragmatic sanction
S:croatia | P:is related to | O:croatian–hungarian settlement
S:croatia | P:is related to | O:abolition of military frontier
S:croatia | P:is related to | O:['conscription abolition', 'compulsory conscription abolished']
S:croatia | P:is related to | O:['conscription reintroduction announcement', 'compulsory conscription reintroduced']
S:croatia | P:occurs at | O:military exports in 2020
S:croatia | P:occurs at | O:peacekeeping troops abroad
S:croatia | P:occurs at | O:county border revision
S:croatia | P:is related to | O:['unemployment record low', 'record low unemployment']
S:croatia | P:is related to | O:['unemployment record high', 'all-time high unemployment']
S:croatia | P:occurs at | O:april 2024 salary report
S:croatia | P:occurs at | O:['croatia 15th peaceful', "2024 men's european water polo championship", 'eib railway support']
S:croatia | P:occurs at | O:2007 education law passed
S:croatia | P:occurs at | O:nationwide leaving exams start
S:croatia | P:is related to | O:erdut agreement signed
S:croatia | P:is related to | O:croatia joins partnership for peace
S:croatia | P:is related to | O:croatia joins wto
S:croatia | P:is related to | O:stabilisation and association agreement signed
S:croatia | P:is related to | O:anti-government protests peak
S:croatia | P:occurs at | O:parliament dissolved
S:croatia | P:is related to | O:parliamentary elections
S:croatia | P:is related to | O:eu accession negotiations completed
S:croatia | P:is related to | O:eu accession treaty signed
S:croatia | P:is related to | O:eu membership referendum
S:croatia | P:is related to | O:croatia joins eu
S:croatia | P:is related to | O:european migrant crisis
S:croatia | P:is related to | O:plenkovic becomes prime minister
S:croatia | P:is related to | O:presidential election
S:croatia | P:is related to | O:oecd accession negotiations
S:croatia | P:is related to | O:['adoption of euro', 'croatia joins schengen and eurozone']
S:croatia | P:occurs at | O:riva eurovision victory
S:croatia | P:occurs at | O:croatia's eurovision debut
S:croatia | P:occurs at | O:croatia fourth place eurovision
S:croatia | P:occurs at | O:croatia fourth place eurovision
S:croatia | P:occurs at | O:croatia second place eurovision
S:croatia | P:occurs at | O:slijepcevic oscar nomination
S:croatia | P:occurs at | O:state anti-fascist council founding
S:croatia | P:occurs at | O:declaration on croatian language
S:croatia | P:occurs at | O:croatian spring
S:croatia | P:occurs at | O:first croatian multiparty elections
S:croatia | P:is related to | O:['croatia declares independence', 'croatia declared independence']
S:croatia | P:is related to | O:croatia full independence effect
S:croatia | P:occurs at | O:serb paramilitary attacks
S:croatia | P:occurs at | O:mass expulsion of croats
S:croatia | P:occurs at | O:croatia gains diplomatic recognition
S:croatia | P:occurs at | O:croatia war decisive victory
S:croatia | P:occurs at | O:untaes mission concludes
S:croatia | P:occurs at | O:croatian independence declaration
S:croatia | P:occurs at | O:croatian parliament abolition
S:croatia | P:is related to | O:highest temperature recorded
S:croatia | P:is related to | O:lowest temperature recorded
S:croatia | P:is related to | O:joining schengen area
S:croatia | P:is related to | O:croatia assumes unsc seat
S:croatia | P:is related to | O:parliament amends constitution
S:croatia | P:is related to | O:parliament amends constitution
S:croatia | P:is related to | O:untaes mission concluded
