S:franjo bucar | P:was present at | O:croatia
S:franjo bucar | P:is related to | O:national sport programme
S:franjo bucar | P:is related to | O:national sport programme
S:franjo bucar | P:is related to | O:croatian olympic committee
S:franjo bucar | P:is related to | O:croatian sports association
S:franjo bucar | P:is related to | O:hrvatski sokol
S:croatia | P:is related to | O:branimir unspecified
S:croatia | P:is related to | O:tomislav unspecified
S:croatia | P:is related to | O:ferdinand i of austria
S:croatia | P:is related to | O:trpimir i of croatia
S:croatia | P:was present at | O:petar kresimir iv
S:croatia | P:is related to | O:dmitar zvonimir
S:croatia | P:was present at | O:ladislaus i
S:croatia | P:was present at | O:louis ii
S:croatia | P:was present at | O:charles iii
S:croatia | P:was present at | O:maria theresa
S:croatia | P:was present at | O:josip jelacic
S:croatia | P:is related to | O:ivo josipovic
S:croatia | P:is related to | O:andrej plenkovic
S:croatia | P:is related to | O:zoran milanovic
S:croatia | P:was present at | O:vladimir zerjavic
S:croatia | P:was present at | O:bogoljub kocovic
S:croatia | P:was present at | O:franjo tuđman
S:croatia | P:was present at | O:josip juraj strossmayer
S:croatia | P:was present at | O:vlaho bukovac
S:croatia | P:was present at | O:ivan mestrovic
S:croatia | P:was present at | O:ivan generalic
S:croatia | P:was present at | O:marko marulic
S:croatia | P:was present at | O:marin drzic
S:croatia | P:was present at | O:ivan gundulic
S:croatia | P:was present at | O:ivan mazuranic
S:croatia | P:was present at | O:august senoa
S:croatia | P:was present at | O:ivana brlic-mazuranic
S:croatia | P:was present at | O:marija juric zagorka
S:croatia | P:was present at | O:antun gustav Matos
S:croatia | P:was present at | O:antun branko simic
S:croatia | P:was present at | O:miroslav krleza
S:croatia | P:was present at | O:tin ujevic
S:croatia | P:was present at | O:ivo andric
S:croatia | P:was present at | O:vatroslav lisinski
S:croatia | P:was present at | O:ivan zajc
S:croatia | P:was present at | O:ivo pogorelic
S:croatia | P:occurs at | O:joined erp II
S:croatia | P:occurs at | O:['abolished conscription', 'abolishment of compulsory conscription']
S:croatia | P:occurs at | O:['reintroduced conscription', 'introduction of new conscription', "2025 World Men's Handball Championship"]
S:croatia | P:occurs at | O:national sport programme
S:croatia | P:occurs at | O:1998 World Cup bronze
S:croatia | P:occurs at | O:2018 World Cup silver
S:croatia | P:occurs at | O:2022 World Cup bronze
S:croatia | P:occurs at | O:2020 Summer Olympics gold
S:croatia | P:occurs at | O:2009 World Men's Handball Championship
S:croatia | P:occurs at | O:2007 World Table Tennis Championships
