S:zagreb | P:is contained in | O:croatia
S:zagreb | P:is contained in | O:zagreb county
S:zagreb | P:is contained in | O:banski dvori
S:zagreb | P:is contained in | O:rudjer boskovic institute
S:zagreb | P:is contained in | O:croatian academy of sciences and arts
S:zagreb | P:is contained in | O:zagreb fair
S:zagreb | P:is contained in | O:franjo tudman airport
S:zagreb | P:occurs at | O:hamburg zagreb service
S:croatia | P:is contained in | O:plitvice lakes national park
S:croatia | P:is contained in | O:zrmanja canyon
S:croatia | P:is contained in | O:krka canyon
S:croatia | P:is contained in | O:drava
S:croatia | P:is contained in | O:adriatic islands
S:croatia | P:is contained in | O:dinaric mountains
S:croatia | P:is contained in | O:pannonian mixed forests
S:croatia | P:is contained in | O:illyrian deciduous forests
S:croatia | P:is contained in | O:istrian
S:croatia | P:is contained in | O:krk
S:croatia | P:is contained in | O:dalmatia
S:croatia | P:is contained in | O:slavonia
S:croatia | P:is contained in | O:dubrovnik
S:croatia | P:is contained in | O:rijeka
S:croatia | P:is contained in | O:osijek
S:croatia | P:is contained in | O:zadar
S:croatia | P:is contained in | O:lastovo
S:croatia | P:is contained in | O:peljesac bridge
S:croatia | P:is contained in | O:trogir
S:croatia | P:is contained in | O:benkovac
S:croatia | P:is contained in | O:bijaci
S:croatia | P:is contained in | O:vis
S:croatia | P:is contained in | O:hvar
S:croatia | P:is contained in | O:korcula
S:croatia | P:is contained in | O:sava
S:croatia | P:is contained in | O:university of zadar
S:croatia | P:is contained in | O:dinara peak
S:croatia | P:is contained in | O:cres
S:croatia | P:is contained in | O:hrvatsko zagorje
S:croatia | P:is contained in | O:dinaric alps
S:croatia | P:is contained in | O:plitvice lakes
S:croatia | P:is contained in | O:bisevo
S:croatia | P:is contained in | O:svetac
S:croatia | P:is contained in | O:risnjak
S:croatia | P:is contained in | O:sneznik
S:croatia | P:is contained in | O:dinaric mountains mixed forests
S:croatia | P:is related to | O:andrej plenkovic
S:croatia | P:is related to | O:ivo josipovic
S:croatia | P:is related to | O:zoran milanovic
S:croatia | P:was present at | O:vatroslav lisinski
S:croatia | P:is contained in | O:sabor
S:croatia | P:is related to | O:independence recognized
S:croatia | P:occurs at | O:independence declared
S:croatia | P:occurs at | O:conscription abolished
S:croatia | P:occurs at | O:conscription reintroduced 2025
S:croatia | P:is related to | O:global peace index 2024
S:croatia | P:occurs at | O:counties abolished 1920s
S:croatia | P:occurs at | O:counties reintroduced 1992
S:croatia | P:is related to | O:eight counties 1918
S:croatia | P:occurs at | O:counties borders revised 2006
S:croatia | P:occurs at | O:conscription duration reduced 2001
S:croatia | P:occurs at | O:eu referendum
S:croatia | P:occurs at | O:constitution adopted
S:croatia | P:occurs at | O:record low temperature
S:croatia | P:occurs at | O:record high temperature
S:croatia | P:occurs at | O:croatia independence
S:croatia | P:is part of | O:european union
S:croatia | P:is part of | O:eurozone
S:croatia | P:is part of | O:schengen area
S:croatia | P:is part of | O:nato
S:croatia | P:is part of | O:united nations
S:croatia | P:is part of | O:council of europe
S:croatia | P:is part of | O:organization for security and cooperation in europe
S:croatia | P:is part of | O:world trade organization
S:croatia | P:is part of | O:union for the mediterranean
S:croatia | P:is part of | O:partnership for peace
S:croatia | P:is part of | O:socialist federal republic of yugoslavia
S:croatia | P:is part of | O:croatian military
S:croatia | P:is contained in | O:city of zagreb
S:croatia | P:occurs at | O:join erm ii
S:croatia | P:occurs at | O:1991 croatia displacements
S:croatia | P:occurs at | O:un report 2013
S:croatia | P:occurs at | O:debt to gdp 2020
S:croatia | P:occurs at | O:trade 2018
S:croatia | P:occurs at | O:motorway mileage 2020
S:croatia | P:occurs at | O:tourist visits 2017
S:croatia | P:occurs at | O:['wedding trends 2023', 'bounce index 2023']
S:croatia | P:occurs at | O:['stays 2019', 'tourism 2019 income']
S:croatia | P:occurs at | O:territorial split
S:croatia | P:occurs at | O:parliament pragmatic sanction
S:croatia | P:occurs at | O:jelacic defeats hungarians
S:croatia | P:occurs at | O:croatia hungary settlement
S:croatia | P:occurs at | O:frontier return croatia
S:croatia | P:occurs at | O:trpimir charter
S:croatia | P:occurs at | O:duchy croatia attested
S:croatia | P:occurs at | O:christianisation begins croats
S:croatia | P:occurs at | O:christianisation completes croats
S:croatia | P:occurs at | O:petar kresimir iv reign
S:croatia | P:occurs at | O:dmitar zvonimir reign
S:croatia | P:occurs at | O:stjepan ii death
S:croatia | P:occurs at | O:arms exports 2020
