S:Republic Of Croatia | P:is related to | O:Croatia
S:Croatia | P:is contained in | O:Central Europe
S:Croatia | P:is contained in | O:Southeast Europe
S:Croatia | P:is related to | O:Adriatic Sea
S:Croatia | P:is related to | O:Slovenia
S:Croatia | P:is related to | O:Hungary
S:Croatia | P:is related to | O:Serbia
S:Croatia | P:is related to | O:Bosnia And Herzegovina
S:Croatia | P:is related to | O:Montenegro
S:Croatia | P:is related to | O:Italy
S:Croatia | P:is contained in | O:Zagreb
S:Zagreb | P:is contained in | O:Croatia
S:Croatia | P:is related to | O:Split
S:Croatia | P:is related to | O:Rijeka
S:Croatia | P:is related to | O:Osijek
S:Duke Branimir | P:is related to | O:Croatia
S:Duke Branimir | P:is related to | O:Pope John Viii
S:Tomislav | P:is related to | O:Croatia
S:Tomislav | P:is related to | O:Pope John X
S:Trpimirović Dynasty | P:is related to | O:Croatia
S:Ferdinand I Of Austria | P:is related to | O:Croatia
S:State Of Slovenes, Croats, And Serbs | P:occurs at | O:Zagreb
S:State Of Slovenes, Croats, And Serbs | P:is part of | O:Kingdom Of Yugoslavia
S:State Of Slovenes, Croats, And Serbs | P:is related to | O:Habsburg Empire
S:Independent State Of Croatia | P:is part of | O:Croatia
S:Socialist Republic Of Croatia | P:is part of | O:Socialist Federal Republic Of Yugoslavia
S:Croatia | P:is related to | O:European Union
S:Croatia | P:is related to | O:Eurozone
S:Croatia | P:is related to | O:Schengen Area
S:Croatia | P:is related to | O:Nato
S:Croatia | P:is related to | O:United Nations
S:Croatia | P:is related to | O:Council Of Europe
S:Croatia | P:is related to | O:Osce
S:Croatia | P:is related to | O:World Trade Organization
S:Croatia | P:is related to | O:Union For The Mediterranean
S:Croatia | P:is related to | O:Oecd
S:Croatia | P:is related to | O:International Security Assistance Force
S:Croatia | P:is related to | O:United Nations Security Council
S:Croatia | P:is related to | O:Service Sector
S:Croatia | P:is related to | O:Industrial Sector
S:Croatia | P:is related to | O:Agriculture
S:Tourism | P:is related to | O:Croatia
S:Pan-European Corridors | P:is related to | O:Croatia
S:Krk Island | P:is contained in | O:Croatia
S:Lng Hrvatska | P:is contained in | O:Krk Island
S:Krapina | P:is contained in | O:Croatia
S:Baden Culture | P:occurs at | O:Croatia
S:Starčevo Culture | P:occurs at | O:Croatia
S:Vučedol Culture | P:occurs at | O:Croatia
S:Hallstatt Culture | P:occurs at | O:Croatia
S:La Tène Culture | P:occurs at | O:Croatia
S:Illyrians | P:was present at | O:Croatia
S:Liburnians | P:was present at | O:Croatia
S:Hvar | P:is contained in | O:Croatia
S:Korčula | P:is contained in | O:Croatia
S:Vis | P:is contained in | O:Croatia
S:Roman Empire | P:is related to | O:Croatia
S:Emperor Diocletian | P:is related to | O:Split
S:Julius Nepos | P:was present at | O:Split
S:Dubrovnik | P:is contained in | O:Croatia
S:Dubrovnik | P:is related to | O:Epidaurum
S:White Croats | P:was present at | O:White Croatia
S:White Croats | P:was present at | O:Croatia
S:Sarmatians | P:was present at | O:Croatia
S:Tanais Tablets | P:is related to | O:Sarmatians
S:Constantine Vii | P:is related to | O:Byzantine Empire
S:Dalmatia | P:is contained in | O:Croatia
S:Avars | P:was present at | O:Croatia
S:Borna | P:is related to | O:Duchy Of Croatia
S:Duchy Of Croatia | P:occurs at | O:Croatia
S:Einhard | P:is related to | O:Duchy Of Croatia
S:Principality Of Lower Pannonia | P:is related to | O:Drava River
S:Principality Of Lower Pannonia | P:is related to | O:Sava River
S:Ljudevit | P:is related to | O:Principality Of Lower Pannonia
S:Ljudevit | P:is related to | O:Sisak
S:Porga Of Croatia | P:is related to | O:Croatia
S:Mislav | P:is related to | O:Croatia
