S:Croatia | P:is related to | O:Adriatic Sea
S:Croatia | P:is related to | O:Slovenia
S:Croatia | P:is related to | O:Hungary
S:Croatia | P:is related to | O:Serbia
S:Croatia | P:is related to | O:Bosnia And Herzegovina
S:Croatia | P:is related to | O:Montenegro
S:Croatia | P:is related to | O:Italy
S:Zagreb | P:is part of | O:Croatia
S:Split | P:is part of | O:Croatia
S:Rijeka | P:is part of | O:Croatia
S:Osijek | P:is part of | O:Croatia
S:Dubrovnik | P:is part of | O:Croatia
S:Cetin | P:is part of | O:Croatia
S:Benkovac | P:is part of | O:Croatia
S:Trogir | P:is part of | O:Croatia
S:Hvar | P:is part of | O:Croatia
S:Korčula | P:is part of | O:Croatia
S:Vis | P:is part of | O:Croatia
S:Krk Island | P:is part of | O:Croatia
S:Branimir | P:is related to | O:First International Recognition Of Croatia (879)
S:First International Recognition Of Croatia (879) | P:is related to | O:Croatia
S:Tomislav | P:is related to | O:Tomislav Becomes King (925)
S:Tomislav | P:is related to | O:Croatia
S:Petar Krešimir Iv | P:is related to | O:Croatia
S:Dmitar Zvonimir | P:is related to | O:Croatia
S:Coloman | P:is related to | O:Croatia
S:Ladislaus I Of Hungary | P:is related to | O:Croatia
S:Ferdinand I Of Austria | P:is related to | O:Croatia
S:Borna | P:is related to | O:Croatia
S:Ljudevit | P:is related to | O:Croatia
S:Mislav | P:is related to | O:Croatia
S:Trpimir I | P:is related to | O:Croatia
S:Branimir | P:is related to | O:First International Recognition Of Croatia (879)
S:Porga | P:is related to | O:Croatia
S:Constantine Vii | P:is related to | O:Croatia
S:Julius Nepos | P:is related to | O:Croatia
S:Stjepan Ii | P:is related to | O:Croatia
S:Sabor | P:is part of | O:Croatia
S:Republic Of Venice | P:is related to | O:Croatia
S:Ottoman Empire | P:is related to | O:Croatia
S:Habsburg Empire | P:is related to | O:Croatia
S:Kingdom Of Yugoslavia | P:is related to | O:Croatia
S:Independent State Of Croatia | P:is related to | O:Croatia
S:Socialist Republic Of Croatia | P:is related to | O:Croatia
S:Socialist Federal Republic Of Yugoslavia | P:is related to | O:Croatia
S:European Union | P:is related to | O:Croatia
S:Eurozone | P:is related to | O:Croatia
S:Schengen Area | P:is related to | O:Croatia
S:Nato | P:is related to | O:Croatia
S:United Nations | P:is related to | O:Croatia
S:Council Of Europe | P:is related to | O:Croatia
S:Osce | P:is related to | O:Croatia
S:World Trade Organization | P:is related to | O:Croatia
S:Union For The Mediterranean | P:is related to | O:Croatia
S:Oecd | P:is related to | O:Croatia
S:Un Security Council | P:is related to | O:Croatia
S:First International Recognition Of Croatia (879) | P:is related to | O:Croatia
S:Tomislav Becomes King (925) | P:is related to | O:Tomislav
S:Tomislav Becomes King (925) | P:is related to | O:Croatia
S:Petar Krešimir Iv | P:is related to | O:Croatia
S:Dmitar Zvonimir | P:is related to | O:Croatia
S:Coloman | P:is related to | O:Croatia
S:Ladislaus I Of Hungary | P:is related to | O:Croatia
S:Ferdinand I Of Austria | P:is related to | O:1527 Cetin Meeting
S:1527 Cetin Meeting | P:occurs at | O:Cetin
S:1527 Cetin Meeting | P:is related to | O:Croatia
S:1527 Cetin Meeting | P:is related to | O:Ferdinand I Of Austria
S:Croatia Declares Independence (1991) | P:is related to | O:Croatia
S:Croatia Declares Independence (1991) | P:is related to | O:War Of Independence (1991-1995)
S:Un Security Council Seat (2008-2009) | P:is related to | O:Un Security Council
S:Un Security Council Seat (2008-2009) | P:is related to | O:Croatia
S:Un Security Council Seat (2008-2009) | P:is related to | O:United Nations
S:Battle_Of_Sisak | P:occurs at | O:Croatia
S:Croatian_Military_Frontier | P:is contained in | O:Croatia
S:Croatian_Military_Frontier | P:is contained in | O:Habsburg_Monarchy
S:Slavonia | P:is related to | O:Croatia
S:Western_Bosnia | P:is related to | O:Croatia
S:Dalmatia | P:is related to | O:Croatia
S:Fifth_Ottoman_Venetian_War | P:is related to | O:Dalmatia
S:Seventh_Ottoman_Venetian_War | P:is related to | O:Dalmatia
S:Pragmatic_Sanction_1712 | P:is related to | O:Croatian_Parliament
S:King_Charles_Iii | P:is related to | O:Pragmatic_Sanction_1712
S:Croatian_Parliament | P:is related to | O:Pragmatic_Sanction_1712
S:Maria_Theresa | P:was present at | O:Compulsory_Education
S:Compulsory_Education | P:occurs at | O:Croatia
S:Illyrian_Provinces | P:is contained in | O:First_French_Empire
S:Ragusan_Republic | P:is related to | O:First_French_Empire
S:Venetian_Republic | P:is related to | O:First_French_Empire
S:Royal_Navy | P:was present at | O:Battle_Of_Vis
