S:Croatia | P:is contained in | O:Europe
S:Croatia | P:is contained in | O:Central Europe
S:Croatia | P:is contained in | O:Southeast Europe
S:Croatia | P:is related to | O:Adriatic Sea
S:Zagreb | P:is contained in | O:Croatia
S:Split | P:is contained in | O:Croatia
S:Rijeka | P:is contained in | O:Croatia
S:Osijek | P:is contained in | O:Croatia
S:Croatia | P:is related to | O:Slovenia
S:Croatia | P:is related to | O:Hungary
S:Croatia | P:is related to | O:Serbia
S:Croatia | P:is related to | O:Bosnia And Herzegovina
S:Croatia | P:is related to | O:Montenegro
S:Croatia | P:is related to | O:Italy
S:Hvar | P:is contained in | O:Croatia
S:Korčula | P:is contained in | O:Croatia
S:Vis | P:is contained in | O:Croatia
S:Krk Island | P:is contained in | O:Croatia
S:Dubrovnik | P:is contained in | O:Croatia
S:Sisak | P:is contained in | O:Croatia
S:Cetin | P:is contained in | O:Croatia
S:Krapina | P:is contained in | O:Croatia
S:Dalmatia | P:is contained in | O:Croatia
S:Slavonia | P:is contained in | O:Croatia
S:Croatian Littoral | P:is part of | O:Kingdom Of Croatia
S:Croatia | P:is part of | O:European Union
S:Croatia | P:is part of | O:Eurozone
S:Croatia | P:is part of | O:Schengen Area
S:Croatia | P:is part of | O:Nato
S:Croatia | P:is part of | O:United Nations
S:Croatia | P:is part of | O:Council Of Europe
S:Croatia | P:is part of | O:Osce
S:Croatia | P:is part of | O:World Trade Organization
S:Croatia | P:is part of | O:Union For The Mediterranean
S:Croatia | P:is related to | O:Oecd
S:Croatia | P:is related to | O:International Security Assistance Force
S:United Nations Security Council 2008–2009 Croatian Membership | P:occurs at | O:United Nations
S:Croatia | P:was present at | O:United Nations Security Council 2008–2009 Croatian Membership
S:Lng Hrvatska | P:is related to | O:Krk Island
S:Croatia | P:is related to | O:Lng Hrvatska
S:Lng Hrvatska | P:is related to | O:Europe
S:Croats | P:is related to | O:Croatia
S:Croatia | P:is part of | O:Roman Illyria
S:Croatia | P:is part of | O:Roman Empire
S:Papal Recognition Of Branimir On 7 June 879 | P:occurs at | O:Croatia
S:Duke Branimir | P:was present at | O:Papal Recognition Of Branimir On 7 June 879
S:Pope John Viii | P:was present at | O:Papal Recognition Of Branimir On 7 June 879
S:Coronation Of Tomislav 925 | P:occurs at | O:Croatia
S:Tomislav | P:was present at | O:Coronation Of Tomislav 925
S:Personal Union With Hungary 1102 | P:occurs at | O:Croatia
S:Coloman | P:was present at | O:Personal Union With Hungary 1102
S:Kingdom Of Hungary | P:was present at | O:Personal Union With Hungary 1102
S:Kingdom Of Croatia | P:was present at | O:Personal Union With Hungary 1102
S:Election Of Ferdinand I 1527 | P:occurs at | O:Cetin
S:Croatian Parliament | P:was present at | O:Election Of Ferdinand I 1527
S:Ferdinand I Of Austria | P:was present at | O:Election Of Ferdinand I 1527
S:House Of Habsburg | P:was present at | O:Election Of Ferdinand I 1527
S:Proclamation Of State Of Slovenes, Croats, And Serbs In Zagreb 1918 | P:occurs at | O:Zagreb
S:State Of Slovenes, Croats, And Serbs | P:was present at | O:Proclamation Of State Of Slovenes, Croats, And Serbs In Zagreb 1918
S:Proclamation Of State Of Slovenes, Croats, And Serbs In Zagreb 1918 | P:is related to | O:Habsburg Empire
S:Merger Into Kingdom Of Yugoslavia December 1918 | P:was present at | O:State Of Slovenes, Croats, And Serbs
S:Merger Into Kingdom Of Yugoslavia December 1918 | P:was present at | O:Kingdom Of Yugoslavia
S:Axis Invasion Of Yugoslavia April 1941 | P:occurs at | O:Kingdom Of Yugoslavia
S:Nazi Germany | P:was present at | O:Axis Invasion Of Yugoslavia April 1941
