S:Japan | P:is contained in | O:East Asia
S:Japan | P:is related to | O:Pacific Ocean
S:Japan | P:is related to | O:Sea Of Japan
S:Japan | P:is related to | O:Sea Of Okhotsk
S:Japan | P:is related to | O:East China Sea
S:Japan | P:is contained in | O:Tokyo
S:Japan | P:is contained in | O:Japanese Archipelago
S:Japan | P:is contained in | O:47 Administrative Prefectures
S:Japan | P:is contained in | O:Eight Traditional Regions
S:Japan | P:is related to | O:World War Ii
S:Japan | P:is related to | O:U.S.
S:Japan | P:is related to | O:Meiji Period
S:Japan | P:is related to | O:Korea
S:Japan | P:is related to | O:China
S:Japan | P:is related to | O:G7
S:Japan | P:is related to | O:Buddhism
S:Japan | P:is contained in | O:National Diet
S:World War Ii | P:is related to | O:U.S.
S:U.S. | P:is related to | O:Hiroshima
S:U.S. | P:is related to | O:Nagasaki
S:Japan | P:is related to | O:Japanese Paleolithic
S:Japanese Paleolithic | P:is contained in | O:Upper Paleolithic
S:Nara | P:is related to | O:Heian-Kyō
S:Shōgun | P:is related to | O:Daimyō
S:Shōgun | P:is related to | O:Samurai
S:Samurai | P:is related to | O:Daimyō
S:Kamakura Shogunate | P:is related to | O:Japan
S:Ashikaga Shogunate | P:is related to | O:Japan
S:Tokugawa Shogunate | P:is related to | O:Japan
S:Tokugawa Shogunate | P:is related to | O:Kamakura Shogunate
S:Tokugawa Shogunate | P:is related to | O:Ashikaga Shogunate
S:Tokugawa Shogunate | P:is related to | O:Isolationist Foreign Policy
S:Japan | P:is related to | O:Allied Occupation
S:Japan | P:is related to | O:Lost Decades
S:Japan | P:is related to | O:Automotive
S:Japan | P:is related to | O:Electronics
S:Japan | P:is related to | O:Robotics
S:Japan | P:is related to | O:Art
S:Japan | P:is related to | O:Cuisine
S:Japan | P:is related to | O:Films
S:Japan | P:is related to | O:Music
S:Japan | P:is related to | O:Animation
S:Japan | P:is related to | O:Comics
S:Japan | P:is related to | O:Video Games
S:Nihon | P:is related to | O:Nippon
S:Japan | P:is related to | O:Nihon
S:Japan | P:is related to | O:Nippon
S:Japan | P:is related to | O:Wa
S:Japan | P:is related to | O:Yamato
