S:Japan | P:is related to | O:East Asia
S:Tokyo | P:is part of | O:Japan
S:Nara | P:is part of | O:Japan
S:Heian-Kyō | P:is part of | O:Japan
S:Korea | P:is contained in | O:East Asia
S:Baekje | P:is part of | O:Korea
S:Minamoto No Yoritomo | P:is related to | O:Kamakura Shogunate
S:Kamakura Shogunate | P:occurs at | O:Japan
S:Ashikaga Takauji | P:is related to | O:Ashikaga Shogunate
S:Fujiwara No Kamatari | P:is related to | O:Taika Reforms
S:Prince Naka No Ōe | P:is related to | O:Taika Reforms
S:Meiji Period | P:occurs at | O:Japan
S:World War Ii | P:occurs at | O:Japan
S:Pacific War | P:is related to | O:World War Ii
S:Allied Occupation | P:occurs at | O:Japan
S:1853 American Fleet Opens Trade | P:occurs at | O:Japan
S:1868 Restoration Of Imperial Power | P:occurs at | O:Japan
S:1910 Annexation Of Korea | P:occurs at | O:Korea
S:1937 Invasion Of China | P:occurs at | O:China
S:1941 Attack On Us And European Powers | P:occurs at | O:Japan
S:1945 Surrender | P:occurs at | O:Japan
S:Atomic Bombing Of Hiroshima | P:occurs at | O:Hiroshima
S:Atomic Bombing Of Nagasaki | P:occurs at | O:Nagasaki
S:Hiroshima | P:is related to | O:World War Ii
S:Nagasaki | P:is related to | O:World War Ii
S:World War Ii | P:is related to | O:Pacific War
S:Lost Decades | P:occurs at | O:Japan
S:National Diet | P:is part of | O:Japan
S:G7 | P:is related to | O:Japan
S:Upper Paleolithic In Japan | P:occurs at | O:Japan
S:Jinshin War | P:occurs at | O:Japan
S:Kamakura Period | P:occurs at | O:Japan
S:Tokugawa_Ieyasu | P:is part of | O:Council_Of_Five_Elders
S:Tokugawa_Ieyasu | P:is related to | O:Toyotomi_Hideyori
S:Toyotomi_Hideyori | P:is related to | O:Toyotomi_Hideyoshi
S:Battle_Of_Sekigahara | P:occurs at | O:Sekigahara
S:Tokugawa_Ieyasu | P:was present at | O:Battle_Of_Sekigahara
S:Emperor_Go_Yozei | P:is related to | O:Tokugawa_Ieyasu
S:Tokugawa_Shogunate | P:is related to | O:Edo
S:Tokugawa_Shogunate | P:is related to | O:Buke_Shohato
S:Sakoku | P:is related to | O:Edo_Period
S:Edo | P:is related to | O:Edo_Period
S:Rangaku | P:is related to | O:Nagasaki
S:Matthew_C_Perry | P:was present at | O:Perry_Expedition
S:Perry_Expedition | P:occurs at | O:Uraga
S:Perry_Expedition | P:is related to | O:Convention_Of_Kanagawa
S:Convention_Of_Kanagawa | P:occurs at | O:Uraga
S:Meiji_Restoration | P:is related to | O:Empire_Of_Japan
S:Cabinet | P:is related to | O:Privy_Council
S:Meiji_Constitution | P:is related to | O:Imperial_Diet
S:Imperial_Diet | P:is related to | O:Meiji_Constitution
S:Empire_Of_Japan | P:is related to | O:Japan
S:First_Sino_Japanese_War | P:is related to | O:Empire_Of_Japan
S:Russo_Japanese_War | P:is related to | O:Empire_Of_Japan
S:Korea | P:is related to | O:First_Sino_Japanese_War
S:Taiwan | P:is related to | O:First_Sino_Japanese_War
S:Sakhalin | P:is related to | O:Russo_Japanese_War
S:Manchukuo | P:is related to | O:Russo_Japanese_War
S:League_Of_Nations | P:is related to | O:Empire_Of_Japan
S:Anti_Comintern_Pact | P:is related to | O:Empire_Of_Japan
S:Tripartite_Pact | P:is related to | O:Empire_Of_Japan
S:Pearl_Harbor | P:is related to | O:Empire_Of_Japan
S:Great_Tokyo_Earthquake_1923 | P:occurs at | O:Tokyo
S:Naruhito | P:is related to | O:Reiwa_Era_Begins
S:Reiwa_Era_Begins | P:is related to | O:Japan
S:Emperor_Akihito | P:is related to | O:Naruhito
S:Tohoku_Earthquake_2011 | P:occurs at | O:Japan
S:Tohoku_Earthquake_2011 | P:is related to | O:Fukushima_Daiichi
S:Great_Tokyo_Earthquake_1923 | P:is related to | O:Tokyo
S:Perry_Expedition | P:occurs at | O:Uraga
S:Perry_Expedition | P:is related to | O:Convention_Of_Kanagawa
S:Meiji_Restoration | P:is related to | O:Meiji_Constitution
S:Empire_Of_Japan | P:is related to | O:United_Nations
S:World War Ii | P:is related to | O:Japan
S:Environmental Protection Laws (1970) | P:occurs at | O:Japan
S:Oil Crisis (1973) | P:occurs at | O:Japan
S:Energy Efficiency | P:is related to | O:Oil Crisis (1973)
S:Environmental Performance Index (2018) | P:is related to | O:Japan
S:Kyoto Protocol | P:is related to | O:Japan
S:Carbon Neutrality By 2050 | P:occurs at | O:Japan
S:Nox And Urban Air Pollutants | P:occurs at | O:Japan
S:Environmental Issues In Japan | P:occurs at | O:Japan
S:Naruhito | P:is related to | O:Japan
S:Akihito | P:is related to | O:Japan
S:Sanae Takaichi | P:is related to | O:Liberal Democratic Party
S:House Of Representatives | P:is part of | O:National Diet
S:House Of Councillors | P:is part of | O:National Diet
S:Sanae Takaichi | P:is related to | O:House Of Representatives
S:Senkaku Islands | P:is related to | O:Japan
S:Liancourt Rocks | P:is related to | O:Japan
S:Southern Kuril Islands | P:is related to | O:Japan
S:Okinotorishima | P:is related to | O:Japan
S:Quad | P:is related to | O:Japan
S:G7 | P:is related to | O:Japan
S:Apec | P:is related to | O:Japan
S:East Asia Summit | P:is related to | O:Japan
S:United States | P:is related to | O:Japan
S:Japan Self-Defense Forces | P:is related to | O:United States
S:Constitution Of Japan (1947) | P:is related to | O:Article 9 Of The Constitution
S:Kujikata Osadamegaki | P:is related to | O:Bürgerliches Gesetzbuch
S:Six Codes | P:is related to | O:Bürgerliches Gesetzbuch
S:Japan | P:is related to | O:Keiretsu
S:Japan | P:is related to | O:Lifetime_Employment
S:Japan | P:is related to | O:Seniority_Based_Career_Advancement
S:Cooperative_Sector_In_Japan | P:is related to | O:Largest_Consumer_Cooperative
