S:Japan | P:is contained in | O:East Asia
S:Japan | P:is contained in | O:Pacific Ocean
S:Sea Of Japan | P:is related to | O:Japan
S:Sea Of Okhotsk | P:is related to | O:Japan
S:East China Sea | P:is related to | O:Japan
S:Japanese Archipelago | P:is part of | O:Japan
S:Hokkaido | P:is part of | O:Japanese Archipelago
S:Honshu | P:is part of | O:Japanese Archipelago
S:Shikoku | P:is part of | O:Japanese Archipelago
S:Kyushu | P:is part of | O:Japanese Archipelago
S:Okinawa | P:is part of | O:Japanese Archipelago
S:Ryukyu Islands | P:is part of | O:Japan
S:Okinawa | P:is part of | O:Ryukyu Islands
S:Nanpō Islands | P:is part of | O:Japan
S:Tokyo | P:is part of | O:Japan
S:Nara | P:is part of | O:Japan
S:Heijō-Kyō | P:is related to | O:Nara
S:Heian-Kyō | P:is related to | O:Kyoto
S:Kyoto | P:is part of | O:Japan
S:Kamakura | P:is part of | O:Japan
S:Edo | P:is part of | O:Japan
S:Edo | P:is related to | O:Tokyo
S:Osaka | P:is part of | O:Japan
S:Nagasaki | P:is part of | O:Japan
S:Hiroshima | P:is part of | O:Japan
S:Uraga | P:is part of | O:Japan
S:Kanagawa | P:is part of | O:Japan
S:Lake Biwa | P:is part of | O:Japan
S:Fukushima Daiichi | P:is part of | O:Japan
S:Manchuria | P:is part of | O:China
S:Manchukuo | P:is contained in | O:Manchuria
S:Korea | P:is part of | O:East Asia
S:Taiwan | P:is part of | O:East Asia
S:Karafuto | P:is related to | O:Sakhalin
S:Kurils | P:is related to | O:Japan
S:Pacific Ring Of Fire | P:is related to | O:Japan
S:Japan | P:is part of | O:G7
S:National Diet | P:is contained in | O:Japan
S:Imperial Diet | P:is contained in | O:Japan
S:Privy Council | P:is contained in | O:Japan
S:Cabinet | P:is contained in | O:Japan
S:Kamakura Shogunate | P:is contained in | O:Japan
S:Ashikaga Shogunate | P:is contained in | O:Japan
S:Tokugawa Shogunate | P:is contained in | O:Japan
S:Council Of Five Elders | P:is contained in | O:Japan
S:Hōjō Clan | P:is contained in | O:Japan
S:Minamoto Clan | P:is contained in | O:Japan
S:Taira Clan | P:is contained in | O:Japan
S:Empire Of Japan | P:is related to | O:Japan
S:League Of Nations | P:is related to | O:Japan
S:Nazi Germany | P:is part of | O:Axis Powers
S:Japan | P:is part of | O:Axis Powers
S:Allies | P:is related to | O:Japan
S:United Nations | P:is related to | O:Japan
S:International Military Tribunal For The Far East | P:is related to | O:Japan
S:United States Navy | P:is contained in | O:United States
S:Environment Ministry | P:is contained in | O:Japan
S:World Risk Index | P:is related to | O:Japan
S:Environmental Performance Index | P:is related to | O:Japan
S:Portuguese Traders | P:is related to | O:Japan
S:United States | P:is part of | O:Allies
