file,n_original,n_generated,split_type,model_name,embedding_dim,batch_size,hnsw_M,ef_construction,ef_search,encoding_time_s,search_time_s,total_time_s,encode_mem_delta_mb,search_mem_delta_mb,bigs_right,bigs_right_std,bigs_right_median,bigs_left,bigs_left_std,bigs_left_median
textualization/croatia/langchain/gpt-4o-mini,560,202,sentences,sentence-transformers/all-mpnet-base-v2,768,64,16,200,128,0.398,0.053,0.451,316.5,4.0,0.2873,0.1105,0.2933,0.4604,0.18,0.4368
textualization/croatia/langchain/gpt-4o-mini,560,202,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,16,200,128,0.456,0.054,0.511,418.4,4.0,0.2586,0.1085,0.2578,0.438,0.1825,0.4255
textualization/croatia/langchain/gpt-4o-mini,560,202,sentences,sentence-transformers/all-MiniLM-L12-v2,384,64,16,200,128,0.331,0.038,0.369,434.0,5.1,0.3034,0.1189,0.3068,0.4827,0.181,0.4643
textualization/croatia/langchain/gpt-4o-mini,1454,202,chunks,sentence-transformers/all-mpnet-base-v2,768,64,16,200,128,0.521,0.159,0.68,362.4,5.5,0.2763,0.0916,0.2748,0.5033,0.172,0.4994
textualization/croatia/langchain/gpt-4o-mini,1454,202,chunks,paraphrase-multilingual-mpnet-base-v2,768,64,16,200,128,0.584,0.168,0.752,424.5,7.4,0.2369,0.0908,0.2257,0.4855,0.1781,0.4904
textualization/croatia/langchain/gpt-4o-mini,1454,202,chunks,sentence-transformers/all-MiniLM-L12-v2,384,64,16,200,128,0.408,0.115,0.524,434.3,5.0,0.2797,0.0975,0.2785,0.5233,0.1763,0.5258
textualization/croatia/langchain/gpt-5,560,653,sentences,sentence-transformers/all-mpnet-base-v2,768,64,16,200,128,0.489,0.113,0.602,333.7,5.0,0.3022,0.1175,0.3058,0.4055,0.1873,0.3852
textualization/croatia/langchain/gpt-5,560,653,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,16,200,128,0.543,0.11,0.652,422.9,4.0,0.2529,0.1006,0.2446,0.3766,0.187,0.3499
textualization/croatia/langchain/gpt-5,560,653,sentences,sentence-transformers/all-MiniLM-L12-v2,384,64,16,200,128,0.386,0.081,0.467,434.6,3.0,0.3123,0.1203,0.3161,0.4217,0.1889,0.3978
textualization/croatia/langchain/gpt-5,1454,653,chunks,sentence-transformers/all-mpnet-base-v2,768,64,16,200,128,0.59,0.244,0.834,336.1,7.5,0.2883,0.0957,0.2892,0.4533,0.1712,0.4369
textualization/croatia/langchain/gpt-5,1454,653,chunks,paraphrase-multilingual-mpnet-base-v2,768,64,16,200,128,0.673,0.241,0.914,424.8,7.3,0.2366,0.0835,0.239,0.4232,0.1744,0.4052
textualization/croatia/langchain/gpt-5,1454,653,chunks,sentence-transformers/all-MiniLM-L12-v2,384,64,16,200,128,0.465,0.174,0.639,433.2,5.0,0.2842,0.0978,0.2839,0.4665,0.1799,0.4474
textualization/croatia/langchain/gpt-4-1,560,559,sentences,sentence-transformers/all-mpnet-base-v2,768,64,16,200,128,0.477,0.099,0.576,355.0,5.0,0.319,0.1071,0.3192,0.4166,0.1659,0.3972
textualization/croatia/langchain/gpt-4-1,560,559,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,16,200,128,0.514,0.098,0.612,415.4,6.6,0.2695,0.0942,0.2659,0.3878,0.1668,0.3643
textualization/croatia/langchain/gpt-4-1,560,559,sentences,sentence-transformers/all-MiniLM-L12-v2,384,64,16,200,128,0.368,0.072,0.44,424.5,4.0,0.3279,0.1101,0.3269,0.4289,0.1698,0.4099
textualization/croatia/langchain/gpt-4-1,1454,559,chunks,sentence-transformers/all-mpnet-base-v2,768,64,16,200,128,0.583,0.226,0.81,358.3,7.0,0.2963,0.089,0.2961,0.4571,0.1639,0.4451
textualization/croatia/langchain/gpt-4-1,1454,559,chunks,paraphrase-multilingual-mpnet-base-v2,768,64,16,200,128,0.644,0.223,0.867,421.1,7.0,0.2428,0.0847,0.2414,0.4288,0.1693,0.4139
textualization/croatia/langchain/gpt-4-1,1454,559,chunks,sentence-transformers/all-MiniLM-L12-v2,384,64,16,200,128,0.445,0.16,0.605,426.8,5.0,0.2944,0.0911,0.2903,0.469,0.1728,0.4535
textualization/croatia/langchain/gpt-5-nano,560,284,sentences,sentence-transformers/all-mpnet-base-v2,768,64,16,200,128,0.419,0.065,0.485,344.3,3.0,0.2955,0.1198,0.2895,0.4546,0.1786,0.4391
textualization/croatia/langchain/gpt-5-nano,560,284,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,16,200,128,0.48,0.061,0.541,429.4,4.0,0.2536,0.1039,0.2477,0.4262,0.1807,0.4136
textualization/croatia/langchain/gpt-5-nano,560,284,sentences,sentence-transformers/all-MiniLM-L12-v2,384,64,16,200,128,0.336,0.047,0.383,422.5,4.0,0.3029,0.1156,0.3003,0.4726,0.1794,0.462
textualization/croatia/langchain/gpt-5-nano,1454,284,chunks,sentence-transformers/all-mpnet-base-v2,768,64,16,200,128,0.548,0.176,0.724,377.6,7.3,0.2843,0.096,0.2802,0.4945,0.1631,0.4949
textualization/croatia/langchain/gpt-5-nano,1454,284,chunks,paraphrase-multilingual-mpnet-base-v2,768,64,16,200,128,0.603,0.164,0.768,431.5,8.3,0.2427,0.0876,0.236,0.4702,0.1724,0.4676
textualization/croatia/langchain/gpt-5-nano,1454,284,chunks,sentence-transformers/all-MiniLM-L12-v2,384,64,16,200,128,0.411,0.134,0.545,422.3,5.0,0.2855,0.0959,0.2822,0.5162,0.1732,0.5185
textualization/croatia/original/gpt-4o-mini_full,560,398,sentences,sentence-transformers/all-mpnet-base-v2,768,64,16,200,128,0.428,0.076,0.505,321.2,4.0,0.3527,0.1175,0.3522,0.4604,0.1673,0.4423
textualization/croatia/original/gpt-4o-mini_full,560,398,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,16,200,128,0.5,0.078,0.578,420.7,4.0,0.3095,0.1053,0.3026,0.4328,0.168,0.4103
textualization/croatia/original/gpt-4o-mini_full,560,398,sentences,sentence-transformers/all-MiniLM-L12-v2,384,64,16,200,128,0.358,0.056,0.413,436.6,3.0,0.364,0.1231,0.3609,0.4783,0.1695,0.4573
