file,n_original,n_generated,split_type,model_name,embedding_dim,batch_size,hnsw_M,ef_construction,ef_search,encoding_time_s,search_time_s,total_time_s,encode_mem_delta_mb,search_mem_delta_mb,bigs_right,bigs_right_std,bigs_right_median,bigs_left,bigs_left_std,bigs_left_median
textualization/japan/langchain/gpt-4o-mini,395,198,sentences,sentence-transformers/all-mpnet-base-v2,768,64,16,200,128,0.354,0.035,0.39,312.8,3.0,0.2809,0.09,0.2742,0.4089,0.1555,0.3921
textualization/japan/langchain/gpt-4o-mini,395,198,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,16,200,128,0.417,0.036,0.453,419.0,2.0,0.2686,0.0784,0.2733,0.4072,0.1537,0.4054
textualization/japan/langchain/gpt-4o-mini,395,198,sentences,sentence-transformers/all-MiniLM-L12-v2,384,64,16,200,128,0.309,0.027,0.336,438.4,3.0,0.3002,0.0864,0.3007,0.4373,0.157,0.431
textualization/japan/langchain/gpt-4o-mini,1052,198,chunks,sentence-transformers/all-mpnet-base-v2,768,64,16,200,128,0.416,0.109,0.525,340.0,5.6,0.2819,0.0834,0.2793,0.4816,0.1532,0.4758
textualization/japan/langchain/gpt-4o-mini,1052,198,chunks,paraphrase-multilingual-mpnet-base-v2,768,64,16,200,128,0.484,0.115,0.599,436.1,5.5,0.2375,0.0707,0.2396,0.4598,0.1661,0.4571
textualization/japan/langchain/gpt-4o-mini,1052,198,chunks,sentence-transformers/all-MiniLM-L12-v2,384,64,16,200,128,0.354,0.078,0.431,427.1,4.0,0.2842,0.0728,0.2904,0.5099,0.1632,0.509
textualization/japan/langchain/gpt-5,395,409,sentences,sentence-transformers/all-mpnet-base-v2,768,64,16,200,128,0.396,0.059,0.455,329.3,4.0,0.3187,0.1031,0.3182,0.4182,0.1654,0.4159
textualization/japan/langchain/gpt-5,395,409,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,16,200,128,0.464,0.059,0.523,433.7,4.0,0.2801,0.0991,0.2809,0.4039,0.1707,0.4136
textualization/japan/langchain/gpt-5,395,409,sentences,sentence-transformers/all-MiniLM-L12-v2,384,64,16,200,128,0.339,0.043,0.383,437.1,2.0,0.3296,0.1128,0.3304,0.4323,0.1659,0.4515
textualization/japan/langchain/gpt-5,1052,409,chunks,sentence-transformers/all-mpnet-base-v2,768,64,16,200,128,0.473,0.143,0.616,370.7,6.9,0.2997,0.0922,0.3046,0.4747,0.1631,0.4762
