file,n_original,n_generated,split_type,model_name,embedding_dim,batch_size,hnsw_M,ef_construction,ef_search,encoding_time_s,search_time_s,total_time_s,encode_mem_delta_mb,search_mem_delta_mb,bigs_right,bigs_right_std,bigs_right_median,bigs_left,bigs_left_std,bigs_left_median
textualization_neighbors/croatia/langchain/gpt-4o-mini,560,202,sentences,sentence-transformers/all-mpnet-base-v2,768,64,16,200,128,0.424,0.055,0.479,330.1,5.0,0.2943,0.1112,0.2887,0.4688,0.1772,0.4505
textualization_neighbors/croatia/langchain/gpt-4o-mini,560,202,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,16,200,128,0.482,0.054,0.536,421.2,4.0,0.2655,0.108,0.2488,0.4369,0.1721,0.428
textualization_neighbors/croatia/langchain/gpt-4o-mini,560,202,sentences,sentence-transformers/all-MiniLM-L12-v2,384,64,16,200,128,0.344,0.041,0.385,435.4,4.9,0.3104,0.1129,0.2956,0.4891,0.1701,0.4819
textualization_neighbors/croatia/langchain/gpt-4o-mini,1454,202,chunks,sentence-transformers/all-mpnet-base-v2,768,64,16,200,128,0.553,0.159,0.712,361.7,5.5,0.2983,0.0877,0.2891,0.5239,0.1647,0.524
textualization_neighbors/croatia/langchain/gpt-4o-mini,1454,202,chunks,paraphrase-multilingual-mpnet-base-v2,768,64,16,200,128,0.611,0.153,0.764,425.7,6.3,0.2592,0.0898,0.2404,0.4857,0.1669,0.4815
textualization_neighbors/croatia/langchain/gpt-4o-mini,1454,202,chunks,sentence-transformers/all-MiniLM-L12-v2,384,64,16,200,128,0.417,0.119,0.535,435.3,5.0,0.3078,0.0887,0.3056,0.5419,0.1609,0.5457
textualization_neighbors/croatia/langchain/gpt-5,560,653,sentences,sentence-transformers/all-mpnet-base-v2,768,64,16,200,128,0.59,0.113,0.703,360.0,4.0,0.2794,0.115,0.2825,0.4024,0.1864,0.3808
textualization_neighbors/croatia/langchain/gpt-5,560,653,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,16,200,128,0.633,0.109,0.742,421.6,5.0,0.2426,0.0927,0.2402,0.3758,0.1816,0.3565
textualization_neighbors/croatia/langchain/gpt-5,560,653,sentences,sentence-transformers/all-MiniLM-L12-v2,384,64,16,200,128,0.421,0.081,0.502,434.8,4.0,0.2941,0.1164,0.289,0.4226,0.1832,0.4085
textualization_neighbors/croatia/langchain/gpt-5,1454,653,chunks,sentence-transformers/all-mpnet-base-v2,768,64,16,200,128,0.673,0.238,0.911,336.3,7.2,0.2877,0.091,0.2867,0.4652,0.1642,0.4499
textualization_neighbors/croatia/langchain/gpt-5,1454,653,chunks,paraphrase-multilingual-mpnet-base-v2,768,64,16,200,128,0.756,0.235,0.991,427.5,9.2,0.2443,0.0787,0.2438,0.4293,0.1664,0.4135
textualization_neighbors/croatia/langchain/gpt-5,1454,653,chunks,sentence-transformers/all-MiniLM-L12-v2,384,64,16,200,128,0.497,0.176,0.673,438.9,5.0,0.2934,0.0905,0.2905,0.4808,0.1683,0.4675
textualization_neighbors/croatia/langchain/gpt-4-1,560,559,sentences,sentence-transformers/all-mpnet-base-v2,768,64,16,200,128,0.548,0.1,0.648,316.8,6.0,0.2931,0.116,0.2946,0.4188,0.1706,0.3934
textualization_neighbors/croatia/langchain/gpt-4-1,560,559,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,16,200,128,0.602,0.098,0.7,415.5,4.0,0.26,0.0885,0.2577,0.391,0.1659,0.359
textualization_neighbors/croatia/langchain/gpt-4-1,560,559,sentences,sentence-transformers/all-MiniLM-L12-v2,384,64,16,200,128,0.404,0.072,0.476,422.7,3.0,0.3113,0.1097,0.3112,0.4389,0.1657,0.4206
textualization_neighbors/croatia/langchain/gpt-4-1,1454,559,chunks,sentence-transformers/all-mpnet-base-v2,768,64,16,200,128,0.656,0.225,0.882,323.8,7.0,0.294,0.0909,0.2948,0.4796,0.1621,0.4661
textualization_neighbors/croatia/langchain/gpt-4-1,1454,559,chunks,paraphrase-multilingual-mpnet-base-v2,768,64,16,200,128,0.73,0.228,0.957,420.8,7.0,0.2569,0.0761,0.2547,0.4398,0.1632,0.4233
textualization_neighbors/croatia/langchain/gpt-4-1,1454,559,chunks,sentence-transformers/all-MiniLM-L12-v2,384,64,16,200,128,0.481,0.163,0.644,426.1,4.0,0.3085,0.089,0.3141,0.4939,0.1624,0.4773
textualization_neighbors/croatia/langchain/gpt-5-nano,560,284,sentences,sentence-transformers/all-mpnet-base-v2,768,64,16,200,128,0.45,0.064,0.514,326.2,4.0,0.277,0.1064,0.2813,0.4537,0.1796,0.4399
textualization_neighbors/croatia/langchain/gpt-5-nano,560,284,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,16,200,128,0.525,0.061,0.587,428.7,6.2,0.2484,0.0881,0.245,0.4267,0.176,0.4127
textualization_neighbors/croatia/langchain/gpt-5-nano,560,284,sentences,sentence-transformers/all-MiniLM-L12-v2,384,64,16,200,128,0.353,0.047,0.4,420.7,2.0,0.2956,0.1065,0.2926,0.4788,0.1778,0.4716
textualization_neighbors/croatia/langchain/gpt-5-nano,1454,284,chunks,sentence-transformers/all-mpnet-base-v2,768,64,16,200,128,0.578,0.183,0.761,368.4,7.3,0.2914,0.0904,0.2912,0.5113,0.1628,0.5038
textualization_neighbors/croatia/langchain/gpt-5-nano,1454,284,chunks,paraphrase-multilingual-mpnet-base-v2,768,64,16,200,128,0.642,0.166,0.807,432.9,7.3,0.2579,0.0846,0.2558,0.4772,0.1667,0.4673
textualization_neighbors/croatia/langchain/gpt-5-nano,1454,284,chunks,sentence-transformers/all-MiniLM-L12-v2,384,64,16,200,128,0.43,0.127,0.557,428.3,3.0,0.3021,0.0925,0.3023,0.5337,0.1626,0.5336
textualization_neighbors/croatia/original/gpt-4o-mini_full,560,398,sentences,sentence-transformers/all-mpnet-base-v2,768,64,16,200,128,0.514,0.075,0.59,320.3,5.0,0.3222,0.0971,0.3268,0.476,0.1657,0.4655
textualization_neighbors/croatia/original/gpt-4o-mini_full,560,398,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,16,200,128,0.586,0.077,0.662,420.3,3.0,0.2947,0.0812,0.2914,0.4455,0.1609,0.4285
textualization_neighbors/croatia/original/gpt-4o-mini_full,560,398,sentences,sentence-transformers/all-MiniLM-L12-v2,384,64,16,200,128,0.391,0.056,0.447,429.8,2.0,0.3429,0.0968,0.3394,0.4948,0.1643,0.4876
textualization_neighbors/croatia/original/gpt-4o-mini_full,1454,398,chunks,sentence-transformers/all-mpnet-base-v2,768,64,16,200,128,0.624,0.191,0.815,322.3,6.8,0.3165,0.071,0.311,0.5255,0.1559,0.5139
textualization_neighbors/croatia/original/gpt-4o-mini_full,1454,398,chunks,paraphrase-multilingual-mpnet-base-v2,768,64,16,200,128,0.716,0.185,0.901,426.0,5.9,0.2806,0.0698,0.2816,0.4862,0.1581,0.4771
textualization_neighbors/croatia/original/gpt-4o-mini_full,1454,398,chunks,sentence-transformers/all-MiniLM-L12-v2,384,64,16,200,128,0.467,0.149,0.616,431.1,4.0,0.33,0.0703,0.3343,0.5405,0.1595,0.5433
textualization_neighbors/croatia/original/gpt-5_full,560,413,sentences,sentence-transformers/all-mpnet-base-v2,768,64,16,200,128,0.581,0.078,0.659,366.7,4.0,0.3027,0.1093,0.3047,0.4687,0.1766,0.4525
textualization_neighbors/croatia/original/gpt-5_full,560,413,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,16,200,128,0.602,0.079,0.68,428.3,7.2,0.275,0.0864,0.278,0.4387,0.1711,0.4237
textualization_neighbors/croatia/original/gpt-5_full,560,413,sentences,sentence-transformers/all-MiniLM-L12-v2,384,64,16,200,128,0.398,0.057,0.455,419.2,4.3,0.3254,0.1058,0.3312,0.4936,0.1759,0.4804
textualization_neighbors/croatia/original/gpt-5_full,1454,413,chunks,sentence-transformers/all-mpnet-base-v2,768,64,16,200,128,0.661,0.195,0.855,332.6,8.3,0.3063,0.0741,0.3023,0.5192,0.165,0.5091
textualization_neighbors/croatia/original/gpt-5_full,1454,413,chunks,paraphrase-multilingual-mpnet-base-v2,768,64,16,200,128,0.735,0.201,0.935,431.7,7.2,0.2604,0.0643,0.2547,0.4797,0.1672,0.4745
textualization_neighbors/croatia/original/gpt-5_full,1454,413,chunks,sentence-transformers/all-MiniLM-L12-v2,384,64,16,200,128,0.48,0.14,0.62,426.7,3.8,0.3211,0.0844,0.319,0.537,0.1679,0.5303
textualization_neighbors/croatia/original/gpt-4-1_full,560,803,sentences,sentence-transformers/all-mpnet-base-v2,768,64,16,200,128,0.675,0.129,0.804,311.5,5.5,0.3183,0.0979,0.3185,0.4221,0.1659,0.3914
textualization_neighbors/croatia/original/gpt-4-1_full,560,803,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,16,200,128,0.734,0.128,0.863,417.7,5.0,0.296,0.0845,0.292,0.3932,0.1613,0.3707
textualization_neighbors/croatia/original/gpt-4-1_full,560,803,sentences,sentence-transformers/all-MiniLM-L12-v2,384,64,16,200,128,0.47,0.094,0.564,425.4,4.9,0.3391,0.0928,0.3353,0.4437,0.1627,0.4225
textualization_neighbors/croatia/original/gpt-4-1_full,1454,803,chunks,sentence-transformers/all-mpnet-base-v2,768,64,16,200,128,0.784,0.266,1.05,325.5,8.0,0.3144,0.0739,0.3078,0.4811,0.1555,0.4698
textualization_neighbors/croatia/original/gpt-4-1_full,1454,803,chunks,paraphrase-multilingual-mpnet-base-v2,768,64,16,200,128,0.864,0.266,1.13,422.2,7.0,0.2761,0.0722,0.2712,0.4421,0.1567,0.43
textualization_neighbors/croatia/original/gpt-4-1_full,1454,803,chunks,sentence-transformers/all-MiniLM-L12-v2,384,64,16,200,128,0.548,0.192,0.74,427.5,4.2,0.3317,0.0747,0.3298,0.499,0.1563,0.4899
textualization_neighbors/croatia/original/gpt-5-nano_full,560,331,sentences,sentence-transformers/all-mpnet-base-v2,768,64,16,200,128,0.484,0.068,0.552,322.6,3.0,0.3142,0.1026,0.3092,0.4598,0.1676,0.4336
textualization_neighbors/croatia/original/gpt-5-nano_full,560,331,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,16,200,128,0.55,0.07,0.62,422.2,5.3,0.286,0.084,0.2818,0.4265,0.1623,0.4122
textualization_neighbors/croatia/original/gpt-5-nano_full,560,331,sentences,sentence-transformers/all-MiniLM-L12-v2,384,64,16,200,128,0.375,0.05,0.425,430.6,3.0,0.336,0.1034,0.3358,0.4816,0.166,0.4665
textualization_neighbors/croatia/original/gpt-5-nano_full,1454,331,chunks,sentence-transformers/all-mpnet-base-v2,768,64,16,200,128,0.589,0.189,0.778,325.8,6.0,0.3054,0.0805,0.3,0.5153,0.1541,0.5081
textualization_neighbors/croatia/original/gpt-5-nano_full,1454,331,chunks,paraphrase-multilingual-mpnet-base-v2,768,64,16,200,128,0.673,0.188,0.861,424.7,6.0,0.2666,0.0748,0.26,0.4724,0.1573,0.4662
textualization_neighbors/croatia/original/gpt-5-nano_full,1454,331,chunks,sentence-transformers/all-MiniLM-L12-v2,384,64,16,200,128,0.452,0.132,0.584,436.7,5.0,0.3211,0.0781,0.3191,0.5308,0.1572,0.5303
