file,n_original,n_generated,split_type,model_name,embedding_dim,batch_size,hnsw_M,ef_construction,ef_search,encoding_time_s,search_time_s,total_time_s,encode_mem_delta_mb,search_mem_delta_mb,bigs_right,bigs_right_std,bigs_right_median,bigs_left,bigs_left_std,bigs_left_median
textualization_neighbors/japan/langchain/gpt-4o-mini,395,198,sentences,sentence-transformers/all-mpnet-base-v2,768,64,16,200,128,0.411,0.036,0.447,357.2,3.0,0.2748,0.0923,0.2711,0.4107,0.1619,0.3998
textualization_neighbors/japan/langchain/gpt-4o-mini,395,198,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,16,200,128,0.456,0.037,0.493,419.1,3.0,0.2736,0.0858,0.2748,0.4155,0.1563,0.414
textualization_neighbors/japan/langchain/gpt-4o-mini,395,198,sentences,sentence-transformers/all-MiniLM-L12-v2,384,64,16,200,128,0.324,0.027,0.352,437.9,3.0,0.2991,0.0842,0.3042,0.4476,0.1599,0.4539
textualization_neighbors/japan/langchain/gpt-4o-mini,1052,198,chunks,sentence-transformers/all-mpnet-base-v2,768,64,16,200,128,0.449,0.106,0.555,341.2,5.5,0.2972,0.0798,0.2972,0.5038,0.1498,0.5051
textualization_neighbors/japan/langchain/gpt-4o-mini,1052,198,chunks,paraphrase-multilingual-mpnet-base-v2,768,64,16,200,128,0.52,0.103,0.623,435.0,6.0,0.2563,0.0742,0.2608,0.4718,0.1568,0.4754
textualization_neighbors/japan/langchain/gpt-4o-mini,1052,198,chunks,sentence-transformers/all-MiniLM-L12-v2,384,64,16,200,128,0.369,0.081,0.451,435.5,4.0,0.313,0.0748,0.3165,0.5346,0.1542,0.5378
textualization_neighbors/japan/langchain/gpt-5,395,409,sentences,sentence-transformers/all-mpnet-base-v2,768,64,16,200,128,0.477,0.06,0.537,374.0,4.0,0.2974,0.1082,0.2922,0.4128,0.1702,0.414
textualization_neighbors/japan/langchain/gpt-5,395,409,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,16,200,128,0.514,0.061,0.574,433.7,6.4,0.2738,0.1055,0.2683,0.4009,0.1669,0.4115
textualization_neighbors/japan/langchain/gpt-5,395,409,sentences,sentence-transformers/all-MiniLM-L12-v2,384,64,16,200,128,0.355,0.044,0.4,431.6,3.0,0.3115,0.1149,0.3045,0.4357,0.1713,0.4586
textualization_neighbors/japan/langchain/gpt-5,1052,409,chunks,sentence-transformers/all-mpnet-base-v2,768,64,16,200,128,0.504,0.151,0.655,333.5,6.0,0.3102,0.0851,0.3083,0.4916,0.1554,0.4915
textualization_neighbors/japan/langchain/gpt-5,1052,409,chunks,paraphrase-multilingual-mpnet-base-v2,768,64,16,200,128,0.586,0.149,0.735,432.1,6.5,0.2638,0.084,0.2626,0.4514,0.1588,0.4483
textualization_neighbors/japan/langchain/gpt-5,1052,409,chunks,sentence-transformers/all-MiniLM-L12-v2,384,64,16,200,128,0.398,0.11,0.508,421.5,4.0,0.3119,0.0909,0.309,0.5054,0.1605,0.5091
textualization_neighbors/japan/langchain/gpt-4-1,395,548,sentences,sentence-transformers/all-mpnet-base-v2,768,64,16,200,128,0.528,0.071,0.6,333.2,3.0,0.2674,0.0918,0.2613,0.3354,0.1453,0.3121
textualization_neighbors/japan/langchain/gpt-4-1,395,548,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,16,200,128,0.61,0.074,0.684,421.6,3.0,0.2538,0.0864,0.2516,0.327,0.1422,0.3103
textualization_neighbors/japan/langchain/gpt-4-1,395,548,sentences,sentence-transformers/all-MiniLM-L12-v2,384,64,16,200,128,0.398,0.054,0.453,435.2,4.8,0.2881,0.0849,0.2841,0.3636,0.1445,0.3497
textualization_neighbors/japan/langchain/gpt-4-1,1052,548,chunks,sentence-transformers/all-mpnet-base-v2,768,64,16,200,128,0.583,0.169,0.752,343.0,7.0,0.2936,0.0815,0.2872,0.4417,0.1418,0.4357
textualization_neighbors/japan/langchain/gpt-4-1,1052,548,chunks,paraphrase-multilingual-mpnet-base-v2,768,64,16,200,128,0.688,0.165,0.853,432.6,7.0,0.2555,0.0751,0.2537,0.401,0.1471,0.3883
textualization_neighbors/japan/langchain/gpt-4-1,1052,548,chunks,sentence-transformers/all-MiniLM-L12-v2,384,64,16,200,128,0.44,0.122,0.563,422.9,4.0,0.3077,0.0798,0.3053,0.4598,0.1468,0.4574
textualization_neighbors/japan/langchain/gpt-5-nano,395,212,sentences,sentence-transformers/all-mpnet-base-v2,768,64,16,200,128,0.391,0.037,0.428,344.4,4.0,0.3184,0.1045,0.3082,0.4513,0.1546,0.4488
textualization_neighbors/japan/langchain/gpt-5-nano,395,212,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,16,200,128,0.457,0.039,0.497,432.4,5.9,0.2857,0.0927,0.289,0.438,0.1545,0.4392
textualization_neighbors/japan/langchain/gpt-5-nano,395,212,sentences,sentence-transformers/all-MiniLM-L12-v2,384,64,16,200,128,0.33,0.027,0.357,438.2,2.0,0.3337,0.104,0.3362,0.4773,0.1488,0.4886
textualization_neighbors/japan/langchain/gpt-5-nano,1052,212,chunks,sentence-transformers/all-mpnet-base-v2,768,64,16,200,128,0.442,0.117,0.559,344.6,6.0,0.3247,0.0834,0.3211,0.5264,0.1466,0.531
