cumulative_targets_percent,cumulative_assignments_percent
0.00000000,0.00000000
0.04978443,0.01271880
0.10006671,0.02556478
0.14985114,0.03828357
0.20013342,0.05112956
0.24991786,0.06384835
0.30020013,0.07669433
0.34998457,0.08941313
0.39976900,0.10213192
0.45005128,0.11497791
0.49983571,0.12769670
0.55011799,0.14054269
0.59990242,0.15326148
0.65018470,0.16610746
0.69996913,0.17882626
0.74975357,0.19154505
0.80003584,0.20439104
0.84982028,0.21710983
0.90010256,0.22995581
0.94988699,0.24267461
1.00016927,0.25552059
1.04995370,0.26823939
1.10023598,0.28108537
1.15002041,0.29380417
1.19980485,0.30652296
1.25008712,0.31936894
1.29987156,0.33208774
1.35015383,0.34493372
1.39993827,0.35765252
1.45022055,0.37049850
1.50000498,0.38321730
1.54978941,0.39593609
1.60007169,0.40878207
1.64985612,0.42150087
1.70013840,0.43434685
1.74992283,0.44706565
1.80020511,0.45991163
1.84998955,0.47263042
1.89977398,0.48534922
1.95005626,0.49819520
1.99984069,0.51091400
2.05012297,0.52375998
2.09990740,0.53647878
2.15018968,0.54932476
2.19997411,0.56204355
2.24975855,0.57476235
2.30004082,0.58760833
2.34982526,0.60032713
2.40010753,0.61317311
2.44989197,0.62589191
2.50017425,0.63873789
2.54995868,0.65145668
2.60024096,0.66430267
2.65002539,0.67702146
2.69980982,0.68974026
2.75009210,0.70258624
2.79987653,0.71530503
2.85015881,0.72815102
2.89994325,0.74086981
2.95022552,0.75371580
3.00000996,0.76643459
3.04979439,0.77915339
3.10007667,0.79199937
3.14986110,0.80471816
3.20014338,0.81756415
3.24992781,0.83028294
3.30021009,0.84312893
3.34999452,0.85584772
3.39977896,0.86856652
3.45006123,0.88141250
3.49984567,0.89413129
3.55012795,0.90697728
3.59991238,0.91969607
3.65019466,0.93254205
3.69997909,0.94526085
3.74976352,0.95797964
3.80004580,0.97082563
3.84983024,0.98354442
3.90011251,0.99639041
3.94989695,1.00910920
4.00017922,1.02195518
4.04996366,1.03467398
4.10024594,1.04751996
4.15003037,1.06023876
4.19981480,1.07295755
4.25009708,1.08580354
4.29988151,1.09852233
4.35016379,1.11136831
4.39994822,1.12408711
4.45023050,1.13693309
4.50001494,1.14965189
4.54979937,1.16237068
