cumulative_targets_percent,cumulative_assignments_percent
0.00000000,0.00000000
0.04994589,0.01163135
0.09989178,0.02326271
0.14983768,0.03489406
0.20017996,0.04661772
0.25012586,0.05824908
0.30007175,0.06988043
0.35001764,0.08151178
0.39996353,0.09314313
0.44990942,0.10477449
0.49985532,0.11640584
0.55019760,0.12812950
0.60014350,0.13976086
0.65008939,0.15139221
0.70003528,0.16302356
0.74998117,0.17465491
0.79992706,0.18628627
0.84987296,0.19791762
0.89981885,0.20954897
0.95016113,0.22127264
1.00010703,0.23290399
1.05005292,0.24453534
1.09999881,0.25616669
1.14994470,0.26779805
1.19989059,0.27942940
1.24983649,0.29106075
1.30017877,0.30278442
1.35012467,0.31441577
1.40007056,0.32604712
1.45001645,0.33767847
1.49996234,0.34930983
1.54990823,0.36094118
1.59985413,0.37257253
1.65019641,0.38429620
1.70014231,0.39592755
1.75008820,0.40755890
1.80003409,0.41919025
1.84997998,0.43082161
1.89992587,0.44245296
1.94987177,0.45408431
1.99981766,0.46571567
2.05015995,0.47743933
2.10010584,0.48907068
2.15005173,0.50070204
2.19999762,0.51233339
2.24994351,0.52396474
2.29988941,0.53559609
2.34983530,0.54722745
2.40017759,0.55895111
2.45012348,0.57058246
2.50006937,0.58221382
2.55001526,0.59384517
2.59996115,0.60547652
2.64990705,0.61710787
2.69985294,0.62873923
2.75019523,0.64046289
2.80014112,0.65209424
2.85008701,0.66372560
2.90003290,0.67535695
2.94997879,0.68698830
2.99992468,0.69861965
3.04987058,0.71025101
3.09981647,0.72188236
3.15015876,0.73360602
3.20010465,0.74523738
3.25005054,0.75686873
3.29999643,0.76850008
3.34994232,0.78013143
3.39988822,0.79176279
3.44983411,0.80339414
3.50017640,0.81511780
3.55012229,0.82674916
3.60006818,0.83838051
3.65001407,0.85001186
3.69995996,0.86164321
3.74990586,0.87327457
3.79985175,0.88490592
3.85019404,0.89662958
3.90013993,0.90826094
3.95008582,0.91989229
4.00003171,0.93152364
4.04997760,0.94315500
4.09992350,0.95478635
4.14986939,0.96641770
4.19981528,0.97804905
4.25015757,0.98977272
4.30010346,1.00140407
4.35004935,1.01303542
4.39999524,1.02466678
4.44994114,1.03629813
4.49988703,1.04792948
4.54983292,1.05956083
