cumulative_targets_percent,cumulative_assignments_percent
0.00000000,0.00000000
0.05000047,0.01494865
0.10000094,0.02989729
0.15000141,0.04484594
0.20000188,0.05979459
0.25000234,0.07474323
0.30000281,0.08969188
0.35000328,0.10464053
0.40000375,0.11958917
0.45000422,0.13453782
0.50000469,0.14948647
0.55000516,0.16443511
0.60000563,0.17938376
0.65000609,0.19433241
0.70000656,0.20928105
0.75000703,0.22422970
0.80000750,0.23917835
0.85000797,0.25412699
0.90000844,0.26907564
0.95000891,0.28402429
1.00000938,0.29897293
1.05000984,0.31392158
1.10001031,0.32887023
1.15001078,0.34381887
1.20001125,0.35876752
1.25001172,0.37371617
1.30001219,0.38866481
1.35001266,0.40361346
1.40001313,0.41856211
1.45001359,0.43351076
1.50001406,0.44845940
1.55001453,0.46340805
1.60001500,0.47835670
1.65001547,0.49330534
1.70001594,0.50825399
1.75001641,0.52320264
1.80001688,0.53815128
1.85001734,0.55309993
1.90001781,0.56804858
1.95001828,0.58299722
2.00001875,0.59794587
2.05001922,0.61289452
2.10001969,0.62784316
2.15002016,0.64279181
2.20002063,0.65774046
2.25002109,0.67268910
2.30002156,0.68763775
2.35002203,0.70258640
2.40002250,0.71753504
2.45002297,0.73248369
2.50002344,0.74743234
2.55002391,0.76238098
2.60002438,0.77732963
2.65002484,0.79227828
2.70002531,0.80722692
2.75002578,0.82217557
2.80002625,0.83712422
2.85002672,0.85207286
2.90002719,0.86702151
2.95002766,0.88197016
3.00002813,0.89691880
3.05002859,0.91186745
3.10002906,0.92681610
3.15002953,0.94176474
3.20003000,0.95671339
3.25003047,0.97166204
3.30003094,0.98661068
3.35003141,1.00155933
3.40003188,1.01650798
3.45003234,1.03145662
3.50003281,1.04640527
3.55003328,1.06135392
3.60003375,1.07630256
3.65003422,1.09125121
3.70003469,1.10619986
3.75003516,1.12114850
3.80003563,1.13609715
3.85003609,1.15104580
3.90003656,1.16599444
3.95003703,1.18094309
4.00003750,1.19589174
4.05003797,1.21084038
4.10003844,1.22578903
4.15003891,1.24073768
4.20003938,1.25568633
4.25003984,1.27063497
4.30004031,1.28558362
4.35004078,1.30053227
4.40004125,1.31548091
4.45004172,1.33042956
4.50004219,1.34537821
4.55004266,1.36032685
4.60004313,1.37527550
4.65004359,1.39022415
4.70004406,1.40517279
4.75004453,1.42012144
4.80004500,1.43507009
4.85004547,1.45001873
4.90004594,1.46496738
4.95004641,1.47991603
5.00004688,1.49486467
5.05004734,1.50981332
5.10004781,1.52476197
5.15004828,1.53971061
5.20004875,1.55465926
5.25004922,1.56960791
5.30004969,1.58455655
5.35005016,1.59950520
5.40005063,1.61445385
5.45005109,1.62940249
5.50005156,1.64435114
5.55005203,1.65929979
5.60005250,1.67424843
5.65005297,1.68919708
5.70005344,1.70414573
5.75005391,1.71909437
5.80005438,1.73404302
5.85005484,1.74899167
5.90005531,1.76394031
5.95005578,1.77888896
6.00005625,1.79383761
6.05005672,1.80878625
6.10005719,1.82373490
6.15005766,1.83868355
6.20005813,1.85363219
6.25005859,1.86858084
6.30005906,1.88352949
6.35005953,1.89847813
6.40006000,1.91342678
6.45006047,1.92837543
6.50006094,1.94332407
6.55006141,1.95827272
6.60006188,1.97322137
6.65006234,1.98817001
6.70006281,2.00311866
6.75006328,2.01806731
6.80006375,2.03301595
6.85006422,2.04796460
6.90006469,2.06291325
6.95006516,2.07786190
7.00006563,2.09281054
7.05006609,2.10775919
7.10006656,2.12270784
7.15006703,2.13765648
7.20006750,2.15260513
7.25006797,2.16755378
7.30006844,2.18250242
7.35006891,2.19745107
7.40006938,2.21239972
7.45006984,2.22734836
7.50007031,2.24229701
7.55007078,2.25724566
7.60007125,2.27219430
7.65007172,2.28714295
7.70007219,2.30209160
7.75007266,2.31704024
7.80007313,2.33198889
7.85007359,2.34693754
7.90007406,2.36188618
7.95007453,2.37683483
8.00007500,2.39178348
8.05007547,2.40673212
8.10007594,2.42168077
8.15007641,2.43662942
8.20007688,2.45157806
8.25007734,2.46652671
8.30007781,2.48147536
8.35007828,2.49642400
8.40007875,2.51137265
8.45007922,2.52632130
8.50007969,2.54126994
8.55008016,2.55621859
8.60008063,2.57116724
8.65008109,2.58611588
8.70008156,2.60106453
8.75008203,2.61601318
8.80008250,2.63096182
8.85008297,2.64591047
8.90008344,2.66085912
8.95008391,2.67580776
9.00008438,2.69075641
9.05008484,2.70570506
9.10008531,2.72065370
9.15008578,2.73560235
9.20008625,2.75055100
9.25008672,2.76549964
9.30008719,2.78044829
9.35008766,2.79539694
9.40008813,2.81034558
9.45008859,2.82529423
9.50008906,2.84024288
9.55008953,2.85519152
9.60009000,2.87014017
9.65009047,2.88508882
9.70009094,2.90003747
9.75009141,2.91498611
9.80009188,2.92993476
9.85009234,2.94488341
9.90009281,2.95983205
9.95009328,2.97478070
10.00009375,2.98972935
10.05009422,3.00467799
10.10009469,3.01962664
10.15009516,3.03457529
10.20009563,3.04952393
10.25009609,3.06447258
10.30009656,3.07942123
10.35009703,3.09436987
10.40009750,3.10931852
10.45009797,3.12426717
10.50009844,3.13921581
10.55009891,3.15416446
10.60009938,3.16911311
10.65009984,3.18406175
10.70010031,3.19901040
10.75010078,3.21395905
10.80010125,3.22890769
10.85010172,3.24385634
10.90010219,3.25880499
10.95010266,3.27375363
11.00010313,3.28870228
11.05010359,3.30365093
11.10010406,3.31859957
11.15010453,3.33354822
11.20010500,3.34849687
11.25010547,3.36344551
11.30010594,3.37839416
11.35010641,3.39334281
11.40010688,3.40829145
11.45010734,3.42324010
11.50010781,3.43818875
11.55010828,3.45313739
11.60010875,3.46808604
11.65010922,3.48303469
11.70010969,3.49798333
11.75011016,3.51293198
11.80011063,3.52788063
11.85011109,3.54282927
11.90011156,3.55777792
11.95011203,3.57272657
12.00011250,3.58767521
12.05011297,3.60262386
12.10011344,3.61757251
12.15011391,3.63252115
12.20011438,3.64746980
12.25011484,3.66241845
12.30011531,3.67736709
12.35011578,3.69231574
12.40011625,3.70726439
12.45011672,3.72221304
12.50011719,3.73716168
12.55011766,3.75211033
12.60011813,3.76705898
12.65011859,3.78200762
12.70011906,3.79695627
12.75011953,3.81190492
12.80012000,3.82685356
12.85012047,3.84180221
12.90012094,3.85675086
12.95012141,3.87169950
13.00012188,3.88664815
13.05012234,3.90159680
13.10012281,3.91654544
13.15012328,3.93149409
13.20012375,3.94644274
13.25012422,3.96139138
13.30012469,3.97634003
13.35012516,3.99128868
13.40012563,4.00623732
13.45012609,4.02118597
13.50012656,4.03613462
13.55012703,4.05108326
13.60012750,4.06603191
13.65012797,4.08098056
