cumulative_targets_percent,cumulative_assignments_percent
0.00000000,0.00000000
0.04996689,0.01560078
0.09993377,0.03120156
0.14990066,0.04680235
0.19986754,0.06240313
0.25013009,0.07809622
0.30009698,0.09369701
0.35006386,0.10929779
0.40003075,0.12489857
0.44999763,0.14049935
0.49996452,0.15610014
0.54993141,0.17170092
0.59989829,0.18730170
0.64986518,0.20290248
0.70012773,0.21859558
0.75009461,0.23419636
0.80006150,0.24979714
0.85002838,0.26539793
0.89999527,0.28099871
0.94996216,0.29659949
0.99992904,0.31220027
1.04989593,0.32780106
1.09986281,0.34340184
1.15012536,0.35909493
1.20009225,0.37469572
1.25005913,0.39029650
1.30002602,0.40589728
1.34999290,0.42149806
1.39995979,0.43709885
1.44992668,0.45269963
1.49989356,0.46830041
1.54986045,0.48390119
1.60012300,0.49959429
1.65008988,0.51519507
1.70005677,0.53079585
1.75002365,0.54639663
1.79999054,0.56199742
1.84995742,0.57759820
1.89992431,0.59319898
1.94989120,0.60879976
1.99985808,0.62440055
2.05012063,0.64009364
2.10008752,0.65569442
2.15005440,0.67129521
2.20002129,0.68689599
2.24998817,0.70249677
2.29995506,0.71809755
2.34992195,0.73369834
2.39988883,0.74929912
2.44985572,0.76489990
2.50011826,0.78059300
2.55008515,0.79619378
2.60005204,0.81179456
2.65001892,0.82739534
2.69998581,0.84299613
2.74995269,0.85859691
2.79991958,0.87419769
2.84988647,0.88979847
2.89985335,0.90539926
2.95011590,0.92109235
3.00008279,0.93669313
3.05004967,0.95229392
3.10001656,0.96789470
3.14998344,0.98349548
3.19995033,0.99909626
3.24991721,1.01469704
3.29988410,1.03029783
3.35014665,1.04599092
3.40011353,1.06159170
3.45008042,1.07719249
3.50004731,1.09279327
3.55001419,1.10839405
3.59998108,1.12399483
3.64994796,1.13959562
3.69991485,1.15519640
3.74988174,1.17079718
3.80014428,1.18649028
3.85011117,1.20209106
3.90007805,1.21769184
3.95004494,1.23329262
4.00001183,1.24889341
4.04997871,1.26449419
4.09994560,1.28009497
4.14991248,1.29569575
4.19987937,1.31129654
4.25014192,1.32698963
4.30010880,1.34259041
4.35007569,1.35819120
4.40004258,1.37379198
4.45000946,1.38939276
4.49997635,1.40499354
4.54994323,1.42059433
4.59991012,1.43619511
4.64987700,1.45179589
4.70013955,1.46748898
4.75010644,1.48308977
4.80007332,1.49869055
4.85004021,1.51429133
4.90000710,1.52989211
4.94997398,1.54549290
4.99994087,1.56109368
5.04990775,1.57669446
5.09987464,1.59229524
5.15013719,1.60798834
5.20010407,1.62358912
5.25007096,1.63918990
5.30003784,1.65479069
5.35000473,1.67039147
5.39997162,1.68599225
5.44993850,1.70159303
5.49990539,1.71719382
5.54987227,1.73279460
5.60013482,1.74848769
5.65010171,1.76408848
5.70006859,1.77968926
5.75003548,1.79529004
5.80000237,1.81089082
5.84996925,1.82649161
5.89993614,1.84209239
5.94990302,1.85769317
5.99986991,1.87329395
6.05013246,1.88898705
6.10009934,1.90458783
6.15006623,1.92018861
6.20003311,1.93578939
6.25000000,1.95139018
6.29996689,1.96699096
6.34993377,1.98259174
6.39990066,1.99819252
6.44986754,2.01379331
6.50013009,2.02948640
6.55009698,2.04508718
6.60006386,2.06068797
6.65003075,2.07628875
6.69999763,2.09188953
6.74996452,2.10749031
6.79993141,2.12309110
6.84989829,2.13869188
6.89986518,2.15429266
6.95012773,2.16998576
7.00009461,2.18558654
7.05006150,2.20118732
7.10002838,2.21678810
7.14999527,2.23238889
7.19996216,2.24798967
7.24992904,2.26359045
7.29989593,2.27919123
7.34986281,2.29479202
7.40012536,2.31048511
7.45009225,2.32608589
7.50005913,2.34168668
7.55002602,2.35728746
7.59999290,2.37288824
7.64995979,2.38848902
7.69992668,2.40408981
7.74989356,2.41969059
7.79986045,2.43529137
7.85012300,2.45098446
7.90008988,2.46658525
7.95005677,2.48218603
8.00002365,2.49778681
8.04999054,2.51338759
8.09995742,2.52898838
8.14992431,2.54458916
8.19989120,2.56018994
8.24985808,2.57579072
8.30012063,2.59148382
8.35008752,2.60708460
8.40005440,2.62268538
8.45002129,2.63828617
8.49998817,2.65388695
8.54995506,2.66948773
8.59992195,2.68508851
8.64988883,2.70068930
8.69985572,2.71629008
8.75011826,2.73198317
8.80008515,2.74758396
8.85005204,2.76318474
8.90001892,2.77878552
8.94998581,2.79438630
8.99995269,2.80998709
9.04991958,2.82558787
9.09988647,2.84118865
9.14985335,2.85678943
9.20011590,2.87248253
9.25008279,2.88808331
9.30004967,2.90368409
9.35001656,2.91928487
9.39998344,2.93488566
9.44995033,2.95048644
9.49991721,2.96608722
9.54988410,2.98168800
9.60014665,2.99738110
9.65011353,3.01298188
9.70008042,3.02858266
9.75004731,3.04418345
9.80001419,3.05978423
9.84998108,3.07538501
9.89994796,3.09098579
9.94991485,3.10658658
9.99988174,3.12218736
10.05014428,3.13788045
10.10011117,3.15348124
10.15007805,3.16908202
10.20004494,3.18468280
10.25001183,3.20028358
10.29997871,3.21588437
10.34994560,3.23148515
10.39991248,3.24708593
10.44987937,3.26268671
10.50014192,3.27837981
10.55010880,3.29398059
10.60007569,3.30958137
10.65004258,3.32518216
10.70000946,3.34078294
10.74997635,3.35638372
10.79994323,3.37198450
10.84991012,3.38758529
10.89987700,3.40318607
10.95013955,3.41887916
11.00010644,3.43447994
11.05007332,3.45008073
11.10004021,3.46568151
11.15000710,3.48128229
11.19997398,3.49688307
11.24994087,3.51248386
11.29990775,3.52808464
11.34987464,3.54368542
11.40013719,3.55937852
11.45010407,3.57497930
11.50007096,3.59058008
11.55003784,3.60618086
11.60000473,3.62178165
11.64997162,3.63738243
11.69993850,3.65298321
11.74990539,3.66858399
11.79987227,3.68418478
11.85013482,3.69987787
11.90010171,3.71547865
11.95006859,3.73107944
12.00003548,3.74668022
12.05000237,3.76228100
12.09996925,3.77788178
12.14993614,3.79348257
12.19990302,3.80908335
12.24986991,3.82468413
12.30013246,3.84037723
12.35009934,3.85597801
12.40006623,3.87157879
12.45003311,3.88717957
12.50000000,3.90278035
12.54996689,3.91838114
12.59993377,3.93398192
12.64990066,3.94958270
12.69986754,3.96518348
12.75013009,3.98087658
12.80009698,3.99647736
12.85006386,4.01207814
12.90003075,4.02767893
12.94999763,4.04327971
12.99996452,4.05888049
13.04993141,4.07448127
13.09989829,4.09008206
13.14986518,4.10568284
13.20012773,4.12137593
13.25009461,4.13697672
13.30006150,4.15257750
13.35002838,4.16817828
13.39999527,4.18377906
13.44996216,4.19937985
13.49992904,4.21498063
13.54989593,4.23058141
13.59986281,4.24618219
13.65012536,4.26187529
13.70009225,4.27747607
13.75005913,4.29307685
13.80002602,4.30867764
13.84999290,4.32427842
13.89995979,4.33987920
13.94992668,4.35547998
13.99989356,4.37108076
14.04986045,4.38668155
14.10012300,4.40237464
14.15008988,4.41797542
14.20005677,4.43357621
14.25002365,4.44917699
14.29999054,4.46477777
14.34995742,4.48037855
14.39992431,4.49597934
14.44989120,4.51158012
14.49985808,4.52718090
14.55012063,4.54287400
14.60008752,4.55847478
14.65005440,4.57407556
14.70002129,4.58967634
14.74998817,4.60527713
14.79995506,4.62087791
14.84992195,4.63647869
14.89988883,4.65207947
14.94985572,4.66768026
15.00011826,4.68337335
15.05008515,4.69897413
15.10005204,4.71457492
15.15001892,4.73017570
15.19998581,4.74577648
15.24995269,4.76137726
15.29991958,4.77697805
15.34988647,4.79257883
15.39985335,4.80817961
15.45011590,4.82387271
15.50008279,4.83947349
15.55004967,4.85507427
15.60001656,4.87067505
15.64998344,4.88627583
15.69995033,4.90187662
15.74991721,4.91747740
15.79988410,4.93307818
15.85014665,4.94877128
15.90011353,4.96437206
15.95008042,4.97997284
16.00004731,4.99557362
16.05001419,5.01117441
16.09998108,5.02677519
16.14994796,5.04237597
16.19991485,5.05797675
16.24988174,5.07357754
16.30014428,5.08927063
16.35011117,5.10487141
16.40007805,5.12047220
16.45004494,5.13607298
16.50001183,5.15167376
16.54997871,5.16727454
16.59994560,5.18287533
16.64991248,5.19847611
16.69987937,5.21407689
16.75014192,5.22976999
16.80010880,5.24537077
16.85007569,5.26097155
16.90004258,5.27657233
16.95000946,5.29217312
16.99997635,5.30777390
17.04994323,5.32337468
17.09991012,5.33897546
17.14987700,5.35457624
17.20013955,5.37026934
17.25010644,5.38587012
17.30007332,5.40147090
17.35004021,5.41707169
17.40000710,5.43267247
17.44997398,5.44827325
17.49994087,5.46387403
17.54990775,5.47947482
17.59987464,5.49507560
17.65013719,5.51076869
17.70010407,5.52636948
17.75007096,5.54197026
17.80003784,5.55757104
17.85000473,5.57317182
17.89997162,5.58877261
17.94993850,5.60437339
17.99990539,5.61997417
18.04987227,5.63557495
18.10013482,5.65126805
18.15010171,5.66686883
18.20006859,5.68246961
18.25003548,5.69807040
18.30000237,5.71367118
18.34996925,5.72927196
18.39993614,5.74487274
18.44990302,5.76047353
18.49986991,5.77607431
18.55013246,5.79176740
18.60009934,5.80736818
18.65006623,5.82296897
18.70003311,5.83856975
18.75000000,5.85417053
18.79996689,5.86977131
18.84993377,5.88537210
18.89990066,5.90097288
18.94986754,5.91657366
19.00013009,5.93226676
19.05009698,5.94786754
19.10006386,5.96346832
19.15003075,5.97906910
19.19999763,5.99466989
19.24996452,6.01027067
19.29993141,6.02587145
19.34989829,6.04147223
19.39986518,6.05707302
19.45012773,6.07276611
19.50009461,6.08836689
19.55006150,6.10396768
19.60002838,6.11956846
19.64999527,6.13516924
19.69996216,6.15077002
19.74992904,6.16637081
19.79989593,6.18197159
19.84986281,6.19757237
19.90012536,6.21326547
19.95009225,6.22886625
20.00005913,6.24446703
20.05002602,6.26006781
20.09999290,6.27566860
20.14995979,6.29126938
20.19992668,6.30687016
20.24989356,6.32247094
20.29986045,6.33807172
20.35012300,6.35376482
20.40008988,6.36936560
20.45005677,6.38496638
20.50002365,6.40056717
20.54999054,6.41616795
20.59995742,6.43176873
20.64992431,6.44736951
20.69989120,6.46297030
20.74985808,6.47857108
20.80012063,6.49426417
20.85008752,6.50986496
20.90005440,6.52546574
20.95002129,6.54106652
20.99998817,6.55666730
21.04995506,6.57226809
21.09992195,6.58786887
21.14988883,6.60346965
21.19985572,6.61907043
21.25011826,6.63476353
21.30008515,6.65036431
21.35005204,6.66596509
21.40001892,6.68156588
21.44998581,6.69716666
21.49995269,6.71276744
21.54991958,6.72836822
21.59988647,6.74396901
21.64985335,6.75956979
21.70011590,6.77526288
21.75008279,6.79086366
21.80004967,6.80646445
21.85001656,6.82206523
21.89998344,6.83766601
21.94995033,6.85326679
21.99991721,6.86886758
22.04988410,6.88446836
22.10014665,6.90016145
22.15011353,6.91576224
22.20008042,6.93136302
22.25004731,6.94696380
22.30001419,6.96256458
22.34998108,6.97816537
22.39994796,6.99376615
22.44991485,7.00936693
22.49988174,7.02496771
22.55014428,7.04066081
22.60011117,7.05626159
22.65007805,7.07186237
22.70004494,7.08746316
22.75001183,7.10306394
22.79997871,7.11866472
22.84994560,7.13426550
22.89991248,7.14986629
22.94987937,7.16546707
23.00014192,7.18116016
23.05010880,7.19676095
23.10007569,7.21236173
23.15004258,7.22796251
23.20000946,7.24356329
23.24997635,7.25916407
23.29994323,7.27476486
23.34991012,7.29036564
23.39987700,7.30596642
23.45013955,7.32165952
23.50010644,7.33726030
23.55007332,7.35286108
23.60004021,7.36846186
23.65000710,7.38406265
23.69997398,7.39966343
23.74994087,7.41526421
23.79990775,7.43086499
23.84987464,7.44646578
23.90013719,7.46215887
23.95010407,7.47775965
24.00007096,7.49336044
24.05003784,7.50896122
24.10000473,7.52456200
24.14997162,7.54016278
24.19993850,7.55576357
24.24990539,7.57136435
24.29987227,7.58696513
24.35013482,7.60265823
24.40010171,7.61825901
24.45006859,7.63385979
24.50003548,7.64946057
24.55000237,7.66506136
24.59996925,7.68066214
24.64993614,7.69626292
24.69990302,7.71186370
