cumulative_targets_percent,cumulative_assignments_percent
0.00000000,0.00000000
0.04993430,0.01826869
0.10005632,0.03660606
0.14999061,0.05487475
0.19992491,0.07314344
0.25004693,0.09148081
0.29998123,0.10974951
0.34991552,0.12801820
0.40003754,0.14635557
0.44997184,0.16462426
0.50009386,0.18296163
0.55002816,0.20123032
0.59996246,0.21949901
0.65008448,0.23783638
0.70001877,0.25610507
0.74995307,0.27437377
0.80007509,0.29271114
0.85000939,0.31097983
0.89994368,0.32924852
0.95006570,0.34758589
1.00000000,0.36585458
1.04993430,0.38412327
1.10005632,0.40246064
1.14999061,0.42072933
1.19992491,0.43899802
1.25004693,0.45733539
1.29998123,0.47560409
1.34991552,0.49387278
1.40003754,0.51221015
1.44997184,0.53047884
1.50009386,0.54881621
1.55002816,0.56708490
1.59996246,0.58535359
1.65008448,0.60369096
1.70001877,0.62195965
1.74995307,0.64022834
1.80007509,0.65856572
1.85000939,0.67683441
1.89994368,0.69510310
1.95006570,0.71344047
2.00000000,0.73170916
2.04993430,0.74997785
2.10005632,0.76831522
2.14999061,0.78658391
2.19992491,0.80485260
2.25004693,0.82318997
2.29998123,0.84145867
2.34991552,0.85972736
2.40003754,0.87806473
2.44997184,0.89633342
2.50009386,0.91467079
2.55002816,0.93293948
2.59996246,0.95120817
2.65008448,0.96954554
2.70001877,0.98781423
2.74995307,1.00608292
2.80007509,1.02442030
2.85000939,1.04268899
2.89994368,1.06095768
2.95006570,1.07929505
3.00000000,1.09756374
3.04993430,1.11583243
3.10005632,1.13416980
3.14999061,1.15243849
3.19992491,1.17070718
3.25004693,1.18904455
3.29998123,1.20731325
3.34991552,1.22558194
3.40003754,1.24391931
3.44997184,1.26218800
3.49990614,1.28045669
3.55002816,1.29879406
3.59996246,1.31706275
3.65008448,1.33540012
3.70001877,1.35366881
3.74995307,1.37193750
3.80007509,1.39027488
3.85000939,1.40854357
3.89994368,1.42681226
3.95006570,1.44514963
4.00000000,1.46341832
4.04993430,1.48168701
4.10005632,1.50002438
4.14999061,1.51829307
4.19992491,1.53656176
4.25004693,1.55489913
4.29998123,1.57316783
4.34991552,1.59143652
4.40003754,1.60977389
4.44997184,1.62804258
4.50009386,1.64637995
4.55002816,1.66464864
4.59996246,1.68291733
4.65008448,1.70125470
4.70001877,1.71952339
4.74995307,1.73779208
4.80007509,1.75612945
4.85000939,1.77439815
4.89994368,1.79266684
4.95006570,1.81100421
5.00000000,1.82927290
5.04993430,1.84754159
5.10005632,1.86587896
5.14999061,1.88414765
5.19992491,1.90241634
5.25004693,1.92075371
5.29998123,1.93902241
5.34991552,1.95729110
5.40003754,1.97562847
5.44997184,1.99389716
