cumulative_targets_percent,cumulative_assignments_percent
0.00000000,0.00000000
0.04994705,0.02381658
0.10008770,0.04772547
0.15003475,0.07154205
0.19998180,0.09535863
0.24992885,0.11917521
0.30006950,0.14308410
0.35001655,0.16690068
0.39996360,0.19071726
0.44991066,0.21453384
0.50005130,0.23844273
0.54999835,0.26225931
0.59994541,0.28607589
0.65008605,0.30998478
0.70003310,0.33380136
0.74998016,0.35761794
0.79992721,0.38143452
0.85006785,0.40534341
0.90001491,0.42915999
0.94996196,0.45297656
0.99990901,0.47679314
1.05004966,0.50070204
1.09999671,0.52451861
1.14994376,0.54833519
1.20008441,0.57224408
1.25003146,0.59606066
1.29997851,0.61987724
1.34992556,0.64369382
1.40006621,0.66760271
1.45001326,0.69141929
1.49996031,0.71523587
1.54990737,0.73905245
1.60004801,0.76296134
1.64999506,0.78677792
1.69994212,0.81059450
1.75008276,0.83450339
1.80002981,0.85831997
1.84997687,0.88213655
1.89992392,0.90595313
1.95006456,0.92986202
2.00001162,0.95367860
2.04995867,0.97749518
2.09990572,1.00131176
2.15004637,1.02522065
2.19999342,1.04903723
2.24994047,1.07285381
2.30008112,1.09676270
2.35002817,1.12057928
2.39997522,1.14439586
2.44992227,1.16821244
2.50006292,1.19212133
2.55000997,1.21593791
2.59995702,1.23975449
2.64990407,1.26357107
2.70004472,1.28747996
2.74999177,1.31129654
2.79993882,1.33511311
2.85007947,1.35902201
2.90002652,1.38283859
2.94997357,1.40665516
2.99992063,1.43047174
3.05006127,1.45438064
3.10000832,1.47819721
3.14995538,1.50201379
3.20009602,1.52592268
3.25004307,1.54973926
3.29999013,1.57355584
3.34993718,1.59737242
3.40007782,1.62128131
3.45002488,1.64509789
3.49997193,1.66891447
3.54991898,1.69273105
3.60005963,1.71663994
3.65000668,1.74045652
3.69995373,1.76427310
3.75009438,1.78818199
3.80004143,1.81199857
3.84998848,1.83581515
3.89993553,1.85963173
3.95007618,1.88354062
4.00002323,1.90735720
4.04997028,1.93117378
4.09991734,1.95499036
4.15005798,1.97889925
4.20000503,2.00271583
4.24995209,2.02653241
4.30009273,2.05044130
4.35003978,2.07425788
4.39998684,2.09807446
4.44993389,2.12189104
4.50007453,2.14579993
4.55002159,2.16961651
4.59996864,2.19343309
4.64991569,2.21724967
4.70005634,2.24115856
4.75000339,2.26497514
4.79995044,2.28879171
4.85009109,2.31270061
4.90003814,2.33651719
4.94998519,2.36033376
4.99993224,2.38415034
5.05007289,2.40805923
5.10001994,2.43187581
5.14996699,2.45569239
5.19991404,2.47950897
5.25005469,2.50341786
5.30000174,2.52723444
5.34994879,2.55105102
5.40008944,2.57495991
5.45003649,2.59877649
5.49998354,2.62259307
5.54993060,2.64640965
5.60007124,2.67031854
5.65001829,2.69413512
5.69996535,2.71795170
5.74991240,2.74176828
5.80005304,2.76567717
5.85000010,2.78949375
5.89994715,2.81331033
5.95008779,2.83721922
6.00003485,2.86103580
6.04998190,2.88485238
6.09992895,2.90866896
6.15006960,2.93257785
6.20001665,2.95639443
6.24996370,2.98021101
6.29991075,3.00402759
6.35005140,3.02793648
6.39999845,3.05175306
6.44994550,3.07556964
6.50008615,3.09947853
6.55003320,3.12329511
6.59998025,3.14711169
6.64992731,3.17092827
6.70006795,3.19483716
6.75001500,3.21865374
6.79996206,3.24247031
6.84990911,3.26628689
6.90004975,3.29019579
6.94999681,3.31401236
6.99994386,3.33782894
7.05008450,3.36173783
7.10003156,3.38555441
7.14997861,3.40937099
7.19992566,3.43318757
7.25006631,3.45709646
7.30001336,3.48091304
7.34996041,3.50472962
7.39990746,3.52854620
7.45004811,3.55245509
7.49999516,3.57627167
7.54994221,3.60008825
7.60008286,3.62399714
7.65002991,3.64781372
7.69997696,3.67163030
7.74992401,3.69544688
7.80006466,3.71935577
7.85001171,3.74317235
7.89995876,3.76698893
7.94990582,3.79080551
8.00004646,3.81471440
8.04999351,3.83853098
8.09994057,3.86234756
8.15008121,3.88625645
8.20002826,3.91007303
8.24997532,3.93388961
8.29992237,3.95770619
8.35006301,3.98161508
8.40001007,4.00543166
8.44995712,4.02924824
8.49990417,4.05306482
8.55004482,4.07697371
8.59999187,4.10079029
8.64993892,4.12460686
8.70007957,4.14851576
8.75002662,4.17233234
8.79997367,4.19614891
8.84992072,4.21996549
8.90006137,4.24387439
8.95000842,4.26769096
