cumulative_targets_percent,cumulative_assignments_percent
0.00000000,0.00000000
0.04966913,0.00884775
0.10010239,0.01783162
0.14977152,0.02667937
0.20020479,0.03566324
0.24987392,0.04451099
0.30030718,0.05349486
0.34997631,0.06234261
0.39964544,0.07119036
0.45007871,0.08017423
0.49974783,0.08902198
0.55018110,0.09800585
0.59985023,0.10685360
0.65028350,0.11583747
0.69995262,0.12468522
0.74962175,0.13353297
0.80005502,0.14251684
0.84972415,0.15136460
0.90015741,0.16034847
0.94982654,0.16919622
1.00025981,0.17818009
1.04992893,0.18702784
1.10036220,0.19601171
1.15003133,0.20485946
1.19970046,0.21370721
1.25013372,0.22269108
1.29980285,0.23153883
1.35023612,0.24052270
1.39990525,0.24937045
1.45033851,0.25835432
1.50000764,0.26720207
1.54967677,0.27604982
1.60011004,0.28503369
1.64977916,0.29388144
1.70021243,0.30286531
1.74988156,0.31171306
1.80031483,0.32069693
1.84998395,0.32954468
1.89965308,0.33839243
1.95008635,0.34737630
1.99975548,0.35622405
2.05018874,0.36520792
2.09985787,0.37405567
2.15029114,0.38303954
2.19996026,0.39188729
2.24962939,0.40073504
2.30006266,0.40971891
2.34973179,0.41856666
2.40016505,0.42755053
2.44983418,0.43639828
2.50026745,0.44538215
2.54993658,0.45422991
2.60036984,0.46321378
2.65003897,0.47206153
2.69970810,0.48090928
2.75014137,0.48989315
2.79981049,0.49874090
2.85024376,0.50772477
2.89991289,0.51657252
2.95034616,0.52555639
3.00001528,0.53440414
3.04968441,0.54325189
3.10011768,0.55223576
3.14978680,0.56108351
3.20022007,0.57006738
3.24988920,0.57891513
3.30032247,0.58789900
3.34999159,0.59674675
3.39966072,0.60559450
3.45009399,0.61457837
3.49976312,0.62342612
3.55019638,0.63240999
3.59986551,0.64125774
3.65029878,0.65024161
3.69996791,0.65908936
3.74963703,0.66793711
3.80007030,0.67692098
3.84973943,0.68576873
3.90017270,0.69475260
3.94984182,0.70360035
4.00027509,0.71258422
4.04994422,0.72143197
4.10037749,0.73041584
4.15004661,0.73926359
4.19971574,0.74811135
4.25014901,0.75709522
4.29981813,0.76594297
4.35025140,0.77492684
4.39992053,0.78377459
4.45035380,0.79275846
4.50002292,0.80160621
4.54969205,0.81045396
4.60012532,0.81943783
4.64979445,0.82828558
4.70022771,0.83726945
4.74989684,0.84611720
4.80033011,0.85510107
4.84999924,0.86394882
4.89966836,0.87279657
4.95010163,0.88178044
4.99977076,0.89062819
5.05020403,0.89961206
5.09987315,0.90845981
5.15030642,0.91744368
5.19997555,0.92629143
5.24964467,0.93513918
5.30007794,0.94412305
5.34974707,0.95297080
5.40018034,0.96195467
5.44984946,0.97080242
5.50028273,0.97978629
5.54995186,0.98863404
5.59962099,0.99748179
5.65005425,1.00646566
5.69972338,1.01531341
5.75015665,1.02429728
5.79982578,1.03314504
5.85025904,1.04212890
5.89992817,1.05097666
5.95036144,1.05996053
6.00003057,1.06880828
6.04969969,1.07765603
6.10013296,1.08663990
6.14980209,1.09548765
6.20023536,1.10447152
6.24990448,1.11331927
6.30033775,1.12230314
6.35000688,1.13115089
6.39967600,1.13999864
6.45010927,1.14898251
6.49977840,1.15783026
6.55021167,1.16681413
6.59988079,1.17566188
6.65031406,1.18464575
6.69998319,1.19349350
6.74965232,1.20234125
6.80008558,1.21132512
6.84975471,1.22017287
6.90018798,1.22915674
6.94985711,1.23800449
7.00029037,1.24698836
7.04995950,1.25583611
7.09962863,1.26468386
7.15006190,1.27366773
7.19973102,1.28251548
7.25016429,1.29149935
7.29983342,1.30034710
7.35026669,1.30933097
7.39993581,1.31817872
7.45036908,1.32716259
7.50003821,1.33601035
7.54970733,1.34485810
7.60014060,1.35384197
7.64980973,1.36268972
7.70024300,1.37167359
7.74991212,1.38052134
7.80034539,1.38950521
7.85001452,1.39835296
7.89968365,1.40720071
7.95011691,1.41618458
7.99978604,1.42503233
8.05021931,1.43401620
8.09988844,1.44286395
8.15032170,1.45184782
8.19999083,1.46069557
8.24965996,1.46954332
8.30009323,1.47852719
8.34976235,1.48737494
8.40019562,1.49635881
8.44986475,1.50520656
8.50029801,1.51419043
8.54996714,1.52303818
8.59963627,1.53188593
8.65006954,1.54086980
8.69973866,1.54971755
8.75017193,1.55870142
8.79984106,1.56754917
8.85027433,1.57653304
8.89994345,1.58538079
8.95037672,1.59436466
9.00004585,1.60321241
9.04971498,1.61206016
9.10014824,1.62104403
9.14981737,1.62989179
9.20025064,1.63887566
9.24991977,1.64772341
9.30035303,1.65670728
9.35002216,1.66555503
9.39969129,1.67440278
9.45012455,1.68338665
9.49979368,1.69223440
9.55022695,1.70121827
9.59989608,1.71006602
9.65032934,1.71904989
9.69999847,1.72789764
9.74966760,1.73674539
9.80010087,1.74572926
9.84976999,1.75457701
9.90020326,1.76356088
9.94987239,1.77240863
10.00030566,1.78139250
10.04997478,1.79024025
10.09964391,1.79908800
10.15007718,1.80807187
10.19974631,1.81691962
10.25017957,1.82590349
10.29984870,1.83475124
10.35028197,1.84373511
10.39995110,1.85258286
10.44962022,1.86143061
10.50005349,1.87041448
10.54972262,1.87926223
10.60015588,1.88824610
10.64982501,1.89709385
10.70025828,1.90607772
10.74992741,1.91492547
10.80036067,1.92390934
10.85002980,1.93275710
10.89969893,1.94160485
10.95013220,1.95058872
10.99980132,1.95943647
11.05023459,1.96842034
11.09990372,1.97726809
11.15033699,1.98625196
11.20000611,1.99509971
11.24967524,2.00394746
11.30010851,2.01293133
11.34977764,2.02177908
11.40021090,2.03076295
11.44988003,2.03961070
11.50031330,2.04859457
11.54998242,2.05744232
11.59965155,2.06629007
11.65008482,2.07527394
11.69975395,2.08412169
11.75018721,2.09310556
11.79985634,2.10195331
11.85028961,2.11093718
11.89995874,2.11978493
11.94962786,2.12863268
12.00006113,2.13761655
12.04973026,2.14646430
12.10016353,2.15544817
12.14983265,2.16429592
12.20026592,2.17327979
12.24993505,2.18212754
12.30036832,2.19111141
12.35003744,2.19995916
12.39970657,2.20880691
12.45013984,2.21779078
12.49980896,2.22663854
12.55024223,2.23562241
12.59991136,2.24447016
12.65034463,2.25345403
12.70001375,2.26230178
12.74968288,2.27114953
12.80011615,2.28013340
12.84978528,2.28898115
12.90021854,2.29796502
12.94988767,2.30681277
13.00032094,2.31579664
13.04999007,2.32464439
13.09965919,2.33349214
13.15009246,2.34247601
13.19976159,2.35132376
13.25019486,2.36030763
13.29986398,2.36915538
13.35029725,2.37813925
13.39996638,2.38698700
13.44963551,2.39583475
13.50006877,2.40481862
13.54973790,2.41366637
13.60017117,2.42265024
13.64984029,2.43149799
13.70027356,2.44048186
13.74994269,2.44932961
13.80037596,2.45831348
13.85004508,2.46716123
13.89971421,2.47600898
13.95014748,2.48499285
13.99981661,2.49384060
14.05024987,2.50282447
14.09991900,2.51167222
14.15035227,2.52065609
14.20002140,2.52950385
14.24969052,2.53835160
14.30012379,2.54733547
14.34979292,2.55618322
14.40022619,2.56516709
14.44989531,2.57401484
14.50032858,2.58299871
14.54999771,2.59184646
14.59966683,2.60069421
14.65010010,2.60967808
14.69976923,2.61852583
14.75020250,2.62750970
14.79987162,2.63635745
14.85030489,2.64534132
14.89997402,2.65418907
14.94964315,2.66303682
15.00007641,2.67202069
15.04974554,2.68086844
15.10017881,2.68985231
15.14984794,2.69870006
15.20028120,2.70768393
15.24995033,2.71653168
15.29961946,2.72537943
15.35005273,2.73436330
15.39972185,2.74321105
15.45015512,2.75219492
15.49982425,2.76104267
15.55025752,2.77002654
15.59992664,2.77887429
15.65035991,2.78785816
15.70002904,2.79670591
15.74969816,2.80555367
15.80013143,2.81453753
15.84980056,2.82338529
15.90023383,2.83236916
15.94990295,2.84121691
16.00033622,2.85020078
16.05000535,2.85904853
16.09967448,2.86789628
16.15010774,2.87688015
16.19977687,2.88572790
16.25021014,2.89471177
16.29987927,2.90355952
16.35031253,2.91254339
16.39998166,2.92139114
16.44965079,2.93023889
16.50008406,2.93922276
16.54975318,2.94807051
16.60018645,2.95705438
16.64985558,2.96590213
16.70028885,2.97488600
16.74995797,2.98373375
16.79962710,2.99258150
16.85006037,3.00156537
16.89972949,3.01041312
16.95016276,3.01939699
16.99983189,3.02824474
17.05026516,3.03722861
17.09993428,3.04607636
17.15036755,3.05506023
17.20003668,3.06390798
17.24970581,3.07275573
17.30013907,3.08173960
17.34980820,3.09058735
17.40024147,3.09957122
17.44991060,3.10841898
17.50034386,3.11740284
17.55001299,3.12625060
17.59968212,3.13509835
17.65011539,3.14408222
17.69978451,3.15292997
17.75021778,3.16191384
17.79988691,3.17076159
17.85032017,3.17974546
17.89998930,3.18859321
17.94965843,3.19744096
