cumulative_targets_percent,cumulative_assignments_percent
0.00000000,0.00000000
0.04995433,0.00969279
0.09990865,0.01938559
0.14986298,0.02907838
0.19981731,0.03877118
0.24977164,0.04846397
0.30020172,0.05824908
0.35015605,0.06794187
0.40011038,0.07763466
0.45006470,0.08732746
0.50001903,0.09702025
0.54997336,0.10671304
0.59992769,0.11640584
0.64988201,0.12609863
0.69983634,0.13579143
0.74979067,0.14548422
0.80022075,0.15526933
0.85017508,0.16496212
0.90012941,0.17465491
0.95008373,0.18434771
1.00003806,0.19404050
1.04999239,0.20373329
1.09994672,0.21342609
1.14990104,0.22311888
1.19985537,0.23281168
1.24980970,0.24250447
1.29976403,0.25219726
1.35019411,0.26198237
1.40014844,0.27167516
1.45010276,0.28136796
1.50005709,0.29106075
1.55001142,0.30075355
1.59996575,0.31044634
1.64992007,0.32013913
1.69987440,0.32983193
1.74982873,0.33952472
1.79978306,0.34921751
1.85021314,0.35900262
1.90016747,0.36869541
1.95012179,0.37838821
2.00007612,0.38808100
2.05003045,0.39777380
2.09998478,0.40746659
2.14993910,0.41715938
2.19989343,0.42685218
2.24984776,0.43654497
2.29980209,0.44623777
2.35023217,0.45602287
2.40018650,0.46571567
2.45014082,0.47540846
2.50009515,0.48510125
2.55004948,0.49479405
2.60000381,0.50448684
2.64995813,0.51417963
2.69991246,0.52387243
2.74986679,0.53356522
2.79982112,0.54325802
2.84977544,0.55295081
2.90020553,0.56273592
2.95015985,0.57242871
3.00011418,0.58212150
3.05006851,0.59181430
3.10002284,0.60150709
3.14997716,0.61119988
3.19993149,0.62089268
3.24988582,0.63058547
3.29984015,0.64027827
3.34979447,0.64997106
3.40022456,0.65975617
3.45017888,0.66944896
3.50013321,0.67914175
3.55008754,0.68883455
3.60004187,0.69852734
3.64999619,0.70822014
3.69995052,0.71791293
3.74990485,0.72760572
3.79985918,0.73729852
3.84981350,0.74699131
3.89976783,0.75668410
3.95019791,0.76646921
4.00015224,0.77616200
4.05010657,0.78585480
4.10006090,0.79554759
4.15001522,0.80524039
4.19996955,0.81493318
4.24992388,0.82462597
4.29987821,0.83431877
4.34983253,0.84401156
4.39978686,0.85370436
4.45021694,0.86348946
4.50017127,0.87318225
4.55012560,0.88287505
4.60007993,0.89256784
4.65003425,0.90226064
4.69998858,0.91195343
4.74994291,0.92164622
4.79989724,0.93133902
4.84985156,0.94103181
4.89980589,0.95072461
4.95023597,0.96050971
5.00019030,0.97020251
5.05014463,0.97989530
5.10009896,0.98958809
5.15005328,0.99928089
5.20000761,1.00897368
5.24996194,1.01866647
5.29991627,1.02835927
5.34987059,1.03805206
5.39982492,1.04774486
5.44977925,1.05743765
5.50020933,1.06722276
5.55016366,1.07691555
5.60011799,1.08660834
5.65007231,1.09630114
5.70002664,1.10599393
5.74998097,1.11568673
5.79993530,1.12537952
5.84988962,1.13507231
