program,category_kind,rank,name,count
graphify,node_type,1,concept,240741
graphify,node_type,2,document,74633
graphify,node_type,3,article,59739
graphify,node_type,4,hyperedge,57928
graphify,edge_label,1,references,403476
graphify,edge_label,2,participate_in,208250
graphify,edge_label,3,source_file,54101
graphify,edge_label,4,form,37946
graphify,edge_label,5,conceptually_related_to,35008
graphrag,node_type,1,individual,82099
graphrag,node_type,2,organization,68085
graphrag,node_type,3,event,56146
graphrag,node_type,4,location,26916
lightrag,node_type,1,unknown,115403
lightrag,node_type,2,person,80919
lightrag,node_type,3,organization,63460
lightrag,node_type,4,concept,61890
lightrag,node_type,5,event,37574
neo4j,node_type,1,organization,157823
neo4j,node_type,2,event,99672
neo4j,node_type,3,document,77027
neo4j,node_type,4,chunk,77024
neo4j,node_type,5,article,68567
neo4j,edge_label,1,HAS_ENTITY,1198522
neo4j,edge_label,2,LOCATIONCONTAINEDINLOCATION,134264
neo4j,edge_label,3,FIRST_CHUNK,77027
neo4j,edge_label,4,PART_OF,77027
neo4j,edge_label,5,ORGANIZATIONPARTOFORGANIZATION,37777
